Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Despacito,Luis Fonsi & Daddy Yankee,21,144981950,2.9%,https://www.youtube.com/watch?v=kJQP7kiw5Fk
2,2,Shape of You,Ed Sheeran,22,127530692,-0.4%,https://www.youtube.com/watch?v=JGwWNGJdvx8
3,3,Felices los 4,Maluma,7,69408182,-5.2%,https://www.youtube.com/watch?v=t_jHrUE5IOk
4,4,"I'm The One (feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne)",DJ Khaled,6,49541643,-0.5%,https://www.youtube.com/watch?v=weeI1G46q0o
5,5,That's What I Like,Bruno Mars,13,49285319,-0.7%,https://www.youtube.com/watch?v=PMivT7MJ41M
6,6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,30,49220483,-0.3%,https://www.youtube.com/watch?v=papuvlVeZg8
7,8,Despacito,Luis Fonsi & Daddy Yankee,8,46440114,4.9%,https://www.youtube.com/watch?v=kJQP7kiw5Fk
8,7,Chantaje (feat. Maluma),Shakira,32,46171772,4.3%,https://www.youtube.com/watch?v=6Mgqbai3fKo
9,9,"Ahora Dice (feat. J. Balvin, Ozuna & Arcángel)",Chris Jeday,11,45730051,7.4%,https://www.youtube.com/watch?v=c73Cu3TQnlg
10,10,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,12,42213945,6.4%,https://www.youtube.com/watch?v=NGLxoKOvzu4
11,14,Bon Appétit (feat. Migos),Katy Perry,4,38238218,21.4%,https://www.youtube.com/watch?v=dPI-mRFEIH0
12,17,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,46,33933769,14.1%,https://www.youtube.com/watch?v=3AtDnEC4zak
13,12,SUBEME LA RADIO (feat. Descemer Bueno & Zion y Lennox),Enrique Iglesias,15,33605368,6.4%,https://www.youtube.com/watch?v=9sg-A-eS6Ig
14,11,Closer (feat. Halsey),The Chainsmokers,45,33048338,-9.2%,https://www.youtube.com/watch?v=0zGcUoRlhmw
15,13,Reggaetón Lento (Bailemos),CNCO,29,32173561,2%,https://www.youtube.com/watch?v=7jpqqBX-Myw
16,21,Me Enamoré,Shakira,4,31568115,9.5%,https://www.youtube.com/watch?v=sPTn0QEhxds
17,15,Something Just Like This (The Chainsmokers & Coldplay),The Chainsmokers,16,31317736,2.3%,https://www.youtube.com/watch?v=FM7MFYoylVs
18,16,Si Tu Novio Te Deja Sola (feat. Bad Bunny),J Balvin,14,29433457,-1.5%,https://www.youtube.com/watch?v=Km4BayZykwE
19,20,GANGNAM STYLE (강남스타일),PSY,68,28159465,-2.5%,https://www.youtube.com/watch?v=9bZkp7q19f0
20,18,El Amante,Nicky Jam,21,27950869,-3.8%,https://www.youtube.com/watch?v=YG2p6XBuSKA
21,25,XO TOUR Llif3,Lil Uzi Vert,10,27233600,5%,https://www.youtube.com/watch?v=Zgmvg-zzctI
22,22,See You Again (feat. Charlie Puth),Wiz Khalifa,68,26622056,-4.9%,https://www.youtube.com/watch?v=RgKAFK5djSk
23,27,Escápate Conmigo (feat. Ozuna),Wisin,10,25413419,7.8%,https://www.youtube.com/watch?v=3X9wEwulYhk
24,23,Vente Pa' Ca (feat. Maluma),Ricky Martin,37,24557448,-8.4%,https://www.youtube.com/watch?v=iOe6dI2JhgU
25,33,Symphony (feat. Zara Larsson),Clean Bandit,12,24157206,11%,https://www.youtube.com/watch?v=aatr_2MstrI
26,39,Attention,Charlie Puth,7,23666228,24.7%,https://www.youtube.com/watch?v=nfs8NYg7yQM
27,19,Mask Off,FUTURE,9,22880140,-21.2%,https://www.youtube.com/watch?v=xvZqHgFz51I
28,31,Treat You Better,Shawn Mendes,47,22567096,1.6%,https://www.youtube.com/watch?v=lY2yjAdbvdQ
29,32,Sin Contrato,Maluma,41,21845622,-1.5%,https://www.youtube.com/watch?v=9xByMBYDRmY
30,29,Uptown Funk (feat. Bruno Mars),Mark Ronson,68,21761308,-2.6%,https://www.youtube.com/watch?v=OPf0YbXqDm0
31,36,Tú Foto,Ozuna,6,21318308,6%,https://www.youtube.com/watch?v=afUx6AIG3Tg
32,26,Malibu,Miley Cyrus,4,21108206,-14.5%,https://www.youtube.com/watch?v=8j9zMok6two
33,35,Bum Bum Tam Tam,MC Fioti,11,20851173,-0.3%,https://www.youtube.com/watch?v=_P7S2lKif-A
34,28,SIGNAL,TWICE,4,20839876,-7.7%,https://www.youtube.com/watch?v=VQtonf1fv_s
35,34,Sorry,Justin Bieber,68,20337803,-5.5%,https://www.youtube.com/watch?v=fRh_vgS2dFE
36,37,Congratulations (feat. Quavo),Post Malone,10,20105542,0.4%,https://www.youtube.com/watch?v=SC4xMk98Pdc
37,38,Rabetão,MC Lan,2,20002868,2.5%,https://www.youtube.com/watch?v=RymhzC238YI
38,47,Sugar,Maroon 5,68,19806088,16.2%,https://www.youtube.com/watch?v=09R8_2nJtjg
39,42,It Ain't Me,Kygo & Selena Gomez,16,19440896,3.1%,https://www.youtube.com/watch?v=u3VTKvdAuIY
40,40,Shake It Off,Taylor Swift,68,19199328,1.2%,https://www.youtube.com/watch?v=nfWlot6h_JM
41,44,Roar,Katy Perry,68,18656200,5.1%,https://www.youtube.com/watch?v=CevxZvSJLk8
42,30,Rolex,Ayo & Teo,13,18631432,-16.2%,https://www.youtube.com/watch?v=lwk5OUII9Vc
43,46,"Bailando - Spanish Version (feat. Descemer Bueno, Gente De Zona)",Enrique Iglesias,68,17230374,-0.6%,https://www.youtube.com/watch?v=NUsoVlDFqZg
44,48,Don't Let Me Down (feat. Daya),The Chainsmokers,63,17069079,0.5%,https://www.youtube.com/watch?v=Io0fBr1XBUA
45,45,El Perdedor,Maluma,59,16504893,-6.7%,https://www.youtube.com/watch?v=PJniSb91tvo
46,43,HUMBLE.,Kendrick Lamar,10,16477574,-10.3%,https://www.youtube.com/watch?v=tvTRZJ-4EyI
47,41,Galway Girl,Ed Sheeran,6,16431801,-13%,https://www.youtube.com/watch?v=87gWaABqGYs
48,50,24K Magic,Bruno Mars,35,16126172,-0.9%,https://www.youtube.com/watch?v=UqyT8IEBkvY
49,55,Dark Horse (feat. Juicy J),Katy Perry,51,15798048,4.2%,https://www.youtube.com/watch?v=0KSOMA3QBU0
50,53,Stay (Zedd & Alessia Cara),Zedd,15,15768797,1.9%,https://www.youtube.com/watch?v=yWEK4v9AVKQ
51,54,Lean On (Major Lazer & DJ Snake) (Feat. MØ),Major Lazer,68,15726649,2.9%,https://www.youtube.com/watch?v=YqeW9_5kURI
52,59,There's Nothing Holdin' Me Back,Shawn Mendes,7,15401596,4.3%,https://www.youtube.com/watch?v=
53,49,iSpy (feat. Lil Yachty),KYLE,11,15254742,-8%,https://www.youtube.com/watch?v=5XK4v2fgMPU
54,62,"Kala Chashma (Amar Arshi, Badshah & Neha Kakkar)",Badshah,46,15083964,5.3%,https://www.youtube.com/watch?v=k4yXQkG2s1E
55,60,Unforgettable (feat. Swae Lee),French Montana,7,15079175,2.8%,https://www.youtube.com/watch?v=CTFtOOh47oo
56,52,Vai Embrazando (feat. MC Vigary),MC Zaac,12,14879539,-4.8%,https://www.youtube.com/watch?v=Nk7S7D0CQOY
57,56,Alone,Marshmello,39,14833822,-1.4%,https://www.youtube.com/watch?v=ALZHF5UqnU4
58,57,All About That Bass,Meghan Trainor,66,14808229,-0.7%,https://www.youtube.com/watch?v=7PCkvCPvDXk
59,78,Deja vu (Prince Royce & Shakira),Prince Royce,11,14721761,20%,https://www.youtube.com/watch?v=XEvKn-QgAY0
60,64,Quisiera,CNCO,19,14497208,4.9%,https://www.youtube.com/watch?v=GtOngOaClgU
61,65,Thinking Out Loud,Ed Sheeran,68,14384899,4.7%,https://www.youtube.com/watch?v=lp-EO5I60KA
62,63,Sign of the Times,Harry Styles,8,14019026,0.2%,https://www.youtube.com/watch?v=qN4ooNx77u0
63,95,Paradinha,Anitta,2,13968400,30.5%,https://www.youtube.com/watch?v=-73pafJ9RFg
64,51,This Is What You Came For (feat. Rihanna),Calvin Harris,58,13936976,-11.4%,https://www.youtube.com/watch?v=kOkQ4T5WO9E
65,61,Swang,Rae Sremmurd,16,13934001,-2.9%,https://www.youtube.com/watch?v=dmJefsOErr0
66,58,El Perdón (Nicky Jam & Enrique Iglesias),Nicky Jam,67,13909831,-5.9%,https://www.youtube.com/watch?v=hXI8RQYC36Q
67,81,Believer,Imagine Dragons,5,13764130,13.1%,https://www.youtube.com/watch?v=7wtfhZwyrcc
68,68,Heathens,Twenty One Pilots,51,13157261,-1.6%,https://www.youtube.com/watch?v=UprcpdwuwCg
69,67,La Mordidita (feat. Yotuel),Ricky Martin,64,13155782,-3.6%,https://www.youtube.com/watch?v=lBztnahrOFw
70,70,"Saahore Baahubali (Daler Mehendi, M.M. Keeravaani & Mounima)",M. M. Keeravani,5,12992713,-1.7%,https://www.youtube.com/watch?v=vlkNcHDFnGA
71,66,O Grave Bater,MC Kevinho,11,12726555,-6.7%,https://www.youtube.com/watch?v=-PH4S7IPQxU
72,75,Can't Stop the Feeling!,Justin Timberlake,36,12716689,0.6%,https://www.youtube.com/watch?v=ru0K8uYEZWw
73,71,"Cuatro Babys (feat. Noriel, Bryant Myers & Juhn)",Maluma,34,12694585,-3%,https://www.youtube.com/watch?v=OXq-JP8w5H4
74,76,PPAP,Pikotaro,37,12674631,1.3%,https://www.youtube.com/watch?v=HFlgNoUsr4k
75,74,Bad and Boujee (feat. Lil Uzi Vert),Migos,21,12669741,-1.7%,https://www.youtube.com/watch?v=S-sJp1FfG7Q
76,79,Chained to the Rhythm (feat. Skip Marley),Katy Perry,17,12562513,3%,https://www.youtube.com/watch?v=Um7pMggPnug
77,80,A Thousand Years,Christina Perri,68,12515155,2.6%,https://www.youtube.com/watch?v=rtOvBOTyX00
78,,Sigo Extrañándote,J Balvin,4,12343752,,https://www.youtube.com/watch?v=nZ0zbsZOdwg
79,,Strip That Down (feat. Quavo),Liam Payne,1,12166711,,https://www.youtube.com/watch?v=vSW2M-BB1NE
80,89,Let Her Go,Passenger,59,12045013,7%,https://www.youtube.com/watch?v=RBumgq5yVrA
81,69,Hey DJ,CNCO,5,11891653,-10.9%,https://www.youtube.com/watch?v=X6wQOW9ihDA
82,82,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,67,11841135,-1.6%,https://www.youtube.com/watch?v=5GL9JoH4Sws
