Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,WAP (feat. Megan Thee Stallion),Cardi B,1,104848400,,https://www.youtube.com/watch?v=hsm4poTWjMs
2,1,How You Like That,BLACKPINK,7,74252712,-12.9%,https://www.youtube.com/watch?v=ioNng23DkIM
3,2,Agua,Tainy & J Balvin,5,52526033,-2.1%,https://www.youtube.com/watch?v=QLz9VaksClg
4,3,Tattoo (Remix),Rauw Alejandro & Camilo,23,44068118,-11.2%,https://www.youtube.com/watch?v=wJT-YKmlWJc
5,4,Savage Love (Karaoke),"Jawsh 685, Jason Derulo & Sing King",9,39115146,-6%,https://www.youtube.com/watch?v=gUci-tsiU4I
6,5,La Jeepeta (Remix),"Nio Garcia, Brray, Juanka, Anuel AA & Myke Towers",16,38263749,-6.4%,https://www.youtube.com/watch?v=yErttA9tEro
7,7,DANCE MONKEY,Tones and I,48,35444021,-1.1%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
8,8,Life Is Good (feat. Drake),FUTURE,30,34711817,-3.1%,https://www.youtube.com/watch?v=l0U7SxXHkPY
9,9,Feelings,Sumit Goswami,4,33250759,3.3%,https://www.youtube.com/watch?v=AZmAgoir1Tc
10,14,"Ay, DiOs Mío!",KAROL G,5,29065072,31.6%,https://www.youtube.com/watch?v=Ou2c2aj5Fcw
11,21,Oh Juliana,Niack,5,28295655,50.1%,https://www.youtube.com/watch?v=Tun92VU2OkU
12,11,ROCKSTAR (feat. Roddy Ricch),DaBaby,16,24491254,-2.5%,https://www.youtube.com/watch?v=mxFstYSbBmc
13,12,Khairiyat,Arijit Singh,9,24154747,-0.5%,https://www.youtube.com/watch?v=hoNb6HuNmU0
14,6,PUNANI,6ix9ine,2,23821113,-38.8%,https://www.youtube.com/watch?v=AY1bA23hGMU
15,16,La Curiosidad,"Jay Wheeler, DJ Nelson & Myke Towers",7,22471832,3.9%,https://www.youtube.com/watch?v=Q_gIYp078so
16,17,Blinding Lights,The Weeknd,34,21889622,2.3%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
17,13,Djadja (feat. Maluma),Aya Nakamura,16,21301489,-6%,https://www.youtube.com/watch?v=_wRFdiBR8sg
18,15,Mamichula,"Trueno, Nicki Nicole & Bizarrap",3,20067076,-7.5%,https://www.youtube.com/watch?v=NUteQQCMa_k
19,20,Caramelo (Remix),"KAROL G, Myke Towers & Ozuna",9,19015948,0.4%,https://www.youtube.com/watch?v=KilybZma5vY
20,18,Relación (Remix),"Sech, Daddy Yankee, J Balvin, Rosalía & Farruko",13,18090258,-12.6%,https://www.youtube.com/watch?v=XseIJg8Vyj0
21,26,Someone You Loved,Lewis Capaldi,44,18038456,3.4%,https://www.youtube.com/watch?v=zABLecsR5UE
22,19,Tum Hi Aana,Jubin Nautiyal,44,17867229,-7%,https://www.youtube.com/watch?v=VFTSW817JlI
23,,Jerusalema (feat. Nomcebo Zikode),Master KG,4,17163909,,https://www.youtube.com/watch?v=fCZVL_8D048
24,27,Dil Tod Ke (feat. B Praak),Rochak Kohli,4,17064442,5.7%,https://www.youtube.com/watch?v=ZTBwxy4wsBQ
25,31,Meri Aashiqui (feat. Jubin Nautiyal),Rochak Kohli,11,16718725,12.7%,https://www.youtube.com/watch?v=SVjkxdjivts
26,,Kulepas Dengan Ikhlas,Lesti,1,16613552,,https://www.youtube.com/watch?v=bDIQQRjQFE0
27,23,GOOBA,6ix9ine,14,16550629,-8.4%,https://www.youtube.com/watch?v=pPw_izFr5PA
28,22,Maria (마리아),Hwa Sa,7,16541256,-11%,https://www.youtube.com/watch?v=tDukIfFzX18
29,,Dil Ko Maine Di Kasam (feat. Arijit Singh),Amaal Mallik,1,16426430,,https://www.youtube.com/watch?v=UsMRgnTcchY
30,28,Before You Go (Acoustic),Lewis Capaldi,17,16059960,1.1%,https://www.youtube.com/watch?v=Jtauh8GcxBY
31,30,Hawái,Maluma,2,15931657,6.8%,https://www.youtube.com/watch?v=pK060iUFWXg
32,24,9XM House Of Dance,--,20,15862923,-12.1%,https://www.youtube.com/watch?v=SD4Z8dlZPd8
33,25,Illegal Weapon 2.0,Jasmine Sandlas & Garry Sandhu,30,15597971,-12.3%,https://www.youtube.com/watch?v=GOkJguI8kYc
34,39,death bed (coffee for your head) (feat. Beabadoobee),Powfu,23,14026811,0.9%,https://www.youtube.com/watch?v=WB4Nmh76fAc
35,36,El Efecto,Rauw Alejandro & Chencho Corleone,20,13724109,-4.3%,https://www.youtube.com/watch?v=vpD_EvXiGQ4
36,35,PORFA (Remix),"Feid, Justin Quiles, J Balvin, Nicky Jam, Maluma & Sech",19,13397234,-6.7%,https://www.youtube.com/watch?v=zTpswDtnBBI
37,38,Roses (Imanbek Remix),SAINt JHN,25,13372478,-4%,https://www.youtube.com/watch?v=2zToEPpFEN8
38,34,Play Date,Melanie Martinez,16,13268608,-7.6%,https://www.youtube.com/watch?v=kknKs7cAcO8
39,42,PuttaBombe,--,25,13255108,-3.1%,https://www.youtube.com/watch?v=8LZ2loz71Sw
40,29,夜に駆ける,YOASOBI,11,12790356,-18.6%,https://www.youtube.com/watch?v=x8VYWazR5mE
41,79,Mood Swings (feat. Lil Tjay),Pop Smoke,2,12759084,36.7%,https://www.youtube.com/watch?v=mM8ostx0Ub8
42,46,Yo Perreo Sola,Bad Bunny,24,12457714,-5.5%,https://www.youtube.com/watch?v=GtSRKwDCaZM
43,53,Cennetten Çiçek,Zehra,7,12278549,0.1%,https://www.youtube.com/watch?v=4OkiH2yD-eQ
44,43,TKN,Rosalía & Travis Scott,8,12243949,-10.2%,https://www.youtube.com/watch?v=q5xIoeG4uVI
45,50,"WHATS POPPIN (Remix) (feat. DaBaby, Tory Lanez & Lil Wayne)",Jack Harlow,7,12152679,-4.5%,https://www.youtube.com/watch?v=HIwAI05Y1fU
46,37,أنا لما بحب,--,11,12126606,-14.4%,https://www.youtube.com/watch?v=XSBkvdx3dKc
47,,Smile,Juice WRLD & The Weeknd,1,12117875,,https://www.youtube.com/watch?v=2avPJ9TZNmU
48,57,ໃສ່ໃຈໄດ້ແຕ່ມອງ,GX2,3,12092671,1.3%,https://www.youtube.com/watch?v=IwkXYEiyNUI
49,45,Singapur (Remix),"El Alfa, Farruko, Myke Towers, Justin Quiles & Chencho Corleone",7,12063099,-9%,https://www.youtube.com/watch?v=3niVHCdB1wA
50,47,TROLLZ (feat. Nicki Minaj),6ix9ine,9,11693314,-10.3%,https://www.youtube.com/watch?v=oNg3M9IJJlY
51,40,Watermelon Sugar,Harry Styles,8,11296344,-18.3%,https://www.youtube.com/watch?v=E07s5ZYygMg
52,54,Azul (Live),J Balvin,13,11292469,-7.8%,https://www.youtube.com/watch?v=bcaLBKH-Yfc
53,,NİMET (feat. Eglo G),Didomido,1,11199709,,https://www.youtube.com/watch?v=idqdUopJazc
54,66,Satisfya,Imran Khan,10,11065415,8.4%,https://www.youtube.com/watch?v=pfVODjDBFxU
55,,حس بيا (HES BIYA),L7OR,1,10807033,,https://www.youtube.com/watch?v=i-bHU44jg8M
56,32,Kurta Pajama,Tony Kakkar,4,10791908,-25.7%,https://www.youtube.com/watch?v=B_hbJRNInkA
57,,"Cazzu: Bzrp Music Sessions, Vol. 32",Bizarrap & Cazzu,1,10684407,,https://www.youtube.com/watch?v=prU2g7PBTxs
58,59,Make you happy,NiziU,7,10635134,-9.5%,https://www.youtube.com/watch?v=QW28YKqdxe0
59,,Le Photu Le,Neelu Rangili,16,10626926,,https://www.youtube.com/watch?v=O0n2T014eBM
60,74,"Feel Me (feat. Justin Quiles, Lenny Tavárez, Feid & Mariah)","Rich Music, Ltd, Sech & Dalex",2,10571509,9.3%,https://www.youtube.com/watch?v=n8zo60TdOdE
61,76,Favorito,Camilo,20,10433524,8.9%,https://www.youtube.com/watch?v=2mY7AFTtYwQ
62,44,YAYA,6ix9ine,6,10401153,-22.1%,https://www.youtube.com/watch?v=yxgJclR4dUU
63,70,Break My Heart,Dua Lipa,20,10225160,0.9%,https://www.youtube.com/watch?v=Nj2U6rhnucI
64,62,Go Crazy,Chris Brown & Young Thug,4,10208598,-3.4%,https://www.youtube.com/watch?v=dPhwbZBvW2o
65,,Waka Waka (This Time for Africa),Shakira,26,9907828,,https://www.youtube.com/watch?v=pRpeEdMmmQ0
66,58,UN DIA (ONE DAY),"J Balvin, Dua Lipa, Bad Bunny & Tainy",3,9773041,-18.1%,https://www.youtube.com/watch?v=BjhW3vBA1QU
67,,Galaksi,Ece Mumay,1,9698600,,https://www.youtube.com/watch?v=BVzsT0Apa5I
68,56,Jolie Nana,Aya Nakamura,3,9661918,-19.3%,https://www.youtube.com/watch?v=bSi8w6xJwVc
69,63,Dream Girl (Remix),Ir Sais & Rauw Alejandro,10,9622814,-6.9%,https://www.youtube.com/watch?v=P9YwNtBS4m4
70,72,MAMACITA,"Black Eyed Peas, Ozuna & J. Rey Soul",13,9521053,-5.6%,https://www.youtube.com/watch?v=4bP8wbt4SeA
71,60,Na Raba Toma Tapão,Niack,13,9519893,-13.7%,https://www.youtube.com/watch?v=UR7O8IekguY
72,75,Savage,Megan Thee Stallion,20,9513791,-1%,https://www.youtube.com/watch?v=EOxj2ROIxok
73,71,We Paid (feat. 42 Dugg),Lil Baby,14,9420583,-6.7%,https://www.youtube.com/watch?v=GErG9femMQk
74,67,Rain On Me,Lady Gaga & Ariana Grande,12,9381188,-8.1%,https://www.youtube.com/watch?v=AoAm4om0wTs
75,10,my future,Billie Eilish,2,9349340,-70.5%,https://www.youtube.com/watch?v=Dm9Zf1WYQ_A
76,,4K,"El Alfa, Darell & Noriel",1,9344347,,https://www.youtube.com/watch?v=Y_Xm72p6ruY
77,80,Stuck with U,Justin Bieber & Ariana Grande,14,9343764,0.7%,https://www.youtube.com/watch?v=pE49WK-oNjU
78,91,Kings & Queens,Ava Max,2,9343475,10.1%,https://www.youtube.com/watch?v=jH1RNk8954Q
79,,Пикачу,MIA BOYKA & Egor Ship,1,9328554,,https://www.youtube.com/watch?v=zMd_PxpF0Ug
