Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,Havana (feat. Young Thug),Camila Cabello,14,124039932,2.5%,https://www.youtube.com/watch?v=BQ0mxQXmLsk
2,1,Perfect,Ed Sheeran,18,105385200,-13.3%,https://www.youtube.com/watch?v=2Vv-BfVoq4g
3,3,Despacito,Luis Fonsi & Daddy Yankee,51,100389934,12.7%,https://www.youtube.com/watch?v=kJQP7kiw5Fk
4,5,Shape of You,Ed Sheeran,52,84789121,8.3%,https://www.youtube.com/watch?v=JGwWNGJdvx8
5,4,Corazón (feat. Nego do Borel),Maluma,9,76700887,-2.2%,https://www.youtube.com/watch?v=GmHrjFIWl6U
6,6,Échame la Culpa (Luis Fonsi & Demi Lovato),Luis Fonsi & Demi Lovato,7,73883048,5.4%,https://www.youtube.com/watch?v=TyHvyGVs42U
7,7,Criminal,Natti Natasha & Ozuna,20,53545988,-11.1%,https://www.youtube.com/watch?v=VqEbCxg2bNI
8,8,Gucci Gang,Lil Pump,13,51021883,-15.3%,https://www.youtube.com/watch?v=4LfJnj66HVQ
9,10,Mi Gente (J Balvin & Willy William) (feat. Beyoncé),J Balvin & Willy William,27,49843472,2.8%,https://www.youtube.com/watch?v=APHgDFRpCi0
10,14,New Rules,Dua Lipa,25,45007175,1%,https://www.youtube.com/watch?v=k2qgadSvNyU
11,12,Faded,Alan Walker,82,44373317,-4.2%,https://www.youtube.com/watch?v=60ItHLz5WEA
12,13,Mayores (feat. Bad Bunny),Becky G,25,43287508,-5.1%,https://www.youtube.com/watch?v=GMFewiplIbw
13,16,Bum Bum Tam Tam,MC Fioti,29,40806842,3.6%,https://www.youtube.com/watch?v=_P7S2lKif-A
14,11,"VAI MALANDRA (ANITTA, MC ZAAC, MAEJOR (FEAT. TROPKILLAZ & DJ YURI MARTINS)","Anitta, MC Zaac & Maejor",2,40302770,-13%,https://www.youtube.com/watch?v=kDhptBT_-VI
15,15,Dusk Till Dawn (feat. Sia),ZAYN,17,39700220,-0.6%,https://www.youtube.com/watch?v=tt2k8PGm-TI
16,32,Bella y Sensual,"Romeo Santos, Nicky Jam & Daddy Yankee",6,38620373,48.9%,https://www.youtube.com/watch?v=RSRzIrOqaN4
17,17,Swag Se Swagat (Vishal Dadlani & Neha Bhasin),Vishal Dadlani & Neha Bhasin,5,36587552,-1.5%,https://www.youtube.com/watch?v=xmU0s2QtaEY
18,18,Rockstar (feat. 21 Savage),Post Malone,10,35165679,-2.5%,https://www.youtube.com/watch?v=UceaB4D0jpo
19,24,Panama,Matteo,12,32171958,9.4%,https://www.youtube.com/watch?v=tMmMTdc7RE0
20,22,Bonita (J Balvin & Jowell & Randy),J Balvin & Jowell & Randy,11,31082601,2.3%,https://www.youtube.com/watch?v=SqpvOqRieYY
21,30,Síguelo Bailando,Ozuna,8,28978861,10%,https://www.youtube.com/watch?v=Dvpd9_5vuks
22,26,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,11,27821562,2.3%,https://www.youtube.com/watch?v=y7d9VLRO3vc
23,23,Sensualidad,"Bad Bunny, Prince Royce & J Balvin",9,26967559,-10.9%,https://www.youtube.com/watch?v=ovX1HloCgdA
24,38,Lahore,Guru Randhawa,3,26389055,11%,https://www.youtube.com/watch?v=dZ0fwJojhrs
25,29,Too Good At Goodbyes,Sam Smith,17,25659791,-3.9%,https://www.youtube.com/watch?v=J_ub7Etch2U
26,31,Olha a Explosão,MC Kevinho,50,25097072,-3.4%,https://www.youtube.com/watch?v=3yd_eoMOvqk
27,59,High Rated Gabru,Guru Randhawa,10,24619263,35.8%,https://www.youtube.com/watch?v=hjWf8A0YNSE
28,36,Ghoomar (Shreya Ghoshal & Swaroop Khan),Shreya Ghoshal & Swaroop Khan,10,24462252,-1.2%,https://www.youtube.com/watch?v=6cKErCWrb44
29,21,"NO LIMIT REMIX (FEAT. A ROCKY, CARDI B, FRENCH MONTANA, JUICY J, BELLY)",G-Eazy,3,24318480,-21.9%,https://www.youtube.com/watch?v=l_lblj8Cq0o
30,41,Thunder,Imagine Dragons,18,24256441,4.2%,https://www.youtube.com/watch?v=fKopy74weus
31,37,DNA,BTS,16,24029256,-1.5%,https://www.youtube.com/watch?v=MBdVXkSdhwU
32,27,Robarte un Beso,Carlos Vives & Sebastián Yatra,18,23527367,-13.4%,https://www.youtube.com/watch?v=Mtau4v6foHA
33,70,Tak Tun Tuang,Upiak,4,23421490,44.3%,https://www.youtube.com/watch?v=ShEkg2zU0AY
34,25,Heart Shaker,TWICE,4,22584455,-21%,https://www.youtube.com/watch?v=rRzxEiBLQCA
35,33,"MotorSport (Migos, Nicki Minaj & Cardi B)","Migos, Nicki Minaj & Cardi B",7,22180582,-14.3%,https://www.youtube.com/watch?v=9v_rtaye2yY
36,34,El Farsante (Remix),Ozuna,25,22047821,-12.2%,https://www.youtube.com/watch?v=wfWkmURBNv8
37,44,Bodak Yellow,Cardi B,23,21412353,-1.8%,https://www.youtube.com/watch?v=PEGccV-NOm8
38,22,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,53,21362802,-23.6%,https://www.youtube.com/watch?v=papuvlVeZg8
39,49,Believer,Imagine Dragons,24,21316593,4.3%,https://www.youtube.com/watch?v=7wtfhZwyrcc
40,43,MIC Drop (Steve Aoki Remix),BTS,7,21052970,-3.5%,https://www.youtube.com/watch?v=kTlv5_Bs8aw
41,35,Krippy Kush,"Farruko, Bad Bunny & Rvssian",22,20894200,-16%,https://www.youtube.com/watch?v=j1_JW7An2l0
42,55,Wolves (Selena Gomez & Marshmello),Selena Gomez & Marshmello,10,20731494,9.2%,https://www.youtube.com/watch?v=cH4E_t3m3xM
43,42,Se Preparó,Ozuna,20,20433432,-11.3%,https://www.youtube.com/watch?v=KWGrPNqz4uc
44,,Photograph,Ed Sheeran,26,20278046,,https://www.youtube.com/watch?v=nSDgHBxUbVQ
45,39,Me Rehúso,Danny Ocean,29,20234776,-13.7%,https://www.youtube.com/watch?v=aDCcLQto5BM
46,56,Young Dumb & Broke,Khalid,17,19953379,5.2%,https://www.youtube.com/watch?v=IPfJnp1guPc
47,40,Gummo,6ix9ine,8,19903341,-15%,https://www.youtube.com/watch?v=gAs9HZC9c7Y
48,52,Look What You Made Me Do,Taylor Swift,19,19492652,0.2%,https://www.youtube.com/watch?v=3tmd-ClpJxA
49,45,Cásate Conmigo,Silvestre Dangond & Nicky Jam,15,19435909,-10.6%,https://www.youtube.com/watch?v=cpN78ZjnCZY
50,19,"Dil Chori (Yo Yo Honey Singh, Simar Kaur & Ishers)","Honey Singh, Simar Kaur & Ishers",2,19431615,-44.9%,https://www.youtube.com/watch?v=xWi8nDUjHGA
51,60,Rabiola,MC Kevinho,5,19305365,6.5%,https://www.youtube.com/watch?v=tXFyeIjwQUw
52,54,Cham Cham (feat. Monali Thakur),Meet Bros,14,19292242,1.3%,https://www.youtube.com/watch?v=f6vY6tYvKGA
53,50,Perro Fiel (feat. Nicky Jam),Shakira,16,19154184,-3%,https://www.youtube.com/watch?v=SHq2qrFUlGY
54,61,Prem Ratan Dhan Payo,Palak Muchhal,21,18426874,1.8%,https://www.youtube.com/watch?v=bPk9bSvQQoc
55,64,Dona Maria (feat. JORGE),Thiago Brava,4,18318141,3.9%,https://www.youtube.com/watch?v=qaPDDTLkB2U
56,51,Esperándote,Manuel Turizo,4,18041349,-7.6%,https://www.youtube.com/watch?v=ooHII67__Sg
57,48,La Modelo (feat. Cardi B),Ozuna,3,17713773,-15.7%,https://www.youtube.com/watch?v=X8sSXU-J8fI
58,67,As If It's Your Last,BLACKPINK,28,17447296,5.1%,https://www.youtube.com/watch?v=Amq-qlqbjYA
59,69,How Long,Charlie Puth,11,17116842,3.9%,https://www.youtube.com/watch?v=CwfoyVa980U
60,62,Likey,TWICE,9,16895032,-6.5%,https://www.youtube.com/watch?v=V2hlQkVJZhE
61,53,Kooda,6ix9ine,5,16678291,-13.7%,https://www.youtube.com/watch?v=yz7Cn3pHibo
