Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Havana (feat. Young Thug),Camila Cabello,18,122863271,-5.6%,https://www.youtube.com/watch?v=BQ0mxQXmLsk
2,2,Perfect,Ed Sheeran,22,93619482,-14.3%,https://www.youtube.com/watch?v=2Vv-BfVoq4g
3,3,Échame la Culpa (Luis Fonsi & Demi Lovato),Luis Fonsi & Demi Lovato,11,73815139,-0.8%,https://www.youtube.com/watch?v=TyHvyGVs42U
4,4,Corazón (feat. Nego do Borel),Maluma,13,65518199,-9.2%,https://www.youtube.com/watch?v=GmHrjFIWl6U
5,8,FINESSE (REMIX) (Feat. Cardi B),Bruno Mars,5,58907925,37.3%,https://www.youtube.com/watch?v=LsoLEjrDogU
6,5,Que Tiro Foi Esse,Jojo Maronttinni,3,57235777,-8.4%,https://www.youtube.com/watch?v=Qw4uBk7DOa8
7,,Bum Bum Tam Tam,MC Fioti,3,45652375,,https://www.youtube.com/watch?v=_P7S2lKif-A
8,,Criminal,Natti Natasha & Ozuna,3,45139464,,https://www.youtube.com/watch?v=VqEbCxg2bNI
9,7,Faded,Alan Walker,86,42924705,-0.1%,https://www.youtube.com/watch?v=60ItHLz5WEA
10,,Aashiq Banaya Aapne (Himesh Reshammiya & Shreya Ghoshal),Himesh Reshammiya & Shreya Ghoshal,5,42345921,,https://www.youtube.com/watch?v=0bAVd9jJE2Q
11,6,Gucci Gang,Lil Pump,17,42141013,-12.5%,https://www.youtube.com/watch?v=4LfJnj66HVQ
12,16,Dura,Daddy Yankee,2,39782968,9%,https://www.youtube.com/watch?v=sGIm0-dQd8M
13,,Mi Gente (J Balvin & Willy William) (feat. Beyoncé),J Balvin & Willy William,3,37863195,,https://www.youtube.com/watch?v=APHgDFRpCi0
14,12,Dusk Till Dawn (feat. Sia),ZAYN,21,37562258,-6.1%,https://www.youtube.com/watch?v=tt2k8PGm-TI
15,18,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,15,34866315,0.2%,https://www.youtube.com/watch?v=y7d9VLRO3vc
16,17,Bonita (J Balvin & Jowell & Randy),J Balvin & Jowell & Randy,15,33569779,-7.3%,https://www.youtube.com/watch?v=SqpvOqRieYY
17,20,Síguelo Bailando,Ozuna,12,33134912,-4.1%,https://www.youtube.com/watch?v=Dvpd9_5vuks
18,15,Lahore,Guru Randhawa,7,33108736,-11.1%,https://www.youtube.com/watch?v=dZ0fwJojhrs
19,13,New Rules,Dua Lipa,29,33050102,-16.4%,https://www.youtube.com/watch?v=k2qgadSvNyU
