Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,Kill This Love,BLACKPINK,4,85834133,-34%,https://www.youtube.com/watch?v=2S24-y0Ij3Y
2,3,Con Calma (Remix) (feat. Snow),Daddy Yankee & Katy Perry,13,85269037,15.6%,https://www.youtube.com/watch?v=lmCEZhb-z-Q
3,4,Old Town Road (feat. Billy Ray Cyrus),Lil Nas X,5,66287947,-9.3%,https://www.youtube.com/watch?v=r7qovpFAGrQ
4,5,Calma (Remix),"Pedro Capó, Alan Walker & Farruko",26,61165337,-5.3%,https://www.youtube.com/watch?v=YS2RmyES-GU
5,1,Boy With Luv (feat. Halsey),BTS,2,57426573,-65.7%,https://www.youtube.com/watch?v=XsX3ATc3FbA
6,,Earth,Lil Dicky,1,57010141,,https://www.youtube.com/watch?v=vA2CrXj7wZM
7,6,Vaaste,Dhvani Bhanushali & Nikhil D'Souza,3,54730051,5.2%,https://www.youtube.com/watch?v=BBAyRBTfsOU
8,10,7 rings,Ariana Grande,14,37458749,2.5%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
9,8,bad guy,Billie Eilish,4,36103569,-5.1%,https://www.youtube.com/watch?v=DyDfgMOUjCI
10,,La Respuesta,Becky G & Maluma,1,32854145,,https://www.youtube.com/watch?v=sWK6eBYGZBM
11,,Zemër (feat. Soolking),Dhurata Dora,1,30924647,,https://www.youtube.com/watch?v=GCpvmHi1gxU
12,59,Clout (feat. Cardi B),Offset,2,30414756,117.1%,https://www.youtube.com/watch?v=mt2zvsvkKKo
13,16,Aankh Marey,"Neha Kakkar, Mika Singh & Kumar Sanu",20,29418930,-0.6%,https://www.youtube.com/watch?v=_KhQT-LGb-4
14,11,Girls Like You (feat. Cardi B),Maroon 5,47,28974359,-14.1%,https://www.youtube.com/watch?v=aJOTlE1K90k
15,18,Lily (Rock Version),"Alan Walker, Emelie Hollow & K-391",7,28764014,-0.5%,https://www.youtube.com/watch?v=kTJbE3sfvlI
