Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Shape of You,Ed Sheeran,12,153232877,-2.3%,https://www.youtube.com/watch?v=JGwWNGJdvx8
2,2,Despacito,Luis Fonsi & Daddy Yankee,11,101013452,-0.9%,https://www.youtube.com/watch?v=kJQP7kiw5Fk
3,3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,20,56305779,-7.5%,https://www.youtube.com/watch?v=papuvlVeZg8
4,4,Chantaje (feat. Maluma),Shakira,22,51389557,-3%,https://www.youtube.com/watch?v=6Mgqbai3fKo
5,5,Closer (feat. Halsey),The Chainsmokers,35,45460897,0.5%,https://www.youtube.com/watch?v=0zGcUoRlhmw
6,6,That's What I Like,Bruno Mars,3,41878994,2.5%,https://www.youtube.com/watch?v=PMivT7MJ41M
7,7,Reggaetón Lento (Bailemos),CNCO,19,36493986,-4.4%,https://www.youtube.com/watch?v=7jpqqBX-Myw
8,9,Starboy (feat. Daft Punk),The Weeknd,27,32701682,-3%,https://www.youtube.com/watch?v=34Na4j8AVgA
9,,Deja vu (Prince Royce & Shakira),Prince Royce,1,32391876,,https://www.youtube.com/watch?v=XEvKn-QgAY0
10,8,El Amante,Nicky Jam,11,32301782,-5.2%,https://www.youtube.com/watch?v=YG2p6XBuSKA
11,12,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,36,31731185,4.4%,https://www.youtube.com/watch?v=3AtDnEC4zak
12,11,Something Just Like This (The Chainsmokers & Coldplay),The Chainsmokers,6,31126892,1.7%,https://www.youtube.com/watch?v=FM7MFYoylVs
13,13,GANGNAM STYLE (강남스타일),PSY,58,28798203,-2.6%,https://www.youtube.com/watch?v=9bZkp7q19f0
14,10,Vente Pa' Ca (feat. Maluma),Ricky Martin,27,28628452,-7%,https://www.youtube.com/watch?v=iOe6dI2JhgU
15,16,SUBEME LA RADIO (feat. Descemer Bueno & Zion y Lennox),Enrique Iglesias,5,28580589,3.9%,https://www.youtube.com/watch?v=9sg-A-eS6Ig
16,15,See You Again (feat. Charlie Puth),Wiz Khalifa,58,28544756,-0.4%,https://www.youtube.com/watch?v=RgKAFK5djSk
17,20,It Ain't Me,Kygo & Selena Gomez,6,26212561,7.6%,https://www.youtube.com/watch?v=u3VTKvdAuIY
18,46,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2,25583222,61%,https://www.youtube.com/watch?v=NGLxoKOvzu4
19,19,Uptown Funk (feat. Bruno Mars),Mark Ronson,58,25156392,2.9%,https://www.youtube.com/watch?v=OPf0YbXqDm0
20,14,I Don’t Wanna Live Forever (Fifty Shades Darker) (ZAYN & Taylor Swift),ZAYN,9,25135542,-12.9%,https://www.youtube.com/watch?v=AY9blLYMKnI
21,18,Chained to the Rhythm (feat. Skip Marley),Katy Perry,7,23972830,-7%,https://www.youtube.com/watch?v=Um7pMggPnug
22,17,This Is What You Came For (feat. Rihanna),Calvin Harris,48,23593084,-10.7%,https://www.youtube.com/watch?v=kOkQ4T5WO9E
23,24,Treat You Better,Shawn Mendes,37,22741990,-2.6%,https://www.youtube.com/watch?v=lY2yjAdbvdQ
24,23,24K Magic,Bruno Mars,25,22502691,-4.8%,https://www.youtube.com/watch?v=UqyT8IEBkvY
25,26,Don't Let Me Down (feat. Daya),The Chainsmokers,53,21872302,-1.6%,https://www.youtube.com/watch?v=Io0fBr1XBUA
26,27,Sorry,Justin Bieber,58,21617713,2.4%,https://www.youtube.com/watch?v=fRh_vgS2dFE
27,28,Heathens,Twenty One Pilots,41,20806930,-0.5%,https://www.youtube.com/watch?v=UprcpdwuwCg
28,22,Castle on the Hill,Ed Sheeran,12,20683008,-14.2%,https://www.youtube.com/watch?v=K0ibBPhiaG0
29,25,Paris,The Chainsmokers,11,20628841,-7.6%,https://www.youtube.com/watch?v=fRNkQH4DVg8
30,29,Sin Contrato,Maluma,31,20457944,0%,https://www.youtube.com/watch?v=9xByMBYDRmY
31,32,Shake It Off,Taylor Swift,58,20313393,9.8%,https://www.youtube.com/watch?v=nfWlot6h_JM
32,30,Sugar,Maroon 5,58,20113199,1.5%,https://www.youtube.com/watch?v=09R8_2nJtjg
33,89,Тает лёд,Grebz,2,19256087,57.5%,https://www.youtube.com/watch?v=i9AHJkHqkpw
34,35,Si Tu Novio Te Deja Sola (feat. Bad Bunny),J Balvin,4,18261638,6.7%,https://www.youtube.com/watch?v=Km4BayZykwE
35,34,"Kala Chashma (Amar Arshi, Badshah & Neha Kakkar)",Badshah,36,18103584,2.1%,https://www.youtube.com/watch?v=k4yXQkG2s1E
36,31,PPAP,Pikotaro,27,18057150,-4.2%,https://www.youtube.com/watch?v=HFlgNoUsr4k
