Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,In My Feelings,Drake,5,62471551,-44.9%,https://www.youtube.com/watch?v=DRS_PpOrUZ4
2,2,Girls Like You (feat. Cardi B),Maroon 5,11,60385133,1.2%,https://www.youtube.com/watch?v=aJOTlE1K90k
3,10,I Like It,"Cardi B, Bad Bunny & J Balvin",18,48699206,23.6%,https://www.youtube.com/watch?v=xTlNMmZKwpA
4,16,Mi Cama,Karol G,14,45189960,39.7%,https://www.youtube.com/watch?v=8-mloCL49vs
5,4,Dilbar,"Neha Kakkar, Dhvani Bhanushali & Ikka Singh",7,45117546,-19.5%,https://www.youtube.com/watch?v=JFcgOboQZ08
6,7,Sin Pijama,Becky G & Natti Natasha,9,42542045,2.6%,https://www.youtube.com/watch?v=zEf423kYfqk
7,,Ya No Tiene Novio,Sebastián Yatra & Mau y Ricky,1,41518564,,https://www.youtube.com/watch?v=-qGbUNQqVNc
8,9,No Me Acuerdo,Thalía & Natti Natasha,11,40340310,1.7%,https://www.youtube.com/watch?v=iQEVguV71sI
9,12,No Es Justo,J Balvin & Zion & Lennox,13,39508224,4.8%,https://www.youtube.com/watch?v=2zn4dAuZ2RU
10,6,Te Boté (Remix),"Casper Magico, Nio Garcia, Darell, Nicky Jam, Bad Bunny & Ozuna",19,36547622,-20.8%,https://www.youtube.com/watch?v=9jI-z9QN6g8
11,11,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,8,36203380,-5.6%,https://www.youtube.com/watch?v=IHNzOHi8sJs
12,8,Vaina Loca,Ozuna & Manuel Turizo,7,34930575,-14.2%,https://www.youtube.com/watch?v=bx-fuY7LpSU
13,52,Aventurera,"Marko Silva, Kevin Roldan & Ronald El Killa",2,32329527,97.7%,https://www.youtube.com/watch?v=TX178Gmr-7Q
14,14,Perfect,Ed Sheeran,49,29956901,-17.7%,https://www.youtube.com/watch?v=2Vv-BfVoq4g
15,17,X,Nicky Jam & J Balvin,24,29144448,-9.3%,https://www.youtube.com/watch?v=_I_D_8Z4sJE
16,13,Dura,Daddy Yankee,30,28941805,-21.9%,https://www.youtube.com/watch?v=sGIm0-dQd8M
17,25,Lucid Dreams,Juice WRLD,13,28885804,25.9%,https://www.youtube.com/watch?v=mzB1VGEGcSU
18,5,FEFE,"6ix9ine, Nicki Minaj & Murda Beatz",4,26123032,-46.9%,https://www.youtube.com/watch?v=V_MXGdSBbAI
19,19,Solo (feat. Demi Lovato),Clean Bandit,11,25996053,-2.8%,https://www.youtube.com/watch?v=8JnfIa84TnU
