Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Despacito,Luis Fonsi & Daddy Yankee,24,150522389,-1.6%,https://www.youtube.com/watch?v=kJQP7kiw5Fk
2,2,Shape of You,Ed Sheeran,25,115651921,-3.2%,https://www.youtube.com/watch?v=JGwWNGJdvx8
3,3,Felices Los 4,Maluma,10,66868842,-1.7%,https://www.youtube.com/watch?v=t_jHrUE5IOk
4,,As If It's Your Last,BLACKPINK,1,65255781,,https://www.youtube.com/watch?v=Amq-qlqbjYA
5,4,"I'm The One (feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne)",DJ Khaled,9,46227142,-3.7%,https://www.youtube.com/watch?v=weeI1G46q0o
6,23,Burn It Down,Ahzee & Faydee,2,45192655,79.2%,https://www.youtube.com/watch?v=kmMPg9JElOM
7,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,33,44344858,-2.8%,https://www.youtube.com/watch?v=papuvlVeZg8
8,7,Despacito,Luis Fonsi & Daddy Yankee,11,42702574,-3.3%,https://www.youtube.com/watch?v=kJQP7kiw5Fk
9,8,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,15,42170267,0.5%,https://www.youtube.com/watch?v=NGLxoKOvzu4
10,11,Chantaje (feat. Maluma),Shakira,35,41780510,7.5%,https://www.youtube.com/watch?v=6Mgqbai3fKo
11,9,That's What I Like,Bruno Mars,16,41514806,-0.6%,https://www.youtube.com/watch?v=PMivT7MJ41M
12,6,Wild Thoughts (feat. Bryson Tiller & Rihanna),DJ Khaled,2,39164397,-14.1%,https://www.youtube.com/watch?v=fyaI4-5849w
13,10,"Ahora Dice (feat. J. Balvin, Ozuna & Arcángel)",Chris Jeday,14,39162290,-3.7%,https://www.youtube.com/watch?v=c73Cu3TQnlg
14,12,SUBEME LA RADIO (feat. Descemer Bueno & Zion y Lennox),Enrique Iglesias,18,33311930,-2%,https://www.youtube.com/watch?v=9sg-A-eS6Ig
15,13,Escápate Conmigo (feat. Ozuna),Wisin,13,31982155,3.5%,https://www.youtube.com/watch?v=3X9wEwulYhk
16,17,Closer (feat. Halsey),The Chainsmokers,48,28820813,0.6%,https://www.youtube.com/watch?v=0zGcUoRlhmw
17,15,Something Just Like This (The Chainsmokers & Coldplay),The Chainsmokers,19,28477111,-3.9%,https://www.youtube.com/watch?v=FM7MFYoylVs
18,16,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,49,28222717,-3.9%,https://www.youtube.com/watch?v=3AtDnEC4zak
19,22,GANGNAM STYLE (강남스타일),PSY,71,28123493,7.6%,https://www.youtube.com/watch?v=9bZkp7q19f0
20,18,Si Tu Novio Te Deja Sola (feat. Bad Bunny),J Balvin,17,27651055,-2.5%,https://www.youtube.com/watch?v=Km4BayZykwE
21,21,Reggaetón Lento (Bailemos),CNCO,32,26643431,0.2%,https://www.youtube.com/watch?v=7jpqqBX-Myw
