Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,Dynamite,BTS,9,62123658,3.5%,https://www.youtube.com/watch?v=gdZLi9oWNZg
2,1,Lovesick Girls,BLACKPINK,3,62063375,-36.1%,https://www.youtube.com/watch?v=dyRsYk0LyA8
3,3,Hawái,Maluma,12,54309977,-7%,https://www.youtube.com/watch?v=pK060iUFWXg
4,4,Savage Love (Laxed – Siren Beat)),"BTS, Jason Derulo & Jawsh 685",19,47309565,-5.2%,https://www.youtube.com/watch?v=qvu4nPMyl3U
5,6,Vida de Rico,Camilo,5,47051808,5.4%,https://www.youtube.com/watch?v=qKp1f7Vn9dM
6,5,How You Like That,BLACKPINK,17,44031924,-1.4%,https://www.youtube.com/watch?v=ioNng23DkIM
7,7,WAP (feat. Megan Thee Stallion),Cardi B,11,41046670,-3.3%,https://www.youtube.com/watch?v=hsm4poTWjMs
8,8,Relación (Remix),"Sech, Daddy Yankee, J Balvin, Rosalía & Farruko",23,37336384,-8.9%,https://www.youtube.com/watch?v=XseIJg8Vyj0
9,9,Caramelo (Remix),"KAROL G, Myke Towers & Ozuna",19,34926824,-8.3%,https://www.youtube.com/watch?v=KilybZma5vY
10,,Lonely,--,1,33284455,,https://www.youtube.com/watch?v=xQOO2xGQ1Pc
11,10,Pretty Savage,BLACKPINK,3,32520865,-12.5%,https://www.youtube.com/watch?v=F8c8f2nK82w
12,14,Taaron Ke Shehar,Neha Kakkar & Jubin Nautiyal,5,32437114,21.1%,https://www.youtube.com/watch?v=VAZxSoKb65o
13,22,La Tóxica (Remix) (feat. Jay Wheeler & Tempo),"Farruko, Sech & Myke Towers",8,31907649,50.8%,https://www.youtube.com/watch?v=f3DSeEEz5ko
14,11,Ice Cream,BLACKPINK & Selena Gomez,8,30113522,-12.7%,https://www.youtube.com/watch?v=vRXZj0DzXIA
15,12,Life Is Good (feat. Drake),FUTURE,40,29724612,-3.2%,https://www.youtube.com/watch?v=l0U7SxXHkPY
16,,DANCE MONKEY,Tones and I,53,27995045,,https://www.youtube.com/watch?v=q0hyYWKXF0Q
17,13,Feelings,Sumit Goswami,14,25893928,-11.1%,https://www.youtube.com/watch?v=AZmAgoir1Tc
18,,Naach Meri Rani,Guru Randhawa & Nikhita Gandhi,1,25672495,,https://www.youtube.com/watch?v=TCx1yMegJ4A
19,,Burjkhalifa (feat. Nikhita Gandhi),Shashi Suman & DJ Khushi,1,24814908,,https://www.youtube.com/watch?v=a0TkeUhcVrM
20,28,Make A Wish (Birthday Song),NCT U,2,24668787,29.2%,https://www.youtube.com/watch?v=tyrVtwE8Gv0
21,31,Baby Girl,"Guru Randhawa, Vee & Dhvani Bhanushali",3,23829243,32.5%,https://www.youtube.com/watch?v=pLhNdJNwGC8
22,16,Despeinada,Ozuna & Camilo,6,23381537,-1%,https://www.youtube.com/watch?v=mLugzKRTf-0
23,19,Jerusalema (feat. Nomcebo Zikode),Master KG,14,23211619,2.3%,https://www.youtube.com/watch?v=fCZVL_8D048
24,20,Se Te Nota,Lele Pons & Guaynaa,4,22109954,-0.2%,https://www.youtube.com/watch?v=BHkxKmr4Ffg
25,18,"Ay, DiOs Mío!",KAROL G,15,21878514,-7%,https://www.youtube.com/watch?v=Ou2c2aj5Fcw
26,15,Mi Regalo Mas Bonito,La Ross Maria,4,21442211,-10.5%,https://www.youtube.com/watch?v=1xNstpObA7s
27,,Canceled,Larray,1,20744639,,https://www.youtube.com/watch?v=M06ju3qJqA4
28,17,La Jeepeta (Remix),"Nio Garcia, Brray, Juanka, Anuel AA & Myke Towers",26,20732643,-12%,https://www.youtube.com/watch?v=yErttA9tEro
29,,炎,LiSA,1,20702081,,https://www.youtube.com/watch?v=4DxL6IKmXx4
30,26,Blinding Lights,The Weeknd,44,20531331,4.5%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
31,24,بالبنط العريض,Hussain Al Jassmi,9,19844093,-3.1%,https://www.youtube.com/watch?v=M3sxUE4eIac
32,25,La Curiosidad,"Jay Wheeler, DJ Nelson & Myke Towers",17,19596395,-3.4%,https://www.youtube.com/watch?v=Q_gIYp078so
33,23,Agua,Tainy & J Balvin,15,19034556,-8%,https://www.youtube.com/watch?v=QLz9VaksClg
34,36,Parce (feat. Lenny Tavárez & Justin Quiles),Maluma,9,18868867,18%,https://www.youtube.com/watch?v=k_WvAH3AE1w
35,27,Tattoo (Remix),Rauw Alejandro & Camilo,33,18427746,-5.8%,https://www.youtube.com/watch?v=wJT-YKmlWJc
36,21,Teri Aankhon Mein,Darshan Raval & Neha Kakkar,3,18239835,-15.4%,https://www.youtube.com/watch?v=mClF6mJV5xM
37,32,Mood (Live),24kGoldn & Iann Dior,8,17904750,5.1%,https://www.youtube.com/watch?v=juE5VES9af0
38,35,Mi Cuarto,Jerry Di,11,16916153,4.8%,https://www.youtube.com/watch?v=KuDP3cEbcTo
39,34,Heather,Conan Gray,10,16839656,2.5%,https://www.youtube.com/watch?v=24u3NoPvgMw
40,29,Café e Amor (Ao Vivo),Gusttavo Lima,2,16760718,-10.4%,https://www.youtube.com/watch?v=mFsHA1WDm0g
41,30,Khairiyat,Arijit Singh,19,16133713,-11.1%,https://www.youtube.com/watch?v=hoNb6HuNmU0
42,33,Before You Go (Acoustic),Lewis Capaldi,27,15544534,-8.7%,https://www.youtube.com/watch?v=Jtauh8GcxBY
43,37,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,12,15511419,0.6%,https://www.youtube.com/watch?v=Q9pjm4cNsfc
44,46,Daisy,Ashnikko,4,15101068,18.5%,https://www.youtube.com/watch?v=6i01tOMgBDU
45,38,Dil Tod Ke (feat. B Praak),Rochak Kohli,14,15059083,-1.5%,https://www.youtube.com/watch?v=ZTBwxy4wsBQ
46,40,Bande Organisée,"SCH, Kofs, JUL, Naps, Soso Maness, Elams, Solda & Houari",9,14573632,1.5%,https://www.youtube.com/watch?v=-CVn3-3g_BI
47,71,Holy (feat. Chance The Rapper),Justin Bieber,5,14183654,44.2%,https://www.youtube.com/watch?v=pvPsJFRGleA
