Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,DANCE MONKEY,Tones and I,29,90558947,6.7%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
2,31,Yo Perreo Sola,Bad Bunny,5,79472837,325.8%,https://www.youtube.com/watch?v=GtSRKwDCaZM
3,,9XM House Of Dance,--,1,70576701,,https://www.youtube.com/watch?v=SD4Z8dlZPd8
4,4,The Box,Roddy Ricch,14,40230543,-1.7%,https://www.youtube.com/watch?v=UNZqm3dxd2w
5,3,Tusa,KAROL G & Nicki Minaj,21,36715813,-11.1%,https://www.youtube.com/watch?v=tbneQDc2H3I
6,8,Blinding Lights,The Weeknd,15,33399599,6.4%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
7,2,Safaera,Bad Bunny,5,32211261,-30.1%,https://www.youtube.com/watch?v=jCQ_6XbATPc
8,7,Life Is Good (feat. Drake),FUTURE,11,31571831,0.2%,https://www.youtube.com/watch?v=l0U7SxXHkPY
9,10,Don't Start Now,Dua Lipa,22,30747846,7.8%,https://www.youtube.com/watch?v=oygrmJFKYZY
10,9,Shaitan Ka Saala (feat. Vishal Dadlani),Sohail Sen,26,30454706,3%,https://www.youtube.com/watch?v=HDhDY-ympFk
11,6,Si Veo a Tu Mamá,Bad Bunny,5,28640261,-9.7%,https://www.youtube.com/watch?v=CPK_IdHe1Yg
12,12,WANNABE,ITZY,4,27620761,0.4%,https://www.youtube.com/watch?v=fE2h3lGlOsk
13,5,Moto,Diler Kharkiya,11,27382296,-20.1%,https://www.youtube.com/watch?v=tJGBVigwPlU
14,13,Señorita,Shawn Mendes & Camila Cabello,41,25759170,-5.4%,https://www.youtube.com/watch?v=Pkh8UtuejGw
15,11,Sigues Con Él,Arcangel & Sech,16,25643615,-7.4%,https://www.youtube.com/watch?v=VRUjdlCynU0
16,,Break My Heart,Dua Lipa,1,25206902,,https://www.youtube.com/watch?v=Nj2U6rhnucI
17,14,Say So,Doja Cat,9,24610840,-9.1%,https://www.youtube.com/watch?v=pok8H_KF1FA
18,17,Falling,Trevor Daniel,19,24491834,-5.4%,https://www.youtube.com/watch?v=L7mfjvdnPno
19,16,Yummy,Justin Bieber,13,23915576,-8.4%,https://www.youtube.com/watch?v=8EJ3zbKTWQ8
20,19,عود البطل,Hassan Shakosh & Omar Kamal,4,23483658,-5.4%,https://www.youtube.com/watch?v=DH6D7KwB_I8
21,20,ON,BTS,6,22766881,-7.1%,https://www.youtube.com/watch?v=mPVDGOVjRQ0
22,18,Godzilla (feat. Juice WRLD),Eminem,11,21579341,-16.6%,https://www.youtube.com/watch?v=r_0JjYUe5jo
