Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,Raataan Lambiyan,"Tanishk Bagchi, Jubin Nautiyal & Asees Kaur",6,78805097,31.5%,https://www.youtube.com/watch?v=gvyUuxdRdR4
2,1,STAY,The Kid Laroi & Justin Bieber,9,68298107,1.4%,https://www.youtube.com/watch?v=kTJczUoc26U
3,4,Pepas,Farruko,8,56436605,3.8%,https://www.youtube.com/watch?v=y8trd3gjJt0
4,3,Butter,BTS,16,44783732,-24.4%,https://www.youtube.com/watch?v=WMweEpGlu_U
5,7,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7,37496455,2%,https://www.youtube.com/watch?v=UTHLKHL_whs
6,5,මැණිකේ මගේ හිතේ,Yohani & Satheeshan,5,36223481,-16%,https://www.youtube.com/watch?v=PgCliOxl41o
7,12,Ranjha,B Praak & Jasleen Royal,5,30874815,16.8%,https://www.youtube.com/watch?v=tC1L9qjOzXs
8,10,Woman,Doja Cat,6,28887354,-3.6%,https://www.youtube.com/watch?v=yxW5yuzVi8w
9,6,Pudina Ae Haseena,Pawan Singh & Anupama Yadav,14,27232100,-33.6%,https://www.youtube.com/watch?v=iY3vrGP6XIE
10,9,Beggin',Måneskin,13,26486806,-12.3%,https://www.youtube.com/watch?v=ZWKpPDI1M-o
11,8,Bachpan Ka Pyaar,"Badshah, Aastha Gill, Sahdev Dirdo & Rico",5,25605639,-23.2%,https://www.youtube.com/watch?v=k7QniTYNsmQ
12,,Way 2 Sexy (feat. FUTURE & Young Thug),Drake,1,25358766,,https://www.youtube.com/watch?v=vX9msKu75qs
13,15,Param Sundari,A. R. Rahman & Shreya Ghoshal,7,25300977,4.5%,https://www.youtube.com/watch?v=w4ClQO0FFQg
14,16,Baarish Ban Jaana,Payal Dev & Stebin Ben,14,23426018,-2.4%,https://www.youtube.com/watch?v=KVh4KtUSW3A
15,14,Need To Know,Doja Cat,9,22715112,-7.8%,https://www.youtube.com/watch?v=dI3xkL7qUAc
16,13,Permission to Dance,BTS,9,20924273,-16.3%,https://www.youtube.com/watch?v=CuklIb9d3fI
17,19,Todo de Ti,Rauw Alejandro,16,20391602,1%,https://www.youtube.com/watch?v=CFPLIaMpGrY
18,20,Yonaguni,Bad Bunny,14,19204590,0%,https://www.youtube.com/watch?v=doLMt10ytHY
19,23,Save Your Tears,The Weeknd,36,18623507,-0.2%,https://www.youtube.com/watch?v=XXYlFuWEuKI
20,21,Poblado (Remix),"Crissin, -- & Natan & Shander",18,18371088,-2.7%,https://www.youtube.com/watch?v=s8hA0QRIwfo
21,25,MONTERO (Call Me By Your Name),Lil Nas X,24,18347126,-0.6%,https://www.youtube.com/watch?v=6swmTBVI83k
22,22,Qué Más Pues?,J Balvin & Maria Becerra,15,18226213,-2.4%,https://www.youtube.com/watch?v=zisuhZqTeH4
23,24,Bad Habits,Ed Sheeran,11,18197293,-1.6%,https://www.youtube.com/watch?v=orJSJGHjBLI
24,75,Life Goes On,Oliver Tree,2,18196007,86.3%,https://www.youtube.com/watch?v=8F2s8ivKXNY
25,18,Bullettu Bandi,Mohana,5,18145757,-14.8%,https://www.youtube.com/watch?v=xQauklmE3Y8
26,26,Entre Nosotros (Remix),"Tiago PZK, Lit Killah, Maria Becerra & Nicki Nicole",9,18111196,-1.8%,https://www.youtube.com/watch?v=sidPTvbTv9o
27,28,52 Gajh Ka Daman,Renuka Panwar,43,17277529,-2.6%,https://www.youtube.com/watch?v=CZt-rVn2BJs
28,17,Paani Paani (feat. Jacqueline Fernandez),Badshah & Aastha Gill,13,17265111,-19.7%,https://www.youtube.com/watch?v=nFjVlf2r9_Q
29,32,Kiss Me More (feat. SZA),Doja Cat,22,16767759,2.1%,https://www.youtube.com/watch?v=0EVVKs6DQLo
30,27,Filhaal2 Mohabbat,"B Praak, Akshay Kumar, Nupur Sanon & Ammy Virk",10,16317340,-11.4%,https://www.youtube.com/watch?v=DUwlGduupRI
31,11,소리꾼 (Thunderous),Stray Kids,3,16243646,-42.6%,https://www.youtube.com/watch?v=EaswWiwMVs8
32,29,Lut Gaye (feat. Emraan Hashmi),Jubin Nautiyal,29,16146650,-7.8%,https://www.youtube.com/watch?v=sCbbMZ-q4-I
33,38,Sobrio,Maluma,8,16060520,10.7%,https://www.youtube.com/watch?v=RljdPIfnp0U
34,33,Chatak Matak,Renuka Panwar,36,16056018,-0.7%,https://www.youtube.com/watch?v=s9AICwTKgOg
