Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,Ice Cream,BLACKPINK & Selena Gomez,1,215308419,,https://www.youtube.com/watch?v=vRXZj0DzXIA
2,1,Dynamite,BTS,2,113185160,-60.6%,https://www.youtube.com/watch?v=gdZLi9oWNZg
3,2,Hawái,Maluma,5,94164811,32.7%,https://www.youtube.com/watch?v=pK060iUFWXg
4,3,How You Like That,BLACKPINK,10,72891438,5.9%,https://www.youtube.com/watch?v=ioNng23DkIM
5,4,WAP (feat. Megan Thee Stallion),Cardi B,4,60985575,2.1%,https://www.youtube.com/watch?v=hsm4poTWjMs
6,6,Caramelo (Remix),"KAROL G, Myke Towers & Ozuna",12,41203539,2.9%,https://www.youtube.com/watch?v=KilybZma5vY
7,7,"Ay, DiOs Mío!",KAROL G,8,38090577,2%,https://www.youtube.com/watch?v=Ou2c2aj5Fcw
8,5,Agua,Tainy & J Balvin,8,36594637,-13.4%,https://www.youtube.com/watch?v=QLz9VaksClg
9,8,Tattoo (Remix),Rauw Alejandro & Camilo,26,35236278,-2.2%,https://www.youtube.com/watch?v=wJT-YKmlWJc
10,10,La Jeepeta (Remix),"Nio Garcia, Brray, Juanka, Anuel AA & Myke Towers",19,33539574,-2.6%,https://www.youtube.com/watch?v=yErttA9tEro
11,12,DANCE MONKEY,Tones and I,51,32259674,-3.7%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
12,9,Feelings,Sumit Goswami,7,32216603,-6.5%,https://www.youtube.com/watch?v=AZmAgoir1Tc
13,23,بالبنط العريض,Hussain Al Jassmi,2,32076617,55.8%,https://www.youtube.com/watch?v=M3sxUE4eIac
14,11,Savage Love (Karaoke),"Jawsh 685, Jason Derulo & Sing King",12,31980460,-6.5%,https://www.youtube.com/watch?v=gUci-tsiU4I
15,14,La Curiosidad,"Jay Wheeler, DJ Nelson & Myke Towers",10,27544571,-4.4%,https://www.youtube.com/watch?v=Q_gIYp078so
16,16,Life Is Good (feat. Drake),FUTURE,33,26721056,3%,https://www.youtube.com/watch?v=l0U7SxXHkPY
17,17,Oh Juliana,Niack,8,25801556,4%,https://www.youtube.com/watch?v=Tun92VU2OkU
18,19,Khairiyat,Arijit Singh,12,24978775,9.8%,https://www.youtube.com/watch?v=hoNb6HuNmU0
19,21,Blinding Lights,The Weeknd,37,23644930,11%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
20,20,Mi Cuarto,Jerry Di,4,21620458,0.8%,https://www.youtube.com/watch?v=KuDP3cEbcTo
21,22,ROCKSTAR (feat. Roddy Ricch),DaBaby,19,21016517,1.1%,https://www.youtube.com/watch?v=mxFstYSbBmc
22,15,Laugh Now Cry Later (feat. Lil Durk),Drake,3,20994071,-19.8%,https://www.youtube.com/watch?v=JFm7YDVlqnI
23,13,Not Shy,ITZY,3,20280431,-38.2%,https://www.youtube.com/watch?v=wTowEKjDGkU
24,,ELEGÍ (feat. Dimelo Flow),"Rauw Alejandro, Dalex & Lenny Tavárez",20,19439260,,https://www.youtube.com/watch?v=3Ftud32GEn0
25,24,Mamichula,"Trueno, Nicki Nicole & Bizarrap",6,19353777,-5.6%,https://www.youtube.com/watch?v=NUteQQCMa_k
26,26,Jerusalema (feat. Nomcebo Zikode),Master KG,7,19082078,0.7%,https://www.youtube.com/watch?v=fCZVL_8D048
27,,เต่างอย (Live),Jintara Poonlarp & ะทะ ลุงพล,1,18403672,,https://www.youtube.com/watch?v=Bw4a2cuIaTU
28,30,Before You Go (Acoustic),Lewis Capaldi,20,18118451,4%,https://www.youtube.com/watch?v=Jtauh8GcxBY
29,29,Someone You Loved,Lewis Capaldi,47,17521299,-0.1%,https://www.youtube.com/watch?v=zABLecsR5UE
30,32,Dil Tod Ke (feat. B Praak),Rochak Kohli,7,16935087,1.5%,https://www.youtube.com/watch?v=ZTBwxy4wsBQ
31,28,Djadja (feat. Maluma),Aya Nakamura,19,16902445,-3.8%,https://www.youtube.com/watch?v=_wRFdiBR8sg
32,27,Mood Swings (feat. Lil Tjay),Pop Smoke,5,15671778,-11.9%,https://www.youtube.com/watch?v=mM8ostx0Ub8
33,36,Heather,Conan Gray,3,14860142,-3.8%,https://www.youtube.com/watch?v=24u3NoPvgMw
34,41,Bande Organisée,"SCH, Kofs, JUL, Naps, Soso Maness, Elams, Solda & Houari",2,14840600,8.7%,https://www.youtube.com/watch?v=-CVn3-3g_BI
35,,Dil Chahte Ho,Jubin Nautiyal & Payal Dev,1,14657831,,https://www.youtube.com/watch?v=pgQPquFKKpc
36,34,Ayer Me LLamó Mi Ex (feat. Lenny Santos),KHEA,2,14610614,-6.2%,https://www.youtube.com/watch?v=svSqD1ZBZiY
37,38,PuttaBombe,--,28,14458224,-1.4%,https://www.youtube.com/watch?v=8LZ2loz71Sw
38,35,PORFA (Remix),"Feid, Justin Quiles, J Balvin, Nicky Jam, Maluma & Sech",22,14114922,-8.9%,https://www.youtube.com/watch?v=zTpswDtnBBI
