Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,Calma (Remix),"Pedro Capó, Alan Walker & Farruko",17,69200251,-2.2%,https://www.youtube.com/watch?v=YS2RmyES-GU
2,4,Aankh Marey,"Neha Kakkar, Mika Singh & Kumar Sanu",11,51767575,-6.1%,https://www.youtube.com/watch?v=_KhQT-LGb-4
3,3,7 rings,Ariana Grande,5,50551381,-13.8%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
4,7,Con Calma,Daddy Yankee & Snow,4,49721880,4.1%,https://www.youtube.com/watch?v=DiItGE3eAyQ
5,5,Girls Like You (feat. Cardi B),Maroon 5,38,49175073,-4.7%,https://www.youtube.com/watch?v=aJOTlE1K90k
6,6,Taki Taki,DJ Snake,21,47316557,-7.8%,https://www.youtube.com/watch?v=ixkoVwKQaJg
7,8,Secreto,Anuel AA & Karol G,6,45262951,2.3%,https://www.youtube.com/watch?v=gFZfwWZV074
8,42,Te Boté (Remix),"Casper Magico, Nio Garcia, Darell, Nicky Jam, Bad Bunny & Ozuna",46,34849726,115.6%,https://www.youtube.com/watch?v=9jI-z9QN6g8
9,18,Shallow,Lady Gaga & Bradley Cooper,21,34754801,27.3%,https://www.youtube.com/watch?v=bo_efYhYU2A
10,9,Happier (feat. Bastille),Marshmello,23,31847655,-16.6%,https://www.youtube.com/watch?v=m7Bc3pLyij0
11,1,"break up with your girlfriend, i'm bored",Ariana Grande,2,31757504,-56.2%,https://www.youtube.com/watch?v=LH4Y1ZUUx2g
12,14,Without Me,Halsey,17,30806406,4.7%,https://www.youtube.com/watch?v=ZAfAud_M_mg
13,12,Sunflower,Post Malone & Swae Lee,18,29873447,-3.4%,https://www.youtube.com/watch?v=ApXoWvfEYVU
14,11,Rowdy Baby,Dhanush & Dhee,5,29669087,-6.6%,https://www.youtube.com/watch?v=x6Q7c9RyMzk
15,13,Adán y Eva,Paulo Londra,15,29317335,-0.4%,https://www.youtube.com/watch?v=aSjflT_J0Xo
16,17,Sweet but Psycho,Ava Max,12,28604464,2.4%,https://www.youtube.com/watch?v=WXBHCQYxwr0
17,10,Desconocidos,"Mau y Ricky, Manuel Turizo & Camilo",9,28403889,-12.2%,https://www.youtube.com/watch?v=8avC3hHNeSE
18,19,Mía (feat. Drake),Bad Bunny,19,25952764,-1.3%,https://www.youtube.com/watch?v=OSUxrSe5GbI
19,28,Dancing With A Stranger,Sam Smith & Normani,5,25764754,36.9%,https://www.youtube.com/watch?v=av5JD1dfj_c
20,,Please Me,Cardi B & Bruno Mars,1,25341173,,https://www.youtube.com/watch?v=3y-O-4IL-PU
21,,DALLA DALLA (달라달라),ITZY,1,24933439,,https://www.youtube.com/watch?v=tXJRu-gFxPU
22,,Culpables,Karol G & Anuel AA,21,24381134,,https://www.youtube.com/watch?v=xfdG6vwIGGU
23,24,"thank u, next",Ariana Grande,16,23859583,7.1%,https://www.youtube.com/watch?v=gl1aHhXnN1k
