Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Te Boté (Remix),"Casper Magico, Nio Garcia, Darell, Nicky Jam, Bad Bunny & Ozuna",6,86568365,-9.9%,https://www.youtube.com/watch?v=9jI-z9QN6g8
2,2,This Is America,Childish Gambino,2,76250602,-0.8%,https://www.youtube.com/watch?v=VYOjWnS4cMY
3,4,Dura,Daddy Yankee,17,66045802,1.5%,https://www.youtube.com/watch?v=sGIm0-dQd8M
4,3,X,Nicky Jam & J Balvin,11,64018464,-13.3%,https://www.youtube.com/watch?v=_I_D_8Z4sJE
5,5,Introduccion B (El Cosita Mix),El Chombo,6,54037201,-15.6%,https://www.youtube.com/watch?v=LE6-4nAWEY0
6,9,Me Niego (feat. Ozuna & Wisin),Reik,13,53900378,30.5%,https://www.youtube.com/watch?v=JyqD_zfXfi8
7,25,Bella,Wolfine,17,48152512,91.8%,https://www.youtube.com/watch?v=jjuSfhYiup8
8,,Mi Cama,Karol G,1,46591019,,https://www.youtube.com/watch?v=8-mloCL49vs
9,7,no tears left to cry,Ariana Grande,4,45936456,0.4%,https://www.youtube.com/watch?v=ffxKSjUwKdU
10,6,Perfect,Ed Sheeran,36,41724418,-9.5%,https://www.youtube.com/watch?v=2Vv-BfVoq4g
11,10,Sin Pijama,Becky G & Natti Natasha,4,41061326,4.3%,https://www.youtube.com/watch?v=zEf423kYfqk
12,8,FRIENDS,Marshmello & Anne-Marie,14,38352718,-9.7%,https://www.youtube.com/watch?v=jzD_yyEcp0M
13,11,God's Plan,Drake,17,35231910,-7.6%,https://www.youtube.com/watch?v=xpVfcZ0ZcFM
14,12,Havana (feat. Young Thug),Camila Cabello,35,32266917,-10.5%,https://www.youtube.com/watch?v=BQ0mxQXmLsk
15,16,One Kiss,Calvin Harris & Dua Lipa,6,31901245,5.2%,https://www.youtube.com/watch?v=DkeiKbqa02g
16,20,Só quer vrau (feat. DJ RD),MC MM,3,31669957,15.2%,https://www.youtube.com/watch?v=sbXg6CWUXuo
17,17,Bom Diggy (Jasmin Walia & Zack Knight),Jasmin Walia & Zack Knight,14,30372539,2%,https://www.youtube.com/watch?v=yIIGQB6EMAM
18,19,Freaky Friday (feat. Chris Brown),Lil Dicky,9,29431793,0.8%,https://www.youtube.com/watch?v=aZla1ttZHaw
19,15,Laung Laachi,Mannat Noor,6,28496678,-7.2%,https://www.youtube.com/watch?v=YpkJO_GrCo0
20,24,BBoom BBoom(뿜뿜),MOMOLAND,18,27049752,7.7%,https://www.youtube.com/watch?v=JQGRg8XBnB4
21,13,Call Out My Name,The Weeknd,7,26613231,-21.6%,https://www.youtube.com/watch?v=M4ZoCHID9GI
22,22,Échame la Culpa,Luis Fonsi & Demi Lovato,26,26278142,-3.6%,https://www.youtube.com/watch?v=TyHvyGVs42U
23,27,Daru Badnaam,Kamal Kahlon & Param Singh,12,25044077,2%,https://www.youtube.com/watch?v=bzW9fmwcmG4
24,29,Psycho (feat. Ty Dolla $ign),Post Malone,12,24021133,0.3%,https://www.youtube.com/watch?v=au2n7VVGv_c
25,14,Única,Ozuna,3,23042093,-27.2%,https://www.youtube.com/watch?v=Ck4xHocysLw
26,,Toy,Netta Barzilai,1,22622290,,https://www.youtube.com/watch?v=CziHrYYSyPc
27,30,Mi Gente,J Balvin & Willy William,46,22367076,-5.9%,https://www.youtube.com/watch?v=wnJ6LuUFpMo
28,21,Corazón (feat. Nego do Borel),Maluma,28,22280606,-18.3%,https://www.youtube.com/watch?v=GmHrjFIWl6U
29,33,El Farsante (Remix),Ozuna,45,22079604,-1.8%,https://www.youtube.com/watch?v=wfWkmURBNv8
30,31,Oh Humsafar Song,Neha Kakkar & Tony Kakkar,5,20511575,-12.7%,https://www.youtube.com/watch?v=g4HDfqEWf6Y
31,36,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,29,20320100,-3.3%,https://www.youtube.com/watch?v=y7d9VLRO3vc
32,38,Nena Maldicion  (feat. Lenny),Paulo Londra,8,19974940,-3.8%,https://www.youtube.com/watch?v=bX3S-_jUauc
33,34,Nice For What,Drake,6,19300602,-11.7%,https://www.youtube.com/watch?v=U9BwWKXjVaI
34,23,Marinero,Maluma,2,19037477,-27.9%,https://www.youtube.com/watch?v=vjI4Alon-3Q
35,28,In My Blood,Shawn Mendes,6,19019194,-21.7%,https://www.youtube.com/watch?v=36tggrpRoTI
36,47,Romance com Safadeza,Wesley Safadão & Anitta,5,18671956,6.9%,https://www.youtube.com/watch?v=J2Ra63wi5gE
37,41,Bonita (Jowell & Randy & J Balvin),Jowell & Randy & J Balvin,25,18619023,-5.3%,https://www.youtube.com/watch?v=SqpvOqRieYY
38,49,New Rules,Dua Lipa,45,17216263,1.5%,https://www.youtube.com/watch?v=k2qgadSvNyU
39,40,O Saathi,Arko Pravo Mukherjee,10,17073445,-14.2%,https://www.youtube.com/watch?v=OX-h7MtkeOI
40,42,The Middle,"Zedd, Maren Morris & Grey",13,16793115,-14%,https://www.youtube.com/watch?v=M3mJkSqZbX4
