Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,ME! (feat. Brendon Urie),Taylor Swift,1,129462772,,https://www.youtube.com/watch?v=FuXNumBwDOM
2,2,Con Calma (Remix) (feat. Snow),Daddy Yankee & Katy Perry,14,74851839,-12.2%,https://www.youtube.com/watch?v=lmCEZhb-z-Q
3,1,Kill This Love,BLACKPINK,5,74169897,-13.6%,https://www.youtube.com/watch?v=2S24-y0Ij3Y
4,3,Old Town Road (feat. Billy Ray Cyrus),Lil Nas X,6,62363719,-5.9%,https://www.youtube.com/watch?v=r7qovpFAGrQ
5,4,Calma (Remix),"Pedro Capó, Alan Walker & Farruko",27,60549038,-1%,https://www.youtube.com/watch?v=YS2RmyES-GU
6,5,Boy With Luv (feat. Halsey),BTS,3,58749258,2.3%,https://www.youtube.com/watch?v=XsX3ATc3FbA
7,7,Vaaste,Dhvani Bhanushali & Nikhil D'Souza,4,46126011,-15.7%,https://www.youtube.com/watch?v=BBAyRBTfsOU
8,6,Earth,Lil Dicky,2,43373528,-23.9%,https://www.youtube.com/watch?v=pvuN_WvF1to
9,9,bad guy,Billie Eilish,5,36350219,0.7%,https://www.youtube.com/watch?v=DyDfgMOUjCI
10,8,7 rings,Ariana Grande,15,31322336,-16.4%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
11,,Slowly Slowly (feat. Pitbull),Guru Randhawa,1,30745710,,https://www.youtube.com/watch?v=hGsVLXnFgbA
12,13,Aankh Marey,"Neha Kakkar, Mika Singh & Kumar Sanu",21,29609984,0.6%,https://www.youtube.com/watch?v=_KhQT-LGb-4
13,35,Con Altura (feat. El Guincho),Rosalía & J Balvin,5,28940816,47.3%,https://www.youtube.com/watch?v=p7bfOZek9t4
14,23,"Qué Más Pues (Remix) (feat. Maluma, Nicky Jam, Farruko, Justin Quiles, Dalex & Lenny Tavarez)",Sech,4,28893755,14.5%,https://www.youtube.com/watch?v=teT8-O9K2yM
15,15,Lily (Rock Version),"Alan Walker, Emelie Hollow & K-391",8,28772446,0%,https://www.youtube.com/watch?v=kTJbE3sfvlI
16,14,Girls Like You (feat. Cardi B),Maroon 5,48,28060161,-3.2%,https://www.youtube.com/watch?v=aJOTlE1K90k
17,,Hauli Hauli,"Neha Kakkar, Garry Sandhu & Mellow-D",1,27886532,,https://www.youtube.com/watch?v=leyEatUq00E
18,26,Tal Vez,Paulo Londra,4,27088791,20.6%,https://www.youtube.com/watch?v=NPpELzyP4rw
19,16,On My Way,"Alan Walker, Sabrina Carpenter & Farruko",6,26890123,-3.8%,https://www.youtube.com/watch?v=dhYOPzcsbGM
20,11,Zemër (feat. Soolking),Dhurata Dora,2,26421885,-14.6%,https://www.youtube.com/watch?v=GCpvmHi1gxU
21,88,Bon Appétit (feat. Migos),Katy Perry,17,26405807,198.3%,https://www.youtube.com/watch?v=dPI-mRFEIH0
22,18,Without Me,Halsey,27,26040487,-2.8%,https://www.youtube.com/watch?v=ZAfAud_M_mg
23,17,HP,Maluma,9,25945597,-3.2%,https://www.youtube.com/watch?v=iMEhjsiHbwM
24,20,Shallow,Lady Gaga & Bradley Cooper,31,25603544,-2%,https://www.youtube.com/watch?v=bo_efYhYU2A
25,22,"Pa Mi (Remix) (feat. Sech, Rafa Pabön, Cazzu, Feid, Khea & Lenny Tavarez)",Dalex,10,25586317,0.3%,https://www.youtube.com/watch?v=rm8krFiAJBw
26,19,Taki Taki,DJ Snake,31,25078926,-4.8%,https://www.youtube.com/watch?v=ixkoVwKQaJg
27,24,Secreto,Anuel AA & Karol G,16,24717278,0.4%,https://www.youtube.com/watch?v=gFZfwWZV074
28,,Contra La Pared,J Balvin & Sean Paul,2,24401005,,https://www.youtube.com/watch?v=-gCe4WrmOIk
29,21,Sunflower,Post Malone & Swae Lee,28,24350716,-5.5%,https://www.youtube.com/watch?v=ApXoWvfEYVU
