Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,love nwantiti (ah ah ah) (feat. Joeboy & Kuami Eugene),CKay,14,46131228,-10.9%,https://www.youtube.com/watch?v=MxjrsDV8Aeo
2,4,MONEY,LISA,13,37549084,-7.7%,https://www.youtube.com/watch?v=dNCWe_6HAM8
3,27,Tip Tip,Udit Narayan & Alka Yagnik,5,36033858,127.3%,https://www.youtube.com/watch?v=l9u8Zb4fY1c
4,66,Woman,Doja Cat,19,35896151,221.2%,https://www.youtube.com/watch?v=yxW5yuzVi8w
5,10,STAY,The Kid Laroi & Justin Bieber,22,35411073,43.2%,https://www.youtube.com/watch?v=kTJczUoc26U
6,7,Easy On Me,Adele,8,32022830,10.2%,https://www.youtube.com/watch?v=X-yIEMduRXk
7,5,Dil Galti Kar Baitha Hai,"Jubin Nautiyal, Meet Bros & Shardul Rathod",11,31338176,-22.3%,https://www.youtube.com/watch?v=1--qqQrimMA
8,11,abcdefu,GAYLE,3,31272042,27.8%,https://www.youtube.com/watch?v=NaFd8ucHLuo
9,9,अईहा ससुरारी जीजा जी,Ankush Raja & Shilpi Raj,5,28582058,10.1%,https://www.youtube.com/watch?v=7mbNrE7tdXQ
10,3,Raataan Lambiyan,"Tanishk Bagchi, Jubin Nautiyal & Asees Kaur",19,26959202,-34.4%,https://www.youtube.com/watch?v=gvyUuxdRdR4
11,19,Saami Saami,Mounika Yadav,7,26953044,39.3%,https://www.youtube.com/watch?v=C70GJYVoZ4Y
12,8,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,20,26905811,-3.1%,https://www.youtube.com/watch?v=UTHLKHL_whs
13,14,All I Want For Christmas Is You,Mariah Carey,37,26709915,25.1%,https://www.youtube.com/watch?v=aAkMkVFwAoo
14,6,Pepas,Farruko,21,26213578,-14.7%,https://www.youtube.com/watch?v=y8trd3gjJt0
15,2,Kusu Kusu,Zahrah S Khan & Dev Negi,5,25080401,-42.5%,https://www.youtube.com/watch?v=RgzLnmTaCAU
16,12,Butter,BTS,29,23803747,4.6%,https://www.youtube.com/watch?v=WMweEpGlu_U
17,,Cheap Thrills,Sia,88,23458273,,https://www.youtube.com/watch?v=31crA53Dgu0
18,13,Enemy (feat. JID),Imagine Dragons,6,22951724,2.3%,https://www.youtube.com/watch?v=D9G1VOjN_84
19,69,ELEVEN,IVE,2,22254417,107.6%,https://www.youtube.com/watch?v=--FmExEAsM8
20,15,Bijlee Bijlee,Harrdy Sandhu,4,21409451,0.3%,https://www.youtube.com/watch?v=NwdQx2P_ytk
21,16,Save Your Tears,The Weeknd,49,20633706,0.6%,https://www.youtube.com/watch?v=XXYlFuWEuKI
22,98,Infinity,Jaymes Young,2,19978428,132%,https://www.youtube.com/watch?v=PWqEPKduGm8
23,29,Makeup Wala Mukhda,Dev Pagli & Jigar Thakor,3,19496804,26.3%,https://www.youtube.com/watch?v=PoerGJlHUms
24,,Beggin',Måneskin,24,19373426,,https://www.youtube.com/watch?v=ZWKpPDI1M-o
25,,Merry Christmas,Ed Sheeran & Elton John,1,18979246,,https://www.youtube.com/watch?v=Q_yuO8UNGmY
26,76,Pardesi Pardesi (Jhankar),Udit Narayan & S. Kumar,2,18130579,80%,https://www.youtube.com/watch?v=i9lB-am_hyY
27,23,बुलेट प जीजा,Vinay Pandey Sanu & Shilpi Raj,7,18116889,9.3%,https://www.youtube.com/watch?v=ClWH9LfCeks
28,42,Aashiqui Aa Gayi,Mithoon & Arijit Singh,2,17662805,27.9%,https://www.youtube.com/watch?v=c-NaCU2n8jg
29,,Khushi Jab Bhi Teri,Jubin Nautiyal & Rochak Kohli,7,17069349,,https://www.youtube.com/watch?v=c7mWC6CN7kY
30,17,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",6,16829606,-15.2%,https://www.youtube.com/watch?v=TNIbXs_iNq8
31,20,The Feels,TWICE,10,16767842,-5.6%,https://www.youtube.com/watch?v=f5_wn8mexmM
32,26,Chatak Matak,Renuka Panwar,49,16556659,1%,https://www.youtube.com/watch?v=s9AICwTKgOg
33,41,Toxic (Live),BoyWithUke,7,16254382,16.7%,https://www.youtube.com/watch?v=yvzKKZp3usE
34,52,Last Christmas,Wham!,23,15948217,27.3%,https://www.youtube.com/watch?v=E8gmARGvPlI
35,21,Pudina Ae Haseena,Pawan Singh & Anupama Yadav,27,15798073,-8.4%,https://www.youtube.com/watch?v=iY3vrGP6XIE
36,25,Param Sundari,A. R. Rahman & Shreya Ghoshal,20,15157157,-7.7%,https://www.youtube.com/watch?v=w4ClQO0FFQg
37,24,LALISA,LISA,13,14927945,-9.4%,https://www.youtube.com/watch?v=awkkyBH2zEo
38,32,ຕື່ນຈາກຝັນ,Bay6ix & LaLa,2,14791336,-2.6%,https://www.youtube.com/watch?v=L0YF-qzCyJc
39,57,Tum Tum (Tamil),"--, Aditi, Satya Yamini, Roshini & Tejaswini",3,14606130,21.6%,https://www.youtube.com/watch?v=tYSrY4iPX6w
40,,सईया के रोटी,Khesari Lal Yadav & Anupma Yadav,1,14452343,,https://www.youtube.com/watch?v=LNa3ZFiRO5k
41,40,Cold Heart (PNAU Remix),"Elton John, Dua Lipa & Pnau",10,14441949,2.6%,https://www.youtube.com/watch?v=qod03PVTLqk
42,39,Heat Waves,Glass Animals,14,14113746,-0.7%,https://www.youtube.com/watch?v=mRD0-GxqHVo
43,49,Medallo,"Blessd, Justin Quiles & Lenny Tavárez",3,13968140,7.5%,https://www.youtube.com/watch?v=hMhR6T7EEfQ
44,,बचपन का प्यार मेरा भूल नहीं जाना रे,Ankush Raja & Nirnjan Jee,2,13710844,,https://www.youtube.com/watch?v=7gAHLeJTIgs
45,33,Bar,TINI & L-Gante,4,13634617,-8.6%,https://www.youtube.com/watch?v=0f3ZHuC-l0c
46,,Yonaguni,Bad Bunny,24,13425498,,https://www.youtube.com/watch?v=doLMt10ytHY
47,44,Na Ja,Pav Dharia,6,13405016,-0%,https://www.youtube.com/watch?v=Q-GOFPM01d0
48,36,Lut Gaye (feat. Emraan Hashmi),Jubin Nautiyal,42,13393911,-8%,https://www.youtube.com/watch?v=sCbbMZ-q4-I
49,,Levitating (feat. DaBaby),Dua Lipa,47,13080633,,https://www.youtube.com/watch?v=TUVcZfQe-Kw
50,,MONTERO (Call Me By Your Name),Lil Nas X,32,12971578,,https://www.youtube.com/watch?v=6swmTBVI83k
51,28,Toma Toma Vapo Vapo,Zé Felipe & MC Danny,4,12898474,-16.5%,https://www.youtube.com/watch?v=ey6H_cBy-OQ
52,45,Happier Than Ever,Billie Eilish,19,12636128,-5.2%,https://www.youtube.com/watch?v=5GJWxDKyk3A
53,31,SCIENTIST,TWICE,4,12593996,-17.8%,https://www.youtube.com/watch?v=vPwaXytZcgI
54,37,Jugnu (feat. Nikhita Gandhi),Badshah,5,12576950,-13.5%,https://www.youtube.com/watch?v=ksY3wb4vtlA
55,47,اتنسيت,MUSliM,5,12498671,-4.4%,https://www.youtube.com/watch?v=BGkL2Pq-g3A
56,,Dil Laga Liya,Alka Yagnik & Udit Narayan,20,12283375,,https://www.youtube.com/watch?v=6qBdQzPnw4E
57,53,Terre Pyaar Mein,Himesh Reshammiya,12,12238348,-1%,https://www.youtube.com/watch?v=ia5CdcuqSWk
