Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Despacito,Luis Fonsi & Daddy Yankee,25,151785691,0.8%,https://www.youtube.com/watch?v=kJQP7kiw5Fk
2,2,Shape of You,Ed Sheeran,26,118383204,2.4%,https://www.youtube.com/watch?v=JGwWNGJdvx8
3,3,Felices Los 4,Maluma,11,64821705,-3.1%,https://www.youtube.com/watch?v=t_jHrUE5IOk
4,,Mi Gente (J Balvin & Willy Williams),J Balvin,1,52123177,,https://www.youtube.com/watch?v=wnJ6LuUFpMo
5,5,"I'm The One (feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne)",DJ Khaled,10,49148739,6.3%,https://www.youtube.com/watch?v=weeI1G46q0o
6,8,Despacito,Luis Fonsi & Daddy Yankee,12,45504339,6.6%,https://www.youtube.com/watch?v=kJQP7kiw5Fk
7,12,Wild Thoughts (feat. Bryson Tiller & Rihanna),DJ Khaled,3,44778096,14.3%,https://www.youtube.com/watch?v=fyaI4-5849w
8,7,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,34,44671489,0.7%,https://www.youtube.com/watch?v=papuvlVeZg8
9,9,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,16,44576396,5.7%,https://www.youtube.com/watch?v=NGLxoKOvzu4
10,10,Chantaje (feat. Maluma),Shakira,36,43304968,3.6%,https://www.youtube.com/watch?v=6Mgqbai3fKo
11,11,That's What I Like,Bruno Mars,17,42271094,1.8%,https://www.youtube.com/watch?v=PMivT7MJ41M
12,13,"Ahora Dice (feat. J. Balvin, Ozuna & Arcángel)",Chris Jeday,15,41873772,6.9%,https://www.youtube.com/watch?v=c73Cu3TQnlg
13,4,As If It's Your Last,BLACKPINK,2,39360551,-39.7%,https://www.youtube.com/watch?v=Amq-qlqbjYA
14,15,Escápate Conmigo (feat. Ozuna),Wisin,14,36448615,14%,https://www.youtube.com/watch?v=3X9wEwulYhk
15,6,Burn It Down,Ahzee & Faydee,3,36271703,-19.7%,https://www.youtube.com/watch?v=kmMPg9JElOM
16,14,SUBEME LA RADIO (feat. Descemer Bueno & Zion y Lennox),Enrique Iglesias,19,30945415,-7.1%,https://www.youtube.com/watch?v=9sg-A-eS6Ig
17,22,Attention,Charlie Puth,11,30409973,14.7%,https://www.youtube.com/watch?v=nfs8NYg7yQM
18,18,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,50,30203051,7%,https://www.youtube.com/watch?v=3AtDnEC4zak
19,19,GANGNAM STYLE (강남스타일),PSY,72,28953323,3%,https://www.youtube.com/watch?v=9bZkp7q19f0
20,16,Closer (feat. Halsey),The Chainsmokers,49,28080179,-2.6%,https://www.youtube.com/watch?v=0zGcUoRlhmw
21,20,Si Tu Novio Te Deja Sola (feat. Bad Bunny),J Balvin,18,27803788,0.6%,https://www.youtube.com/watch?v=Km4BayZykwE
22,17,Something Just Like This (The Chainsmokers & Coldplay),The Chainsmokers,20,27704279,-2.7%,https://www.youtube.com/watch?v=FM7MFYoylVs
23,23,See You Again (feat. Charlie Puth),Wiz Khalifa,72,26737423,2.3%,https://www.youtube.com/watch?v=RgKAFK5djSk
24,25,Tú Foto,Ozuna,10,24999965,8.2%,https://www.youtube.com/watch?v=afUx6AIG3Tg
25,21,Reggaetón Lento (Bailemos),CNCO,33,24954727,-6.3%,https://www.youtube.com/watch?v=7jpqqBX-Myw
26,26,Vente Pa' Ca (feat. Maluma),Ricky Martin,41,23550632,2.8%,https://www.youtube.com/watch?v=iOe6dI2JhgU
27,27,Unforgettable (feat. Swae Lee),French Montana,11,23434566,3.2%,https://www.youtube.com/watch?v=CTFtOOh47oo
28,24,El Amante,Nicky Jam,25,23365669,-2.4%,https://www.youtube.com/watch?v=YG2p6XBuSKA
