Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,DANCE MONKEY,Tones and I,23,99898942,-6.8%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
2,2,Tusa,KAROL G & Nicki Minaj,15,63316376,-5%,https://www.youtube.com/watch?v=tbneQDc2H3I
3,4,Yummy,Justin Bieber,7,44792783,-10.8%,https://www.youtube.com/watch?v=8EJ3zbKTWQ8
4,,No Time To Die,Billie Eilish,1,41640773,,https://www.youtube.com/watch?v=GB_S2qFh5lU
5,3,Moto,Diler Kharkiya,5,37063244,-30%,https://www.youtube.com/watch?v=tJGBVigwPlU
6,8,The Box,Roddy Ricch,8,36780551,2.9%,https://www.youtube.com/watch?v=UNZqm3dxd2w
7,5,Illegal Weapon 2.0,Jasmine Sandlas & Garry Sandhu,7,36101155,-25.3%,https://www.youtube.com/watch?v=GOkJguI8kYc
8,12,Life Is Good (feat. Drake),FUTURE,5,36004503,20.7%,https://www.youtube.com/watch?v=l0U7SxXHkPY
9,10,Sigues Con Él,Arcangel & Sech,10,33462577,6.7%,https://www.youtube.com/watch?v=VRUjdlCynU0
10,11,Señorita,Shawn Mendes & Camila Cabello,35,29670835,-3.1%,https://www.youtube.com/watch?v=Pkh8UtuejGw
11,6,Bhatijwa Ke Mausi Jindabad,Khesari Lal Yadav,3,29140622,-33%,https://www.youtube.com/watch?v=_CYDD_GOJ4I
12,13,Shaitan Ka Saala (feat. Vishal Dadlani),Sohail Sen,20,28869407,-0.3%,https://www.youtube.com/watch?v=HDhDY-ympFk
13,17,Falling,Trevor Daniel,13,27057994,3.7%,https://www.youtube.com/watch?v=L7mfjvdnPno
14,9,Muqabla,Yash Narvekar & Sachet-Parampara,8,25446762,-19.4%,https://www.youtube.com/watch?v=l75z7FrYRXI
15,,Ignorantes,Bad Bunny,1,25381350,,https://www.youtube.com/watch?v=PC0GvyEIXfk
16,18,Old Town Road (feat. Billy Ray Cyrus),Lil Nas X,48,24751379,-3.2%,https://www.youtube.com/watch?v=r7qovpFAGrQ
17,14,Hello Koun,Ritesh Pandey & Sneh Upadhya,11,22954112,-18.3%,https://www.youtube.com/watch?v=0hGGaVCCqPk
18,27,Blinding Lights,The Weeknd,9,22889526,5.9%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
19,21,Memories,Maroon 5,20,22804276,-2%,https://www.youtube.com/watch?v=SlPhMPnQ58k
20,20,Tum Hi Aana,Jubin Nautiyal,20,22280219,-7.8%,https://www.youtube.com/watch?v=VFTSW817JlI
21,,Fir Se Machayenge,Emiway Bantai,1,22057204,,https://www.youtube.com/watch?v=zaCbuB3w0kg
22,19,Filhall (feat. Akshay Kumar & Nupur Sanon),B Praak,14,21766161,-10.2%,https://www.youtube.com/watch?v=hMy5za-m5Ew
23,26,China,"Anuel AA, KAROL G, Daddy Yankee, J Balvin & Ozuna",31,21660147,0.2%,https://www.youtube.com/watch?v=0VR3dfZf9Yg
24,33,Someone You Loved (Live),Lewis Capaldi,39,20799687,5.1%,https://www.youtube.com/watch?v=zABLecsR5UE
25,15,Garmi (feat. Varun Dhawan),Neha Kakkar & Badshah,8,20674662,-21.9%,https://www.youtube.com/watch?v=1XbO3zoHc04
26,29,Bellaquita (feat. Lenny Tavárez),Dalex,15,20355627,-5.5%,https://www.youtube.com/watch?v=ygKutNMguHI
27,24,bad guy,Billie Eilish,47,20294552,-7%,https://www.youtube.com/watch?v=DyDfgMOUjCI
28,34,Don't Start Now,Dua Lipa,16,19778311,0.3%,https://www.youtube.com/watch?v=oygrmJFKYZY
29,45,ROXANNE,Arizona Zervas,13,19694073,26.5%,https://www.youtube.com/watch?v=16YnOUnbE6s
30,31,Fantasías,Rauw Alejandro & Farruko,22,19616867,-4.1%,https://www.youtube.com/watch?v=8jwbnGrX7-c
31,,Kutti Story,Vijay & Anirudh Ravichander,1,19397873,,https://www.youtube.com/watch?v=e9S8_2n_djg
32,30,RITMO (Bad Boys for Life),Black Eyed Peas & J Balvin,19,19393121,-7.6%,https://www.youtube.com/watch?v=EzKkl64rRbM
