Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Despacito,Luis Fonsi & Daddy Yankee,41,215393557,-5%,https://www.youtube.com/watch?v=kJQP7kiw5Fk
2,2,Shape of You,Ed Sheeran,29,115589692,-6.1%,https://www.youtube.com/watch?v=JGwWNGJdvx8
3,4,Mi Gente (feat. Willy William),J Balvin & Willy William,4,63681196,10%,https://www.youtube.com/watch?v=wnJ6LuUFpMo
4,3,Felices Los 4,Maluma,14,61541760,-25.9%,https://www.youtube.com/watch?v=t_jHrUE5IOk
5,5,Escápate Conmigo (feat. Ozuna),Wisin,17,46743203,-3.9%,https://www.youtube.com/watch?v=3X9wEwulYhk
6,55,Numb,Linkin Park,2,45149783,158.4%,https://www.youtube.com/watch?v=kXYiU_JCYtU
7,6,Rockabye (feat. Anne-Marie & Sean Paul),Clean Bandit,37,44187603,-5.5%,https://www.youtube.com/watch?v=papuvlVeZg8
8,7,Swalla (feat. Nicki Minaj & Ty Dollar Sign),Jason Derulo,19,40369662,-7%,https://www.youtube.com/watch?v=NGLxoKOvzu4
9,14,Súbeme La Radio (feat. Zion Y Lenox & Descemer Bueno),Enrique Iglesias,22,39929655,8.4%,https://www.youtube.com/watch?v=9sg-A-eS6Ig
10,8,GANGNAM STYLE (강남스타일),PSY,75,39655060,-7.7%,https://www.youtube.com/watch?v=9bZkp7q19f0
11,10,Chantaje (feat. Maluma),Shakira,39,39589090,-3.2%,https://www.youtube.com/watch?v=6Mgqbai3fKo
12,9,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,6,39155138,-5.9%,https://www.youtube.com/watch?v=fyaI4-5849w
13,,"Ahora Dice (feat. J Balvin, Ozuna & Arcangel)",Chris Jeday,1,38563846,,https://www.youtube.com/watch?v=c73Cu3TQnlg
14,27,"I'm The One (feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne)",DJ Khaled,13,37604351,41.4%,https://www.youtube.com/watch?v=weeI1G46q0o
15,12,That's What I Like,Bruno Mars,20,37298132,-3.9%,https://www.youtube.com/watch?v=PMivT7MJ41M
16,76,In the End,Linkin Park,2,36796993,151%,https://www.youtube.com/watch?v=eVTXPUF4Oz4
17,15,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,53,33846741,-4.4%,https://www.youtube.com/watch?v=3AtDnEC4zak
18,,Talking to Myself,Linkin Park,1,33281285,,https://www.youtube.com/watch?v=lvs68OKOquM
19,16,Me Rehúso,Danny Ocean,6,32904698,-6.3%,https://www.youtube.com/watch?v=aDCcLQto5BM
20,13,See You Again (feat. Charlie Puth),Wiz Khalifa,75,32546632,-12.9%,https://www.youtube.com/watch?v=RgKAFK5djSk
21,43,Faded,Alan Walker,60,32490513,63.2%,https://www.youtube.com/watch?v=60ItHLz5WEA
22,17,As If It's Your Last,BLACKPINK,5,31372035,-5%,https://www.youtube.com/watch?v=Amq-qlqbjYA
23,18,Attention,Charlie Puth,14,28841324,-8.8%,https://www.youtube.com/watch?v=nfs8NYg7yQM
24,19,Closer (feat. Halsey),The Chainsmokers,52,28808463,-7.5%,https://www.youtube.com/watch?v=0zGcUoRlhmw
25,20,Tú Foto,Ozuna,13,28517602,-6.9%,https://www.youtube.com/watch?v=afUx6AIG3Tg
26,38,Fetish (feat. Gucci Mane),Selena Gomez,2,27078804,29.3%,https://www.youtube.com/watch?v=STO4-8vkG0U
27,24,Reggaetón Lento (Bailemos),CNCO,36,26504124,-3.7%,https://www.youtube.com/watch?v=7jpqqBX-Myw
28,66,Mayores (feat. Bad Bunny),Becky G,2,25708176,63.6%,https://www.youtube.com/watch?v=GMFewiplIbw
29,26,Si Tu Novio Te Deja Sola (feat. Bad Bunny),J Balvin,21,25633222,-5.2%,https://www.youtube.com/watch?v=Km4BayZykwE
30,21,Something Just Like This (feat. Coldplay),The Chainsmokers & Coldplay,23,25508150,-11.1%,https://www.youtube.com/watch?v=FM7MFYoylVs
31,22,El Amante,Nicky Jam,28,24750072,-11.1%,https://www.youtube.com/watch?v=YG2p6XBuSKA
32,23,Burn it Down (Ahzee & Faydee),Ahzee & Faydee,6,24663715,-10.4%,https://www.youtube.com/watch?v=kmMPg9JElOM
33,29,Unforgettable (feat. Swae Lee),French Montana,14,24183576,-7%,https://www.youtube.com/watch?v=CTFtOOh47oo
34,25,Ahora Me Llama (feat. Karol G),Bad Bunny & Karol G,6,24001623,-11.9%,https://www.youtube.com/watch?v=4NNRy_Wz16k
35,30,Treat You Better,Shawn Mendes,54,23997280,-7.2%,https://www.youtube.com/watch?v=lY2yjAdbvdQ
36,31,La Rompe Corazones (feat. Ozuna),Daddy Yankee,2,23232303,-7.4%,https://www.youtube.com/watch?v=ks1CBTwtaU8
37,28,Me Enamoré,Shakira,11,23189323,-12.4%,https://www.youtube.com/watch?v=sPTn0QEhxds
38,,Cheez Badi (Udit Narayan & Neha Kakkar),Neha Kakkar,1,21393095,,https://www.youtube.com/watch?v=
39,36,Uptown Funk (feat. Bruno Mars),Mark Ronson,75,21112577,0.4%,https://www.youtube.com/watch?v=OPf0YbXqDm0
40,42,"Main Tera Boyfriend (Meet Bros, Arijit Singh & Neha Kakkar)","Meet Bros, Arijit Singh & Neha Kakkar",2,20988884,3.9%,https://www.youtube.com/watch?v=FQS7i2z1CoA
41,65,New Rules,Dua Lipa,2,20885733,31.8%,https://www.youtube.com/watch?v=k2qgadSvNyU
42,35,Don’t Let Me Down (feat. Daya),The Chainsmokers,70,20871599,-3.5%,https://www.youtube.com/watch?v=Io0fBr1XBUA
43,45,Bum Bum Tam Tam,Mc Fioti,6,20529725,5.5%,https://www.youtube.com/watch?v=_P7S2lKif-A
