Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Te Boté (Remix),"Casper Magico, Nio Garcia, Darell, Nicky Jam, Bad Bunny & Ozuna",10,73236475,-16.4%,https://www.youtube.com/watch?v=9jI-z9QN6g8
2,2,Girls Like You (feat. Cardi B),Maroon 5,2,60405437,7.2%,https://www.youtube.com/watch?v=aJOTlE1K90k
3,,Sin Pijama,Becky G & Natti Natasha,1,50467108,,https://www.youtube.com/watch?v=zEf423kYfqk
4,3,X,Nicky Jam & J Balvin,15,44278365,-10.4%,https://www.youtube.com/watch?v=_I_D_8Z4sJE
5,13,Me Niego (feat. Ozuna & Wisin),Reik,17,43641658,37.3%,https://www.youtube.com/watch?v=JyqD_zfXfi8
6,7,Lagi Syantik,Siti Badriah,5,43528094,10.3%,https://www.youtube.com/watch?v=Tet6_BlStEM
7,14,Back To You,Selena Gomez,5,41450831,31.3%,https://www.youtube.com/watch?v=VY1eFxgRR-k
8,4,I Like It (feat. Kontra K & AK Ausserkontrolle),Cardi B,9,40246191,-15.2%,https://www.youtube.com/watch?v=xTlNMmZKwpA
9,8,no tears left to cry,Ariana Grande,8,32124462,-8.2%,https://www.youtube.com/watch?v=ffxKSjUwKdU
10,9,One Kiss,Calvin Harris & Dua Lipa,10,30697872,-6.5%,https://www.youtube.com/watch?v=DkeiKbqa02g
11,,Made In India,Guru Randhawa,1,30394206,,https://www.youtube.com/watch?v=pnMQLrS5sTE
12,17,Introduccion B (El Cosita Mix),El Chombo,10,29454045,8.2%,https://www.youtube.com/watch?v=LE6-4nAWEY0
13,5,Dura,Daddy Yankee,21,28669600,-34.6%,https://www.youtube.com/watch?v=sGIm0-dQd8M
14,15,Havana (feat. Young Thug),Camila Cabello,39,28277945,-9.8%,https://www.youtube.com/watch?v=BQ0mxQXmLsk
15,16,Mi Cama,Karol G,5,27469033,-0.3%,https://www.youtube.com/watch?v=8-mloCL49vs
16,21,Nena Maldicion  (feat. Lenny),Paulo Londra,12,27355806,14.5%,https://www.youtube.com/watch?v=bX3S-_jUauc
17,10,FRIENDS,Marshmello & Anne-Marie,18,27078172,-17.3%,https://www.youtube.com/watch?v=jzD_yyEcp0M
18,25,New Rules,Dua Lipa,49,27063292,23.4%,https://www.youtube.com/watch?v=k2qgadSvNyU
19,26,El Farsante (Remix),Ozuna,49,26440073,30.7%,https://www.youtube.com/watch?v=wfWkmURBNv8
20,23,Laung Laachi,Mannat Noor,10,25294341,8.7%,https://www.youtube.com/watch?v=YpkJO_GrCo0
21,,"Live It Up (Era Istrefi, Will Smith & Nicky Jam)","Era Istrefi, Will Smith & Nicky Jam",1,25284845,,https://www.youtube.com/watch?v=V15BYnSr0P8
22,28,God's Plan,Drake,21,24948535,24%,https://www.youtube.com/watch?v=xpVfcZ0ZcFM
23,24,BBoom BBoom(뿜뿜),MOMOLAND,22,24256434,6.4%,https://www.youtube.com/watch?v=JQGRg8XBnB4
24,12,This Is America,Childish Gambino,6,23541993,-27%,https://www.youtube.com/watch?v=VYOjWnS4cMY
25,18,Bella,Wolfine,21,23348102,-12.5%,https://www.youtube.com/watch?v=jjuSfhYiup8
26,33,Ai Mee Het Phon,เบิ้ล ปทุมราช อาร์สยาม,3,22769743,29.4%,https://www.youtube.com/watch?v=fgFFuzmK2xU
27,22,Échame la Culpa,Luis Fonsi & Demi Lovato,30,22084309,-7.5%,https://www.youtube.com/watch?v=TyHvyGVs42U
28,20,Bom Diggy (Jasmin Walia & Zack Knight),Jasmin Walia & Zack Knight,18,21820881,-13.3%,https://www.youtube.com/watch?v=yIIGQB6EMAM
29,56,Lucid Dreams,Juice WRLD,4,20178825,48.7%,https://www.youtube.com/watch?v=mzB1VGEGcSU
30,32,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,33,19359834,4.8%,https://www.youtube.com/watch?v=y7d9VLRO3vc
31,,Difference,Amrit Maan,1,18978157,,https://www.youtube.com/watch?v=vg0ZfeszGrU
32,47,No Me Acuerdo,Thalía & Natti Natasha,2,18901843,25.8%,https://www.youtube.com/watch?v=iQEVguV71sI
33,36,Síguelo Bailando,Ozuna,29,18829389,8.1%,https://www.youtube.com/watch?v=Dvpd9_5vuks
34,29,Te Amo (feat. Paulo Londra),Piso 21,13,18822348,-0.2%,https://www.youtube.com/watch?v=nP8ZVJxiJlU
35,19,Psycho (feat. Ty Dolla $ign),Post Malone,16,18272241,-30.7%,https://www.youtube.com/watch?v=au2n7VVGv_c
36,,Corazón (feat. Nego do Borel),Maluma,31,18234385,,https://www.youtube.com/watch?v=GmHrjFIWl6U
37,27,Freaky Friday (feat. Chris Brown),Lil Dicky,13,17900317,-11.4%,https://www.youtube.com/watch?v=aZla1ttZHaw
