Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Taki Taki,DJ Snake,4,114607318,1.3%,https://www.youtube.com/watch?v=ixkoVwKQaJg
2,2,Girls Like You (feat. Cardi B),Maroon 5,21,75850438,2.7%,https://www.youtube.com/watch?v=aJOTlE1K90k
3,3,Mía (feat. Drake),Bad Bunny,2,54444298,4.8%,https://www.youtube.com/watch?v=OSUxrSe5GbI
4,7,Culpables,Karol G & Anuel AA,6,38619717,30.8%,https://www.youtube.com/watch?v=xfdG6vwIGGU
5,,Imposible,Luis Fonsi & Ozuna,1,31690801,,https://www.youtube.com/watch?v=De4FqIkvHX0
6,,SICKO MODE (feat. Drake),Travis Scott,9,29131543,,https://www.youtube.com/watch?v=6ONRf7h3Mdk
7,6,BEBE (feat. Anuel AA),6ix9ine,8,28693787,-6.3%,https://www.youtube.com/watch?v=ycV6cnK3SIs
8,10,Dilbar,"Neha Kakkar, Dhvani Bhanushali & Ikka Singh",17,25508114,-2.6%,https://www.youtube.com/watch?v=JFcgOboQZ08
9,4,Venom,Eminem,3,25223536,-33.5%,https://www.youtube.com/watch?v=8CdcCD5V-d8
10,13,Te Boté (Remix),"Casper Magico, Nio Garcia, Darell, Nicky Jam, Bad Bunny & Ozuna",29,24530776,3.7%,https://www.youtube.com/watch?v=9jI-z9QN6g8
11,11,Sin Pijama,Becky G & Natti Natasha,19,24156572,-3.5%,https://www.youtube.com/watch?v=zEf423kYfqk
12,8,I Like It,"Cardi B, Bad Bunny & J Balvin",28,23758067,-16.4%,https://www.youtube.com/watch?v=xTlNMmZKwpA
13,5,Nikle Currant,Jassi Gill & Neha Kakkar,2,23101640,-26.6%,https://www.youtube.com/watch?v=uBaqgt5V0mU
14,15,Cuando Te Besé,Becky G & Paulo Londra,12,22319728,0.4%,https://www.youtube.com/watch?v=zAWsoFk2yVw
15,18,Ya No Tiene Novio,Sebastián Yatra & Mau y Ricky,11,22118138,6%,https://www.youtube.com/watch?v=-qGbUNQqVNc
16,28,Shallow,Lady Gaga & Bradley Cooper,4,21910878,12.6%,https://www.youtube.com/watch?v=bo_efYhYU2A
17,,Sunflower,Post Malone & Swae Lee,1,21901704,,https://www.youtube.com/watch?v=ApXoWvfEYVU
18,20,No Me Acuerdo,Thalía & Natti Natasha,21,21780362,4.5%,https://www.youtube.com/watch?v=iQEVguV71sI
19,49,Eastside,"Benny Blanco, Halsey & Khalid",11,20639944,31.4%,https://www.youtube.com/watch?v=56WBK4ZK_cw
20,41,Dame Tu Cosita (feat. Cutty Ranks),"Pitbull, El Chombo & Karol G",8,20301765,13.3%,https://www.youtube.com/watch?v=FMN3AtsXqA0
21,26,Laung Laachi,Mannat Noor,29,19873685,-0.4%,https://www.youtube.com/watch?v=YpkJO_GrCo0
22,12,Vaina Loca,Ozuna & Manuel Turizo,17,19699200,-16.7%,https://www.youtube.com/watch?v=bx-fuY7LpSU
23,25,Happier (feat. Bastille),Marshmello,6,19676440,-1.5%,https://www.youtube.com/watch?v=m7Bc3pLyij0
24,17,Taste (feat. Offset),Tyga,20,19536408,-7.6%,https://www.youtube.com/watch?v=LjxulQ1bEWg
25,27,FRIENDS,Marshmello & Anne-Marie,35,19493700,-1.7%,https://www.youtube.com/watch?v=jzD_yyEcp0M
26,36,Zeze Freestyle,MIST,2,19222475,1.8%,https://www.youtube.com/watch?v=EfHNIPXTxy0
27,19,FEFE,"6ix9ine, Nicki Minaj & Murda Beatz",14,19182377,-8%,https://www.youtube.com/watch?v=V_MXGdSBbAI
28,24,Tanta Falta,Bryant Myers,2,19103437,-5.1%,https://www.youtube.com/watch?v=oQVaGR2OsKA
29,21,MOONLIGHT,XXXTENTACION,8,18727037,-9.6%,https://www.youtube.com/watch?v=GX8Hg6kWQYI
30,33,Dura,Daddy Yankee,40,18692770,-2.9%,https://www.youtube.com/watch?v=sGIm0-dQd8M
31,37,"Toda (Remix) (feat. Cazzu, Lenny Tavarez, Rauw Alejandro & Lyanno)",Alex Rose,17,18647636,1.6%,https://www.youtube.com/watch?v=lKDGxAHZt0E
32,22,Dekhte Dekhte,Atif Aslam,8,18323862,-11%,https://www.youtube.com/watch?v=jBQpGiubj0c
33,30,Lucid Dreams,Juice WRLD,23,18255602,-5.3%,https://www.youtube.com/watch?v=mzB1VGEGcSU
34,29,STOOPID (feat. Bobby Shmurda),6ix9ine,3,18229998,-6.3%,https://www.youtube.com/watch?v=VDa5iGiPgGs
35,48,Solo (feat. Demi Lovato),Clean Bandit,21,18107187,15.2%,https://www.youtube.com/watch?v=8JnfIa84TnU
36,42,Me Niego (feat. Ozuna & Wisin),Reik,33,17902090,0.1%,https://www.youtube.com/watch?v=JyqD_zfXfi8
37,32,O Bebê,MC Kevinho & MC Kekel,6,17879398,-7.2%,https://www.youtube.com/watch?v=Btyfrd-UtSw
38,40,Bom Diggy (Jasmin Walia & Zack Knight),Jasmin Walia & Zack Knight,32,17578933,-2.7%,https://www.youtube.com/watch?v=yIIGQB6EMAM
39,23,Ella Quiere Beber,Anuel AA,10,17492549,-14.4%,https://www.youtube.com/watch?v=BTtBmo5EbEk
40,39,IDOL,BTS,9,17294659,-4.7%,https://www.youtube.com/watch?v=pBuZEGYXA6E
41,34,Downtown,Guru Randhawa,2,16800317,-12.3%,https://www.youtube.com/watch?v=klzyuLXNsGE
42,43,X,Nicky Jam & J Balvin,34,16439490,-7.1%,https://www.youtube.com/watch?v=_I_D_8Z4sJE
43,,Kiss and Make Up,Dua Lipa & BLACKPINK,1,16428970,,https://www.youtube.com/watch?v=AX3Bsiq-13k
44,46,I'm a Mess,Bebe Rexha,18,16152286,2.4%,https://www.youtube.com/watch?v=LdH7aFjDzjI
45,50,Culpables,Manuel Turizo,13,15960791,3.4%,https://www.youtube.com/watch?v=OYwdXMPu17E
46,45,No Es Justo,J Balvin & Zion & Lennox,23,15393178,-8%,https://www.youtube.com/watch?v=2zn4dAuZ2RU
47,,I am YOU,Stray Kids,1,15102198,,https://www.youtube.com/watch?v=CNfodZluR-Q
48,52,Sou Favela,Mc Bruninho & MC Vitinho Ferrari,6,14688743,-1.4%,https://www.youtube.com/watch?v=PvJIwSPte4E
49,16,El Clavo (Remix) (feat. Maluma),Prince Royce,8,14467996,-31.6%,https://www.youtube.com/watch?v=uHgbcxMab1I
50,54,You Are the Reason,Calum Scott,18,14370828,-0.2%,https://www.youtube.com/watch?v=ShZ978fBl6Y
51,51,Rise (feat. Jack & Jack),Jonas Blue,15,14320577,-4.3%,https://www.youtube.com/watch?v=btrzs54s1Rc
52,35,Vuelve,Sebastián Yatra & Beret,3,14042196,-26.7%,https://www.youtube.com/watch?v=dNa5gs24gis
53,60,Better Now,Post Malone,3,14038086,6.8%,https://www.youtube.com/watch?v=UYwF-jdcVjY
54,47,Aerolinea Carrillo (feat. Gerardo Ortiz),T3R Elemento,4,13773716,-12.4%,https://www.youtube.com/watch?v=
55,53,Natural,Imagine Dragons,10,13741515,-7.7%,https://www.youtube.com/watch?v=0I647GU3Jsc
56,56,"Thunderclouds (feat. Labrinth, Diplo   & Sia)",LSD,8,13534263,-3%,https://www.youtube.com/watch?v=kg1BljLu9YY
57,67,2002,Anne-Marie,16,13497480,9.5%,https://www.youtube.com/watch?v=Il-an3K9pjg
58,70,Amigos Con Derechos,Reik & Maluma,8,13403474,11%,https://www.youtube.com/watch?v=0vTopF6wwZg
59,57,BAAM,MOMOLAND,16,13126302,-4.5%,https://www.youtube.com/watch?v=txWmd7QKFe8
60,61,En Peligro De Extinción,La Adictiva Banda San Jose De Mesillas,5,12902654,-1%,https://www.youtube.com/watch?v=B4BDh41Y8hQ
61,,Dusk Till Dawn (feat. Sia),ZAYN,27,12831280,,https://www.youtube.com/watch?v=tt2k8PGm-TI
62,,Atrasadinha,Felipe Araújo & Ferrugem,2,12729835,,https://www.youtube.com/watch?v=M76qUQTt_Sw
63,62,Let You Love Me,Rita Ora,4,12440237,-2.8%,https://www.youtube.com/watch?v=XCQK6LmhYqc
64,66,Beautiful (feat. Camila Cabello),Bazzi,3,12409213,-1%,https://www.youtube.com/watch?v=Uk1hv6h7O1Y
65,77,No Stylist (feat. Drake),French Montana,2,12140909,5%,https://www.youtube.com/watch?v=9_k_goMr5ZI
66,44,Kamariya,Darshan Raval,6,12083485,-29.9%,https://www.youtube.com/watch?v=i0_m90T04uw
67,,Calma (Remix),"Pedro Capó, Alan Walker & Farruko",1,11896027,,https://www.youtube.com/watch?v=YS2RmyES-GU
68,38,Celoso,Lele Pons,10,11737478,-36%,https://www.youtube.com/watch?v=oXm2AuqwPlc
69,,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo & David Guetta,1,11720341,,https://www.youtube.com/watch?v=kUjKxtJd21E
70,92,Youngblood,5 Seconds of Summer,7,11695565,14.8%,https://www.youtube.com/watch?v=-RJSbO8UZVY
71,64,Justicia,Silvestre Dangond & Natti Natasha,14,11604842,-8.2%,https://www.youtube.com/watch?v=7qix3jy5QdA
72,71,Drip Too Hard,Lil Baby & Gunna,3,11570779,-3.4%,https://www.youtube.com/watch?v=THcVOf1kNh0
73,81,Akh Lad Jaave,"Badshah, Tanishk Bagchi, Jubin Nautiyal & Asees Kaur",8,11543573,3.9%,https://www.youtube.com/watch?v=e_vl5aFXB4Q
74,88,Parado no Bailão,MC L da Vinte & Mc Gury,2,11343598,8.7%,https://www.youtube.com/watch?v=upCptHeThio
75,73,Mala Mía,Maluma,11,11323069,-4.5%,https://www.youtube.com/watch?v=Q527XDLEpfU
76,55,Clandestino,Shakira & Maluma,17,11288734,-19.4%,https://www.youtube.com/watch?v=1DhA69K3fZ4
