Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,In My Feelings,Drake,4,113450423,26.4%,https://www.youtube.com/watch?v=DRS_PpOrUZ4
2,3,Girls Like You (feat. Cardi B),Maroon 5,10,59642347,-1%,https://www.youtube.com/watch?v=aJOTlE1K90k
3,24,Jaha Tum Rahoge,Altamash Faridi,2,56765968,134.1%,https://www.youtube.com/watch?v=Mi3GdCyzHCY
4,2,Dilbar,"Neha Kakkar, Dhvani Bhanushali & Ikka Singh",6,56043344,-22%,https://www.youtube.com/watch?v=JFcgOboQZ08
5,4,FEFE,"6ix9ine, Nicki Minaj & Murda Beatz",3,49202572,-15.2%,https://www.youtube.com/watch?v=V_MXGdSBbAI
6,7,Te Boté (Remix),"Casper Magico, Nio Garcia, Darell, Nicky Jam, Bad Bunny & Ozuna",18,46150562,3.6%,https://www.youtube.com/watch?v=9jI-z9QN6g8
7,6,Sin Pijama,Becky G & Natti Natasha,8,41471686,-7.7%,https://www.youtube.com/watch?v=zEf423kYfqk
8,15,Vaina Loca,Ozuna & Manuel Turizo,6,40714280,17.4%,https://www.youtube.com/watch?v=bx-fuY7LpSU
9,12,No Me Acuerdo,Thalía & Natti Natasha,10,39646561,8.9%,https://www.youtube.com/watch?v=iQEVguV71sI
10,5,I Like It,"Cardi B, Bad Bunny & J Balvin",17,39401797,-23.9%,https://www.youtube.com/watch?v=xTlNMmZKwpA
11,8,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,7,38366061,-11.3%,https://www.youtube.com/watch?v=IHNzOHi8sJs
12,13,No Es Justo,J Balvin & Zion & Lennox,12,37692587,4.3%,https://www.youtube.com/watch?v=2zn4dAuZ2RU
13,18,Dura,Daddy Yankee,29,37040995,13.3%,https://www.youtube.com/watch?v=sGIm0-dQd8M
14,11,Perfect,Ed Sheeran,48,36383167,-0.5%,https://www.youtube.com/watch?v=2Vv-BfVoq4g
15,16,Clandestino,Shakira & Maluma,6,35006640,5.2%,https://www.youtube.com/watch?v=1DhA69K3fZ4
16,10,Mi Cama,Karol G,13,32340278,-15.4%,https://www.youtube.com/watch?v=8-mloCL49vs
17,14,X,Nicky Jam & J Balvin,23,32133205,-9%,https://www.youtube.com/watch?v=_I_D_8Z4sJE
