Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,X,Nicky Jam & J Balvin,4,82186846,5.9%,https://www.youtube.com/watch?v=_I_D_8Z4sJE
2,3,Dura,Daddy Yankee,12,48430797,2.8%,https://www.youtube.com/watch?v=sGIm0-dQd8M
3,6,FRIENDS,Marshmello & Anne-Marie,8,47440547,9.7%,https://www.youtube.com/watch?v=jzD_yyEcp0M
4,2,God's Plan,Drake,11,46135982,-10.2%,https://www.youtube.com/watch?v=xpVfcZ0ZcFM
5,5,Perfect,Ed Sheeran,32,46033381,2.3%,https://www.youtube.com/watch?v=2Vv-BfVoq4g
6,7,El Farsante (Remix),Ozuna,36,42591888,-0.4%,https://www.youtube.com/watch?v=wfWkmURBNv8
7,4,Havana (feat. Young Thug),Camila Cabello,28,40942585,-12.8%,https://www.youtube.com/watch?v=BQ0mxQXmLsk
8,,Introduccion B (El Cosita Mix),El Chombo,1,36922061,,https://www.youtube.com/watch?v=LE6-4nAWEY0
9,8,Échame la Culpa,Luis Fonsi & Demi Lovato,21,34069948,-3.3%,https://www.youtube.com/watch?v=TyHvyGVs42U
10,,What is Love?,TWICE,1,33865227,,https://www.youtube.com/watch?v=i0p1bmr0EmE
11,12,Freaky Friday (feat. Chris Brown),Lil Dicky,4,33837841,10.9%,https://www.youtube.com/watch?v=aZla1ttZHaw
12,10,Me Niego (feat. Ozuna & Wisin),Reik,8,32946311,-1.6%,https://www.youtube.com/watch?v=JyqD_zfXfi8
13,13,Bella,Wolfine,11,32731970,10.3%,https://www.youtube.com/watch?v=jjuSfhYiup8
14,11,Psycho (feat. Ty Dolla $ign),Post Malone,6,31626457,1.2%,https://www.youtube.com/watch?v=au2n7VVGv_c
15,14,Corazón (feat. Nego do Borel),Maluma,23,29104154,-0.3%,https://www.youtube.com/watch?v=GmHrjFIWl6U
16,19,Amor de Verdade,MC Kekel & MC Rita,2,28537817,14%,https://www.youtube.com/watch?v=8_oE-iQeFeE
17,17,Scooby Doo Pa Pa,DJ Kass,3,28151026,9.9%,https://www.youtube.com/watch?v=
18,9,Amorfoda,Bad Bunny,9,27655231,-18.5%,https://www.youtube.com/watch?v=kLpH1nSLJSs
19,15,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,25,27049744,4.1%,https://www.youtube.com/watch?v=y7d9VLRO3vc
20,22,O Saathi,Arko Pravo Mukherjee,5,24759016,10.9%,https://www.youtube.com/watch?v=OX-h7MtkeOI
21,,Quisiera Alejarme (feat. Ozuna),Wisin,1,24426732,,https://www.youtube.com/watch?v=r4cunxWkwxo
22,16,Walk It Talk It (feat. Drake),Migos,4,23837388,-8.1%,https://www.youtube.com/watch?v=fGqdIPer-ms
23,20,Síguelo Bailando,Ozuna,22,22835667,0.9%,https://www.youtube.com/watch?v=Dvpd9_5vuks
24,21,El Préstamo,Maluma,3,21844453,-3.2%,https://www.youtube.com/watch?v=XSS9TkOC_zU
25,,Nice For What,Drake,1,20339104,,https://www.youtube.com/watch?v=U9BwWKXjVaI
26,23,New Rules,Dua Lipa,39,19406579,-2.9%,https://www.youtube.com/watch?v=k2qgadSvNyU
27,18,Por Perro (feat. Luis Figueroa & Lary Over),Sebastián Yatra,2,18938415,-25.8%,https://www.youtube.com/watch?v=WtE011iVx1Q
28,29,Thunder,Imagine Dragons,32,18204830,6.2%,https://www.youtube.com/watch?v=fKopy74weus
29,31,IDGAF,Dua Lipa,13,18015112,6.2%,https://www.youtube.com/watch?v=Mgfe5tIwOj0
30,32,Largado Às Traças (Acústico),Zé Neto & Cristiano,4,17374090,5.1%,https://www.youtube.com/watch?v=WcTRQXtXJPs
31,43,The Middle,"Zedd, Maren Morris & Grey",6,17369341,20.9%,https://www.youtube.com/watch?v=M3mJkSqZbX4
32,24,Call Out My Name,The Weeknd,2,16580125,-15.2%,https://www.youtube.com/watch?v=M4ZoCHID9GI
33,51,Mine,Bazzi,9,16086833,22%,https://www.youtube.com/watch?v=2GFvJRbWlPw
34,30,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,20,15873297,-6.7%,https://www.youtube.com/watch?v=zDo0H8Fm7d0
35,35,Daru Badnaam,Kamal Kahlon & Param Singh,8,15784191,-2%,https://www.youtube.com/watch?v=bzW9fmwcmG4
36,37,Fuleragem,MC WM,6,15762649,2.5%,https://www.youtube.com/watch?v=4N2iMmHcHys
37,33,Bum Bum Tam Tam,MC Fioti,38,15693609,-5%,https://www.youtube.com/watch?v=_P7S2lKif-A
38,58,Ghar Se Nikalte Hi (feat. Armaan Malik),Amaal Mallik,2,15672127,29.4%,https://www.youtube.com/watch?v=f1qz8vn3XbY
39,40,Finesse (feat. Cardi B),Bruno Mars,15,15602524,5.4%,https://www.youtube.com/watch?v=LsoLEjrDogU
40,56,No Hay Nadie Más,Sebastián Yatra,10,15374632,21.4%,https://www.youtube.com/watch?v=sD9_l3oDOag
41,34,Loca (feat. Duki & Cazzu),Khea,4,15280600,-6.8%,https://www.youtube.com/watch?v=XQ0D_QD_DhM
42,,Madura (feat. Bad Bunny),Cosculluela,1,15250585,,https://www.youtube.com/watch?v=LOYAomlRbxI
43,27,Dime (feat. Arcangel & De La Ghetto),"Revol, J Balvin & Bad Bunny",3,14560000,-20.3%,https://www.youtube.com/watch?v=DqSBQqj94JU
44,38,Criminal,Natti Natasha & Ozuna,29,14386354,-3.9%,https://www.youtube.com/watch?v=VqEbCxg2bNI
45,42,Rockstar (feat. 21 Savage),Post Malone,24,14383443,-1.6%,https://www.youtube.com/watch?v=UceaB4D0jpo
46,49,Esperándote,Manuel Turizo,17,14343905,7.7%,https://www.youtube.com/watch?v=ooHII67__Sg
47,41,Plug Walk (feat. Dark Polo Gang),Rich the Kid,6,14224964,-3%,https://www.youtube.com/watch?v=ToY6sjSV8h8
48,26,Delicate,Taylor Swift,5,14219273,-23.5%,https://www.youtube.com/watch?v=tCXGJQYZ9JA
49,92,Balenciaga,Ozuna & Ele a el Dominio,2,14124756,63.3%,https://www.youtube.com/watch?v=pd7AMDMotyM
50,46,Believer,Imagine Dragons,38,14123194,3%,https://www.youtube.com/watch?v=7wtfhZwyrcc
51,53,BBoom BBoom(뿜뿜),MOMOLAND,12,14100130,8.4%,https://www.youtube.com/watch?v=JQGRg8XBnB4
52,54,Bom Diggy (Jasmin Walia & Zack Knight),Jasmin Walia & Zack Knight,5,13850865,8.7%,https://www.youtube.com/watch?v=yIIGQB6EMAM
53,50,Solita,"Ozuna, Bad Bunny, Wisin & Almighty",12,13742580,4.2%,https://www.youtube.com/watch?v=j-sz8M8gc6U
54,44,Look Alive (feat. Drake),BlocBoy JB,9,13519519,-3.8%,https://www.youtube.com/watch?v=NV-3s2wwC8c
