Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,3,Pepas,Farruko,4,50602305,13.4%,https://www.youtube.com/watch?v=y8trd3gjJt0
2,1,Pudina Ae Haseena,Pawan Singh & Anupama Yadav,10,43370307,-23.6%,https://www.youtube.com/watch?v=iY3vrGP6XIE
3,4,Paani Paani (feat. Jacqueline Fernandez),Badshah & Aastha Gill,9,43143597,9.2%,https://www.youtube.com/watch?v=nFjVlf2r9_Q
4,6,Beggin',Måneskin,9,39050142,2%,https://www.youtube.com/watch?v=ZWKpPDI1M-o
5,2,Baarish Ban Jaana,Payal Dev & Stebin Ben,10,38695945,-30.2%,https://www.youtube.com/watch?v=KVh4KtUSW3A
6,25,STAY,The Kid Laroi & Justin Bieber,5,37655869,78.8%,https://www.youtube.com/watch?v=kTJczUoc26U
7,5,Permission to Dance,BTS,5,32586676,-16.9%,https://www.youtube.com/watch?v=CuklIb9d3fI
8,7,Butter,BTS,12,30208760,-12.7%,https://www.youtube.com/watch?v=WMweEpGlu_U
9,8,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,3,29158100,-13.1%,https://www.youtube.com/watch?v=UTHLKHL_whs
10,,Bachpan Ka Pyaar,"Badshah, Aastha Gill, Sahdev Dirdo & Rico",1,27344492,,https://www.youtube.com/watch?v=k7QniTYNsmQ
11,,Take My Breath,The Weeknd,1,26345305,,https://www.youtube.com/watch?v=rhTl_OyehF8
12,10,Todo de Ti,Rauw Alejandro,12,25892236,-14.9%,https://www.youtube.com/watch?v=CFPLIaMpGrY
13,27,Poblado (Remix),"Crissin, -- & Natan & Shander",14,25831083,24.5%,https://www.youtube.com/watch?v=s8hA0QRIwfo
14,29,Need To Know,Doja Cat,5,25625257,28.7%,https://www.youtube.com/watch?v=dI3xkL7qUAc
15,17,Yonaguni,Bad Bunny,10,23672523,-1%,https://www.youtube.com/watch?v=doLMt10ytHY
16,22,Volví,Aventura & Bad Bunny,2,23558997,9.9%,https://www.youtube.com/watch?v=ayd3yWr4tqU
17,18,Entre Nosotros (Remix),"Tiago PZK, Lit Killah, Maria Becerra & Nicki Nicole",5,22409514,-1.6%,https://www.youtube.com/watch?v=sidPTvbTv9o
18,16,Ram Pam Pam,Natti Natasha & Becky G,16,21880778,-9.1%,https://www.youtube.com/watch?v=_wE3hDN06Qg
19,26,Save Your Tears,The Weeknd,32,21307275,2.2%,https://www.youtube.com/watch?v=XXYlFuWEuKI
20,19,Qué Más Pues?,J Balvin & Maria Becerra,11,21043308,-6.9%,https://www.youtube.com/watch?v=zisuhZqTeH4
21,15,नदी बिचे नईया डोले,Shilpi Raj,14,21038773,-17.1%,https://www.youtube.com/watch?v=BRQ-n5OYUuM
22,23,Dynamite,BTS,51,20462171,-2.9%,https://www.youtube.com/watch?v=gdZLi9oWNZg
23,24,Chatak Matak,Renuka Panwar,33,20429221,-3%,https://www.youtube.com/watch?v=s9AICwTKgOg
24,,Dil Ne Yeh Kaha Hai Dil Se,"Udit Narayan, Alka Yagnik & Kumar Sanu",1,20264845,,https://www.youtube.com/watch?v=MFommhp4XVk
25,21,MONTERO (Call Me By Your Name),Lil Nas X,20,20219701,-8.4%,https://www.youtube.com/watch?v=6swmTBVI83k
26,45,DUMB DUMB,JEON SOMI,2,20133228,36.2%,https://www.youtube.com/watch?v=tg2uF3R_Ozo
27,9,Filhaal2 Mohabbat,"B Praak, Akshay Kumar, Nupur Sanon & Ammy Virk",6,19918698,-39.6%,https://www.youtube.com/watch?v=DUwlGduupRI
28,31,Bad Habits,Ed Sheeran,7,19862406,5.2%,https://www.youtube.com/watch?v=orJSJGHjBLI
29,32,Lut Gaye (feat. Emraan Hashmi),Jubin Nautiyal,25,18155438,-3.4%,https://www.youtube.com/watch?v=sCbbMZ-q4-I
30,37,I WANNA BE YOUR SLAVE,Måneskin,11,17945971,0.5%,https://www.youtube.com/watch?v=0T-BCIFeqq8
31,30,Levitating (feat. DaBaby),Dua Lipa,35,17907163,-5.8%,https://www.youtube.com/watch?v=TUVcZfQe-Kw
32,38,Se For Amor (Ao Vivo),João Gomes & Vitor Fernandes,5,17673660,0.9%,https://www.youtube.com/watch?v=-6J3HfX4sbg
33,36,52 Gajh Ka Daman,Renuka Panwar,39,17445744,-3.3%,https://www.youtube.com/watch?v=CZt-rVn2BJs
34,33,Fulanito,Becky G & El Alfa,7,17251803,-7.1%,https://www.youtube.com/watch?v=P2LLC2GyOlo
35,35,Kiss Me More (feat. SZA),Doja Cat,18,17145474,-6.1%,https://www.youtube.com/watch?v=0EVVKs6DQLo
36,82,Woman,Doja Cat,2,16814650,59.9%,https://www.youtube.com/watch?v=yxW5yuzVi8w
37,34,good 4 u,Olivia Rodrigo,13,16761237,-8.3%,https://www.youtube.com/watch?v=gNi_6U5Pm_o
38,41,Miénteme,TINI & Maria Becerra,15,15169310,-3.9%,https://www.youtube.com/watch?v=mmRBXjVENDQ
39,14,Happier Than Ever,Billie Eilish,2,14973387,-41.4%,https://www.youtube.com/watch?v=5GJWxDKyk3A
40,51,Meu Pedaço de Pecado,João Gomes,9,14761650,2.6%,https://www.youtube.com/watch?v=H1DEczvTjgE
41,39,Razzi Bolja,Harjeet Deewana,12,14271790,-16.1%,https://www.youtube.com/watch?v=VT87DFblAxY
42,11,Barsaat Ki Dhun,"Rochak Kohli, Jubin Nautiyal & Anu Malik",4,14129046,-48.6%,https://www.youtube.com/watch?v=YIucrdfR6rI
43,44,Botella Tras Botella,Gera Mx & Christian Nodal,16,13611004,-9.2%,https://www.youtube.com/watch?v=XegHMc35Bo8
44,,Bewafa Tera Muskurana,"Jubin Nautiyal, Meet Bros & Attaullah Khan Esakhelvi",1,13370378,,https://www.youtube.com/watch?v=-JEPg3gsiII
45,49,happier,Olivia Rodrigo,10,13358487,-8.5%,https://www.youtube.com/watch?v=ZQFmRXgeR-s
46,40,Nabız,Burak Bulut & Kurtuluş Kuş,3,13273574,-19.7%,https://www.youtube.com/watch?v=9BJjEjV2J4M
47,,Marjaawaan,Gurnazar Chattha & Asees Kaur,1,13168321,,https://www.youtube.com/watch?v=RHuMV3R9M4w
48,46,EL MAKINON,KAROL G & Mariah Angeliq ,20,13102821,-10.9%,https://www.youtube.com/watch?v=2jYEz66J_J4
49,53,double take,dhruv,4,13041946,-0.5%,https://www.youtube.com/watch?v=R8FHtIhWqNo
50,43,AM (Remix),"Nio Garcia, J Balvin & Bad Bunny",7,12810826,-17%,https://www.youtube.com/watch?v=RNzQdcPWWX4
51,,Danza Kuduro (Remix),Dj Kralicek,1,12609467,,https://www.youtube.com/watch?v=999tf5-ONGw
52,100,Is Qadar, Tulsi Kumar & Darshan Raval,17,12586553,50.2%,https://www.youtube.com/watch?v=TBlixHMv_GQ
53,75,Param Sundari,A. R. Rahman & Shreya Ghoshal,3,12563265,14.4%,https://www.youtube.com/watch?v=w4ClQO0FFQg
