Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Con Calma,Daddy Yankee & Snow,6,68493765,-4.5%,https://www.youtube.com/watch?v=DiItGE3eAyQ
2,,Sucker,Jonas Brothers,1,61887433,,https://www.youtube.com/watch?v=CnAmeh0-E-U
3,2,Shallow,Lady Gaga & Bradley Cooper,23,61535556,-1.3%,https://www.youtube.com/watch?v=bo_efYhYU2A
4,3,Calma (Remix),"Pedro Capó, Alan Walker & Farruko",19,56602133,-5.4%,https://www.youtube.com/watch?v=YS2RmyES-GU
5,24,Please Me,Cardi B & Bruno Mars,3,54217326,154%,https://www.youtube.com/watch?v=3y-O-4IL-PU
6,4,7 rings,Ariana Grande,7,46168552,-8.3%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
7,5,Aankh Marey,"Neha Kakkar, Mika Singh & Kumar Sanu",13,43257414,-5.4%,https://www.youtube.com/watch?v=_KhQT-LGb-4
8,6,Secreto,Anuel AA & Karol G,8,42284428,-1.9%,https://www.youtube.com/watch?v=gFZfwWZV074
9,7,Girls Like You (feat. Cardi B),Maroon 5,40,40941412,-4.9%,https://www.youtube.com/watch?v=aJOTlE1K90k
10,9,Taki Taki,DJ Snake,23,40600463,26.6%,https://www.youtube.com/watch?v=ixkoVwKQaJg
11,10,Coca Cola,"Tony Kakkar, Neha Kakkar & Young Desi",4,32765377,12.1%,https://www.youtube.com/watch?v=_cPHiwPqbqo
12,11,Sunflower,Post Malone & Swae Lee,20,30727778,5.4%,https://www.youtube.com/watch?v=ApXoWvfEYVU
13,,어느날머리에서뿔이자랐다,TOMORROW X TOGETHER,1,29884027,,https://www.youtube.com/watch?v=YPGJoDIx45o
14,27,Dancing With A Stranger,Sam Smith & Normani,7,28571364,39.7%,https://www.youtube.com/watch?v=av5JD1dfj_c
15,12,"break up with your girlfriend, i'm bored",Ariana Grande,4,26622897,-3.4%,https://www.youtube.com/watch?v=LH4Y1ZUUx2g
16,17,Rowdy Baby,Dhanush & Dhee,7,26509414,1.8%,https://www.youtube.com/watch?v=x6Q7c9RyMzk
17,8,Adán y Eva,Paulo Londra,17,26407212,-27%,https://www.youtube.com/watch?v=aSjflT_J0Xo
18,14,Sweet but Psycho,Ava Max,14,26196862,-3.4%,https://www.youtube.com/watch?v=WXBHCQYxwr0
19,,"Baila Baila Baila (Remix) (feat. Anuel AA, Daddy Yankee, J Balvin & Farruko)",Ozuna,2,26042731,,https://www.youtube.com/watch?v=32F2d-wj4Xw
20,13,Without Me,Halsey,19,25752976,-5.1%,https://www.youtube.com/watch?v=ZAfAud_M_mg
21,,HP,Maluma,1,25301787,,https://www.youtube.com/watch?v=iMEhjsiHbwM
22,15,Happier (feat. Bastille),Marshmello,25,23779915,-9.4%,https://www.youtube.com/watch?v=m7Bc3pLyij0
23,33,Ella Quiere Beber (Remix) (feat. Romeo Santos),Anuel AA,15,23664349,32.2%,https://www.youtube.com/watch?v=0w3XwPVxcsw
24,,ธารารัตน์ (Thararat),YOUNGOHM,1,23410008,,https://www.youtube.com/watch?v=FemL1-I3s6w
25,20,Desconocidos,"Mau y Ricky, Manuel Turizo & Camilo",11,23308357,-3.9%,https://www.youtube.com/watch?v=8avC3hHNeSE
26,21,Mía (feat. Drake),Bad Bunny,21,22487865,-2.3%,https://www.youtube.com/watch?v=OSUxrSe5GbI
27,22,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,32,22233407,-2.9%,https://www.youtube.com/watch?v=IHNzOHi8sJs
28,23,Thotiana (feat. Cardi B),Blueface,6,21075323,-4.3%,https://www.youtube.com/watch?v=V6EpIABAKKo
29,39,Gori Tori Chunari,Ritesh Pandey,12,20183030,21.4%,https://www.youtube.com/watch?v=
30,,Photo,Karan Sehmbi,1,19847948,,https://www.youtube.com/watch?v=Px1h_6McybM
31,26,SOLO,Jennie,17,18999891,-7.7%,https://www.youtube.com/watch?v=b73BI9eUkjM
32,31,Bohemian Rhapsody,Queen,19,18629536,2.8%,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
33,59,"Pa Mi (Remix) (feat. Sech, Rafa Pabön, Cazzu, Feid, Khea & Lenny Tavarez)",Dalex,2,18583282,32.7%,https://www.youtube.com/watch?v=rm8krFiAJBw
34,82,Ishq Ka Raja (feat. Angela Krislinzki),Addy Nagar & Hamsar Hayat,2,18391753,64.8%,https://www.youtube.com/watch?v=N_dV7--eGFc
35,18,Aullando,Wisin & Yandel & Romeo Santos,2,17992432,-30.8%,https://www.youtube.com/watch?v=-n9krkSb-ug
36,42,Sajjna (Teri Pyari Pyari Do Akhiyan),Bhinda Aujla & Bobby Layal,2,17947718,13.1%,https://www.youtube.com/watch?v=37F8JT5pJWU
37,32,Un Año,Sebastián Yatra & Reik,5,17821730,-1.1%,https://www.youtube.com/watch?v=ghAvJMxE1qo
38,16,Bola Rebola (feat. MC Zaac),"Tropkillaz, J Balvin & Anitta",2,17784891,-31.8%,https://www.youtube.com/watch?v=lby6qH2WYXY
39,43,Better,Khalid,14,17640722,11.5%,https://www.youtube.com/watch?v=x3bfa3DZ8JM
40,38,Murder On My Mind,YNW Melly,3,17445728,3.2%,https://www.youtube.com/watch?v=hqDinxaPUK4
41,25,"Dilbar (Neha Kakkar, Dhvani Bhanushali & Ikka Singh)","Neha Kakkar, Dhvani Bhanushali & Ikka Singh",36,17427611,-16.1%,https://www.youtube.com/watch?v=JFcgOboQZ08
42,47,She Don't Know,Millind Gaba,7,17342666,11.1%,https://www.youtube.com/watch?v=_P3R63mmakg
43,,La Mejor Version de Mi,Natti Natasha,2,17204288,,https://www.youtube.com/watch?v=LJMuk01J5yw
44,34,Say My Name,"David Guetta, Bebe Rexha & J Balvin",18,17011570,-4.6%,https://www.youtube.com/watch?v=ft4jcPSLJfY
