Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Butter,BTS,4,71845686,-33.2%,https://www.youtube.com/watch?v=WMweEpGlu_U
2,2,Todo de Ti,Rauw Alejandro,4,54520193,-26.7%,https://www.youtube.com/watch?v=CFPLIaMpGrY
3,4,नदी बिचे नईया डोले,Shilpi Raj,6,48084454,-17%,https://www.youtube.com/watch?v=BRQ-n5OYUuM
4,5,Ram Pam Pam,Natti Natasha & Becky G,8,45624970,-7.5%,https://www.youtube.com/watch?v=_wE3hDN06Qg
5,37,Bedardi Se Pyaar Ka,Jubin Nautiyal & Meet Bros,2,43973833,126.4%,https://www.youtube.com/watch?v=y_RHQ4mBDKA
6,3,Yonaguni,Bad Bunny,2,43869801,-27.3%,https://www.youtube.com/watch?v=doLMt10ytHY
7,6,Lut Gaye (feat. Emraan Hashmi),Jubin Nautiyal,17,37988495,-15.7%,https://www.youtube.com/watch?v=sCbbMZ-q4-I
8,,Paani Paani (feat. Jacqueline Fernandez),Badshah & Aastha Gill,1,36462080,,https://www.youtube.com/watch?v=nFjVlf2r9_Q
9,28,Baarish Ban Jaana,Payal Dev & Stebin Ben,2,36328124,58.3%,https://www.youtube.com/watch?v=KVh4KtUSW3A
10,7,Save Your Tears,The Weeknd,24,35192030,-14.1%,https://www.youtube.com/watch?v=XXYlFuWEuKI
11,8,MONTERO (Call Me By Your Name),Lil Nas X,12,35189010,1.1%,https://www.youtube.com/watch?v=6swmTBVI83k
12,29,Alcohol-Free,TWICE,2,35030870,52.7%,https://www.youtube.com/watch?v=XA2YEHn-A8Q
13,10,good 4 u,Olivia Rodrigo,5,31538035,-5.2%,https://www.youtube.com/watch?v=gNi_6U5Pm_o
14,17,Razzi Bolja,Harjeet Deewana,4,30566297,9.3%,https://www.youtube.com/watch?v=VT87DFblAxY
15,18,52 Gajh Ka Daman,Renuka Panwar,31,29715863,10.3%,https://www.youtube.com/watch?v=CZt-rVn2BJs
16,9,Build a Bitch,Bella Poarch,5,28209478,-15.5%,https://www.youtube.com/watch?v=FLGCGc7sAUw
17,16,EL MAKINON,KAROL G & Mariah Angeliq ,12,27862316,-1.5%,https://www.youtube.com/watch?v=2jYEz66J_J4
18,11,Chatak Matak,Renuka Panwar,25,27821825,-8.1%,https://www.youtube.com/watch?v=s9AICwTKgOg
19,14,Botella Tras Botella,Gera Mx & Christian Nodal,8,26857035,-8.2%,https://www.youtube.com/watch?v=XegHMc35Bo8
20,13,Dynamite,BTS,43,26621414,-9.3%,https://www.youtube.com/watch?v=gdZLi9oWNZg
21,30,Fiel,"Los Legendarios, Wisin & Jhay Cortez",13,26591975,16%,https://www.youtube.com/watch?v=o1lKMrLat_I
22,12,Levitating (feat. DaBaby),Dua Lipa,27,26309179,-11%,https://www.youtube.com/watch?v=TUVcZfQe-Kw
23,15,Pareja Del Año,Sebastián Yatra & Myke Towers,9,26137674,-10.7%,https://www.youtube.com/watch?v=SRm2Ch4oFWs
24,23,2/Catorce,Rauw Alejandro & Mr. NaisGai,6,25188910,3.8%,https://www.youtube.com/watch?v=3mPXwuPc650
25,26,Kiss Me More (feat. SZA),Doja Cat,10,24517954,3.7%,https://www.youtube.com/watch?v=0EVVKs6DQLo
26,19,Baarish Ki Jaaye (feat. Nawazuddin Siddiqui & Sunanda Sharma),B Praak,12,24271701,-9.7%,https://www.youtube.com/watch?v=TYaNfLLOLNY
27,25,How You Like That,BLACKPINK,51,23319067,-2%,https://www.youtube.com/watch?v=ioNng23DkIM
28,20,Bipolar,"MC Don Juan, Mc Davi & Mc Pedrinho",7,23121854,-12.8%,https://www.youtube.com/watch?v=12-3ZAsO_xA
29,21,"Volta Bebê, Volta Neném",Dj Guuga & DJ Ivis,10,22538435,-11.7%,https://www.youtube.com/watch?v=x0EPgyNd9o0
30,22,Leave The Door Open,"Silk Sonic, Bruno Mars & Anderson .Paak",15,22344038,-12.2%,https://www.youtube.com/watch?v=adLGHcj_fmA
31,27,Astronaut In The Ocean,Masked Wolf,20,21964888,-4.7%,https://www.youtube.com/watch?v=MEg-oqI9qmw
32,,Need To Know,Doja Cat,1,21253081,,https://www.youtube.com/watch?v=dI3xkL7qUAc
33,50,Pudina Ae Haseena,Pawan Singh & Anupama Yadav,2,21188628,47.5%,https://www.youtube.com/watch?v=iY3vrGP6XIE
34,31,Wafa Na Raas Aayee,Jubin Nautiyal,8,20082345,-8.1%,https://www.youtube.com/watch?v=Z7XiKx_rj2I
35,32,ทน,Sprite & GUYGEEGEE,7,19171109,-9.9%,https://www.youtube.com/watch?v=wNO6kMJB63I
36,63,Qué Más Pues?,J Balvin & Maria Becerra,3,18636949,55.6%,https://www.youtube.com/watch?v=zisuhZqTeH4
37,42,Next Level,aespa,5,18630404,7.4%,https://www.youtube.com/watch?v=4TWR90KJl84
38,34,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,13,18208015,-9.4%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
39,36,Thoda Thoda Pyaar,Stebin Ben,11,17625998,-9.9%,https://www.youtube.com/watch?v=USccSZnS8MQ
40,38,Coco Cola,Ruchika Jangid,29,17308009,-10.5%,https://www.youtube.com/watch?v=9UaG7UL5yS4
41,40,कुँवारे में गंगा नहईले बानी,Ankush Raja & Shilpi Raj,20,17058774,-9.1%,https://www.youtube.com/watch?v=YyVI46K8q9E
42,33,Lavandiya London Se Layenge,Ritesh Pandey,12,17040706,-19.9%,https://www.youtube.com/watch?v=GiVxUKbIy0w
43,56,Is Qadar, Tulsi Kumar & Darshan Raval,9,16911053,28.3%,https://www.youtube.com/watch?v=TBlixHMv_GQ
44,88,Sal y Perrea,Sech,5,16494701,72.6%,https://www.youtube.com/watch?v=24LLB5T7qqk
45,35,AM,Nio Garcia,10,16123269,-18.9%,https://www.youtube.com/watch?v=N06bpHYU1ow
46,44,deja vu,Olivia Rodrigo,11,16093127,-3.7%,https://www.youtube.com/watch?v=cii6ruuycQA
47,48,Sevmedim Deme,Kurtuluş Kuş & --,2,15818671,6.7%,https://www.youtube.com/watch?v=rbjAilk31Sg
48,43,Miénteme,TINI & Maria Becerra,7,15697290,-9.3%,https://www.youtube.com/watch?v=mmRBXjVENDQ
49,41,Don't fight the feeling,EXO,2,15625376,-11%,https://www.youtube.com/watch?v=2IkoKhr6Tss
50,47,Arcade (feat. FLETCHER),Duncan Laurence,19,14806326,-7.5%,https://www.youtube.com/watch?v=51u5fnyrGj4
51,46,In the morning,ITZY,7,14525984,-9.9%,https://www.youtube.com/watch?v=_ysomCGaZLw
52,49,Nadiyon Paar (Let the Music Play Again),"Sachin–Jigar, Rashmeet Kaur, Shamur & IP Singh",16,14209576,-4.1%,https://www.youtube.com/watch?v=bi5PhlIQpwU
53,66,Baby Me Atende,Matheus Fernandes & Dilsinho,4,14207619,21.4%,https://www.youtube.com/watch?v=qMEsx__88Gk
54,,"Eladio Carrion: Bzrp Music Sessions, Vol. 40",Bizarrap & Eladio Carrion,1,14192438,,https://www.youtube.com/watch?v=s5cYXknsDbY
55,,Beggin',Måneskin,1,14006373,,https://www.youtube.com/watch?v=ZWKpPDI1M-o
56,61,Poblado (Remix),"Crissin, -- & Natan & Shander",6,13487161,7%,https://www.youtube.com/watch?v=s8hA0QRIwfo
57,65,A Cara do Crime (Nós Incomoda),"Mc Poze do Rodo, Bielzin, Mainstreet, MC Cabelinho, PL Quest & Neo Beats",3,13313120,12.6%,https://www.youtube.com/watch?v=2PRAiVs3MVc
58,52,Heartbreak Anniversary,Giveon,18,13075538,-6%,https://www.youtube.com/watch?v=uWRlisQu4fo
59,,Thot Shit,Megan Thee Stallion,1,12820971,,https://www.youtube.com/watch?v=KynkMn5Hv3Q
60,74,happier,Olivia Rodrigo,2,12294374,12.2%,https://www.youtube.com/watch?v=ZQFmRXgeR-s
