Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,GOOBA,6ix9ine,1,141683227,,https://www.youtube.com/watch?v=pPw_izFr5PA
2,1,DANCE MONKEY,Tones and I,35,48782438,-7.4%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
3,,Stuck with U,Justin Bieber & Ariana Grande,1,45148525,,https://www.youtube.com/watch?v=pE49WK-oNjU
4,4,Life Is Good (feat. Drake),FUTURE,17,31920410,3%,https://www.youtube.com/watch?v=l0U7SxXHkPY
5,2,Yo Perreo Sola,Bad Bunny,11,30996897,-5%,https://www.youtube.com/watch?v=GtSRKwDCaZM
6,3,Say So,Doja Cat,15,28043956,-10.7%,https://www.youtube.com/watch?v=pok8H_KF1FA
7,6,Blinding Lights,The Weeknd,21,27921153,-5.3%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
8,5,Favorito,Camilo,7,26796897,-12%,https://www.youtube.com/watch?v=2mY7AFTtYwQ
9,10,9XM House Of Dance,--,7,26346026,-1.6%,https://www.youtube.com/watch?v=SD4Z8dlZPd8
10,,Hypnodancer,Little Big,1,26165446,,https://www.youtube.com/watch?v=RhMYBfF7-hE
11,9,Savage,Megan Thee Stallion,7,25031523,-9.5%,https://www.youtube.com/watch?v=EOxj2ROIxok
12,12,Sigues Con Él,Arcangel & Sech,22,23203020,-7.8%,https://www.youtube.com/watch?v=VRUjdlCynU0
13,13,The Box,Roddy Ricch,20,23028852,-8.1%,https://www.youtube.com/watch?v=UNZqm3dxd2w
14,17,Shaitan Ka Saala (feat. Vishal Dadlani),Sohail Sen,32,22904703,-1%,https://www.youtube.com/watch?v=HDhDY-ympFk
15,15,death bed (coffee for your head) (feat. Beabadoobee),Powfu,10,22687039,-4.4%,https://www.youtube.com/watch?v=WB4Nmh76fAc
16,7,SICKO MODE (feat. Drake),Travis Scott,30,22438358,-22.6%,https://www.youtube.com/watch?v=6ONRf7h3Mdk
17,19,Roses (Imanbek Remix),SAINt JHN,12,22294185,5.9%,https://www.youtube.com/watch?v=2zToEPpFEN8
18,16,Tusa,KAROL G & Nicki Minaj,27,21885667,-6.1%,https://www.youtube.com/watch?v=tbneQDc2H3I
19,18,Toosie Slide,Drake,6,20595012,-9.9%,https://www.youtube.com/watch?v=xWggTb45brM
20,20,Señorita,Shawn Mendes & Camila Cabello,47,20170543,-2.6%,https://www.youtube.com/watch?v=Pkh8UtuejGw
21,26,Play Date,Melanie Martinez,3,20067716,20.2%,https://www.youtube.com/watch?v=kknKs7cAcO8
22,,EM KHÔNG SAI CHÚNG TA SAI,ERIK,1,18216307,,https://www.youtube.com/watch?v=iwGuiSnr2Qc
23,14,Don't Start Now,Dua Lipa,28,17949498,-24.4%,https://www.youtube.com/watch?v=oygrmJFKYZY
