Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,52 Gajh Ka Daman,Renuka Panwar,7,89533708,-3%,https://www.youtube.com/watch?v=CZt-rVn2BJs
2,2,BICHOTA,KAROL G,10,69887265,-5.8%,https://www.youtube.com/watch?v=QaXhVryxVBk
3,5,DÁKITI,Bad Bunny & Jhay Cortez,9,47698916,-11%,https://www.youtube.com/watch?v=TmKh7lAwnBI
4,3,Titliaan,Afsana Khan,7,47676166,-15.6%,https://www.youtube.com/watch?v=YPohR_9v6HA
5,4,Dynamite,BTS,19,44793877,-17%,https://www.youtube.com/watch?v=gdZLi9oWNZg
6,7,Amor ou Litrão,Petter Ferraz & Dj Koringa MPC & Menor Nico,6,43467594,-5.1%,https://www.youtube.com/watch?v=fdhzJPLkybM
7,8,Hawái,Maluma,22,31970976,-5.9%,https://www.youtube.com/watch?v=pK060iUFWXg
8,11,Life Is Good (feat. Drake),FUTURE,50,30231988,0.9%,https://www.youtube.com/watch?v=l0U7SxXHkPY
9,25,Naach Meri Rani,Guru Randhawa & Nikhita Gandhi,11,29850517,34.7%,https://www.youtube.com/watch?v=TCx1yMegJ4A
10,9,How You Like That,BLACKPINK,27,29671981,-7.4%,https://www.youtube.com/watch?v=ioNng23DkIM
11,43,Libaas,Kaka,2,29362306,69.6%,https://www.youtube.com/watch?v=V5En3Ks3OjE
12,22,Raja Tani Jai Na Bahariya,Rakesh Mishra,7,28350074,21.7%,https://www.youtube.com/watch?v=1R8PvN-Uw90
13,12,BEBÉ,Camilo & El Alfa,5,26637807,-7.5%,https://www.youtube.com/watch?v=WwvTquVQKfA
14,6,All I Want For Christmas Is You,Mariah Carey,32,26345223,-47.9%,https://www.youtube.com/watch?v=aAkMkVFwAoo
15,15,34+35,Ariana Grande,8,25765775,-5.6%,https://www.youtube.com/watch?v=B6_iQvaIjXw
16,17,Vida de Rico,Camilo,15,25722386,-2.2%,https://www.youtube.com/watch?v=qKp1f7Vn9dM
17,18,Reloj,Rauw Alejandro & Anuel AA,10,25313122,-3.2%,https://www.youtube.com/watch?v=-3HjrdC0dAk
18,13,GIRL LIKE ME,Black Eyed Peas & Shakira,4,24734236,-12.5%,https://www.youtube.com/watch?v=vMLk_T0PPbk
19,19,Snowman,Sia,3,24016245,-6.3%,https://www.youtube.com/watch?v=gset79KMmt0
20,56,Wish,Diler Kharkiya,3,22178507,50.3%,https://www.youtube.com/watch?v=0JJIl44hBBQ
21,20,Bewafa Tera Masoom Chehra (feat. Jubin Nautiyal),Rochak Kohli,7,21914778,-12.8%,https://www.youtube.com/watch?v=sMoM0fYO-Qg
22,30,Kamar Teri Left Right Hale,Sandeep Surila,5,21629024,3.6%,https://www.youtube.com/watch?v=5JoJ12LQABA
23,26,Coco Cola,Ruchika Jangid,6,21573612,-2.6%,https://www.youtube.com/watch?v=9UaG7UL5yS4
24,23,positions,Ariana Grande,10,21394078,-6.2%,https://www.youtube.com/watch?v=tcYodQoapMg
25,10,La Curiosidad,"Jay Wheeler, DJ Nelson & Myke Towers",27,21072710,-30.1%,https://www.youtube.com/watch?v=Q_gIYp078so
26,37,Savage Love (Laxed – Siren Beat)),"BTS, Jason Derulo & Jawsh 685",29,20374640,4.2%,https://www.youtube.com/watch?v=qvu4nPMyl3U
27,35,Jerusalema (feat. Nomcebo Zikode),Master KG,24,19727237,0.2%,https://www.youtube.com/watch?v=fCZVL_8D048
28,28,La Tóxica (Remix) (feat. Jay Wheeler & Tempo),"Farruko, Sech & Myke Towers",18,19614395,-8.8%,https://www.youtube.com/watch?v=f3DSeEEz5ko
29,81,Bandido,Myke Towers,2,19365015,61.3%,https://www.youtube.com/watch?v=W6fme7tcweQ
30,36,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap & Nathy Peluso,5,19335055,-1.6%,https://www.youtube.com/watch?v=0OkiUUU3Odw
31,31,Caramelo (Remix),"KAROL G, Myke Towers & Ozuna",29,18996181,-8.6%,https://www.youtube.com/watch?v=KilybZma5vY
32,33,Dime Cómo Quieres,Christian Nodal & Ángela Aguilar,7,18902835,-7.7%,https://www.youtube.com/watch?v=Ge4AKbnr6ME
33,57,เก็บทรงไม่อยู่ (feat. DIAMOND MQT),VANGOE,5,18589234,26.4%,https://www.youtube.com/watch?v=-JSINVNlyZE
34,39,Si me tomo una cerveza (REMIX),"Migrantes, Oscu, Rombai, Agapornis & ALICO",6,18481756,-3%,https://www.youtube.com/watch?v=xZyNJvq7Qg4
35,27,MODO TURBO (feat. Anitta),"Luísa Sonza, Pabllo Vittar & Anitta",2,18351557,-16%,https://www.youtube.com/watch?v=QcS9ZndErHc
36,21,Khyaal Rakhya Kar (feat. Rohanpreet Singh),Neha Kakkar,2,17671515,-27.7%,https://www.youtube.com/watch?v=pEO2a7QzXqQ
37,46,ใครเขิน.. ไม่มี้.. #fcนุ๊กปาย #นุ๊กแฟนปาย #ธนดลศิริแวว,ROSÉ,8,17592229,5.8%,https://www.youtube.com/watch?v=ylQHFqFdBqc
38,47,Letícia,Zé Vaqueiro,8,17573122,7.6%,https://www.youtube.com/watch?v=mNWt8j9e-Zs
39,44,Mood (Live),24kGoldn & Iann Dior,18,17547184,2.5%,https://www.youtube.com/watch?v=juE5VES9af0
40,29,WAP (feat. Megan Thee Stallion),Cardi B,21,17539470,-16%,https://www.youtube.com/watch?v=hsm4poTWjMs
41,41,Life Goes On,BTS,6,17439910,-0.4%,https://www.youtube.com/watch?v=-5q5mZbe3V8
42,45,Whoopty,CJ,6,17225162,0.6%,https://www.youtube.com/watch?v=2xWkATdMQms
43,38,लईका तोहरे के पापा कहता,Neelkamal Singh,5,16974848,-12.9%,https://www.youtube.com/watch?v=nzw4gjJSezU
44,40,Lovesick Girls,BLACKPINK,13,16697519,-6.7%,https://www.youtube.com/watch?v=dyRsYk0LyA8
45,60,Tá Rocheda (Ao Vivo),Os Barões Da Pisadinha,12,16488866,14%,https://www.youtube.com/watch?v=kNdIA-L8E3c
46,49,LA NOCHE DE ANOCHE,Bad Bunny & Rosalía,5,15702419,-2%,https://www.youtube.com/watch?v=f5omY8jVrSM
47,63,Rita,Tierry,11,15526169,14%,https://www.youtube.com/watch?v=hAWym7xiw0k
48,62,Elas Gostam de Gasolina (Ao Vivo),Anderson & Vei da Pisadinha,2,15399793,10.7%,https://www.youtube.com/watch?v=q7YSfrQOgK8
49,,Amén,"Ricardo Montaner, Mau y Ricky, Camilo & Evaluna Montaner",1,15053479,,https://www.youtube.com/watch?v=q01z2vrQTrE
50,14,CHÚNG TA CỦA HIỆN TẠI,Sơn Tùng M-TP,2,15007662,-45.9%,https://www.youtube.com/watch?v=psZ1g9fMfeo
51,59,ดึงดัน,COCKTAIL & ตั๊ก ศิริพร,7,14882441,2.6%,https://www.youtube.com/watch?v=AZ_t9iAJRDw
52,54,Husnn Hai Suhaana New,Chandana Dixit & Abhijeet,3,14617597,-3.6%,https://www.youtube.com/watch?v=EsXG4YET4zs
53,42,Parce (feat. Lenny Tavárez & Justin Quiles),Maluma,19,14596797,-15.8%,https://www.youtube.com/watch?v=k_WvAH3AE1w
54,65,Cabrón y Vago,El Fantasma & Los Dos Carnales,13,14369192,7.8%,https://www.youtube.com/watch?v=TsGuAJc9z38
55,51,Despeinada,Ozuna & Camilo,16,14126538,-9.3%,https://www.youtube.com/watch?v=mLugzKRTf-0
56,50,I CAN'T STOP ME,TWICE,10,14090196,-9.6%,https://www.youtube.com/watch?v=CM4CkVFmTds
57,,Afterglow,Ed Sheeran,1,13700466,,https://www.youtube.com/watch?v=_NGQfFCFUn4
58,55,Taaron Ke Shehar,Neha Kakkar & Jubin Nautiyal,15,13533649,-8.9%,https://www.youtube.com/watch?v=VAZxSoKb65o
59,64,Hecha Pa' Mi,Boza,4,13434696,0.4%,https://www.youtube.com/watch?v=IOHh7vkX5O0
60,52,Keh Len De (feat. Inder Chahal & Himanshi Khurana),Kaka,6,13168084,-14.7%,https://www.youtube.com/watch?v=J1aFF2JBUec
61,80,Basta Você Me Ligar (Ao Vivo),Os Barões Da Pisadinha,16,13115253,8.6%,https://www.youtube.com/watch?v=k4xGU8xoA6w
62,82,Recairei (Ao Vivo),Os Barões Da Pisadinha,12,12825240,7.3%,https://www.youtube.com/watch?v=bKnB-0fSwDA
63,58,Ilusão (Cracolândia) (feat. Alok & Salvador da Rima),"MC Hariel, Alok, MC Ryan, Mc Davi & Salvador da Rima",7,12743319,-12.9%,https://www.youtube.com/watch?v=5LqeD-m7Iho
64,,Cristal & МОЁТ,MORGENSHTERN,1,12672181,,https://www.youtube.com/watch?v=wDsU4H2w48k
65,67,Baby Girl,"Guru Randhawa, Vee & Dhvani Bhanushali",13,12565398,-2.6%,https://www.youtube.com/watch?v=pLhNdJNwGC8
66,84,炎,LiSA,11,12479365,5.7%,https://www.youtube.com/watch?v=4DxL6IKmXx4
67,85,Care Ni Karda,-- & Honey Singh,8,12438356,5.8%,https://www.youtube.com/watch?v=WGdoaRVOm8o
68,68,Ice Cream,BLACKPINK & Selena Gomez,18,12346923,-2.3%,https://www.youtube.com/watch?v=vRXZj0DzXIA
69,76,Kaattu Payale,Dhee,8,12319149,1.1%,https://www.youtube.com/watch?v=JwvM4Fiha7E
70,34,Đi Về Nhà,Đen & JustaTee,2,12300959,-38.2%,https://www.youtube.com/watch?v=vTJdVE_gjI0
71,86,Burjkhalifa (feat. Nikhita Gandhi),Shashi Suman & DJ Khushi,11,12224457,5.5%,https://www.youtube.com/watch?v=a0TkeUhcVrM
72,75,Phulkaari (feat. Simar Kaur),Karan Randhawa,6,12223508,-1.1%,https://www.youtube.com/watch?v=gY0et3otYbc
73,61,Chica Ideal,Sebastián Yatra & Guaynaa,10,12106369,-13.9%,https://www.youtube.com/watch?v=t_Fi3J4UTlg
74,,PuttaBombe,--,32,12039828,,https://www.youtube.com/watch?v=8LZ2loz71Sw
75,79,ماشافوهاش,Mouh Milano,4,11986726,-1.5%,https://www.youtube.com/watch?v=m0_SMiOecko
76,88,Eu Tenho Medo,Zé Vaqueiro,4,11775983,3.1%,https://www.youtube.com/watch?v=dgn0egjhDJs
77,83,Só Tem Eu,Zé Felipe,11,11753381,-0.7%,https://www.youtube.com/watch?v=0mMu1D6VEAQ
78,98,भतार संगे का का कईलू,Samar Singh & Shilpi Raj,2,11688132,10.5%,https://www.youtube.com/watch?v=h93gvdsrgRw
79,69,Se Te Nota,Lele Pons & Guaynaa,14,11671410,-7.4%,https://www.youtube.com/watch?v=BHkxKmr4Ffg
80,87,Nayan,Dhvani Bhanushali & Jubin Nautiyal,4,11541576,0.6%,https://www.youtube.com/watch?v=uKHlnmepnNA
81,,छोटी तोहरा चोटी से चोट लागता (Chhoti Tohara Choti Se Chot Lagata),Pramod Premi Yadav & Shilpi Raj,2,11510051,,https://www.youtube.com/watch?v=vJLXdS2tMsU
82,94,Romance Desapegado,Conde do Forró,14,11509876,6.2%,https://www.youtube.com/watch?v=MsL7_oRXFOw
83,66,Therefore I Am,Billie Eilish,7,11400773,-13.9%,https://www.youtube.com/watch?v=RUQl6YcMalg
84,,Nega Chegando (feat. Menor Nico),O Boy da Seresta,1,11340540,,https://www.youtube.com/watch?v=i699wtklcEw
85,,Tumpa,Arob Dey Chowdhuri,4,11292527,,https://www.youtube.com/watch?v=oh-btKnbTpY
86,71,Mirrors,Justin Timberlake,8,11176024,-11%,https://www.youtube.com/watch?v=uuZE_IRwLNI
87,,Chatak Matak,Renuka Panwar,1,11060019,,https://www.youtube.com/watch?v=s9AICwTKgOg
88,97,"MIRCHI (feat. Stylo G, MC Altaf & Phenom)",Divine,9,10843125,1.9%,https://www.youtube.com/watch?v=w5Aioq5VYF0
89,,JUGNI 2.0 (feat. Mumzy Stranger),Kanika Kapoor,1,10820620,,https://www.youtube.com/watch?v=B4Dk77lF1SM
90,,Lala Lori,Fazilpuria & Afsana Khan,3,10713685,,https://www.youtube.com/watch?v=MaSstZVoBGg
91,95,Sweater Weather,The Neighbourhood,6,10698650,-1%,https://www.youtube.com/watch?v=GCdwKhTtNNw
92,89,Teri Aankhon Mein,Darshan Raval & Neha Kakkar,13,10668474,-6%,https://www.youtube.com/watch?v=mClF6mJV5xM
93,77,Ayer Me LLamó Mi Ex (feat. Lenny Santos),KHEA,14,10584832,-13.1%,https://www.youtube.com/watch?v=svSqD1ZBZiY
94,100,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,19,10377995,0.3%,https://www.youtube.com/watch?v=Q9pjm4cNsfc
95,73,Mirchi Lagi Toh,Kumar Sanu & Alka Yagnik,2,10373780,-16.7%,https://www.youtube.com/watch?v=EQlYzDdOLxI
96,,Melhor eu ir/Ligando os Fatos/Sonho de Amor/Deixa eu te querer (Ao Vivo) (feat. Di Propósito & Vou Zuar),Grupo Menos É Mais,10,10367672,,https://www.youtube.com/watch?v=zKAAFsovtM4
97,,Padhatani Nauva Mein,Pramod Premi Yadav & Shilpi Raj,4,10317789,,https://www.youtube.com/watch?v=ObZYH_aeOTc
98,70,HOLIDAY,Lil Nas X,7,10209823,-18.9%,https://www.youtube.com/watch?v=9vMLTcftlyI
99,,दिलवा ले गईल पियरकी फराक बाली,Awadhesh Premi,1,9941063,,https://www.youtube.com/watch?v=DqHRbmK0Dro
100,90,بالبنط العريض,Hussain Al Jassmi,19,9940244,-11.2%,https://www.youtube.com/watch?v=M3sxUE4eIac
