Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,8,Teri Meri Kahani,Himesh Reshammiya & Ranu Mondal,2,137944172,253.5%,https://www.youtube.com/watch?v=VCTk-IUNnpc
2,1,Señorita,Shawn Mendes & Camila Cabello,11,93714395,3.5%,https://www.youtube.com/watch?v=Pkh8UtuejGw
3,4,Pachtaoge,Arijit Singh,2,67419798,38.2%,https://www.youtube.com/watch?v=PVxc5mIHVuQ
4,2,China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",7,63314182,-4.4%,https://www.youtube.com/watch?v=0VR3dfZf9Yg
5,3,Old Town Road (feat. Billy Ray Cyrus),Lil Nas X,24,51350077,-5.1%,https://www.youtube.com/watch?v=r7qovpFAGrQ
6,9,O Saki Saki,"Neha Kakkar,  Tulsi Kumar & B Praak",7,41569855,12.2%,https://www.youtube.com/watch?v=6wNFJIbTxNk
7,5,No Me Conoce (Remix),"Jhay cortez, J Balvin & Bad Bunny",16,39675047,-12.3%,https://www.youtube.com/watch?v=w2C6RhQBYlg
8,17,LA CANCIÓN,J Balvin & Bad Bunny,10,37813017,35.8%,https://www.youtube.com/watch?v=LxOTsiV4tkQ
9,7,Con Altura (feat. El Guincho),Rosalía & J Balvin,23,37773378,-4%,https://www.youtube.com/watch?v=p7bfOZek9t4
10,29,Adicto,"Tainy, Anuel AA & Ozuna",2,37078199,88.6%,https://www.youtube.com/watch?v=58u-zkDLNPg
11,6,Otro Trago (feat. Darell),Sech,20,37057923,-10.1%,https://www.youtube.com/watch?v=t_qn-f7XfJo
12,15,Tutu,Camilo & Pedro Capó,4,32484692,7.9%,https://www.youtube.com/watch?v=5AkDqm-cEgg
13,12,Con Calma (Remix) (feat. Snow),Daddy Yankee & Katy Perry,32,31586688,-5.2%,https://www.youtube.com/watch?v=lmCEZhb-z-Q
14,11,bad guy,Billie Eilish,23,31473729,-5.9%,https://www.youtube.com/watch?v=DyDfgMOUjCI
15,22,Psycho Saiyaan,"Tanishk Bagchi, Dhvani Bhanushali & Sachet-Parampara",9,30881914,25.5%,https://www.youtube.com/watch?v=G81Ospnlctw
16,19,Lehanga,Jass Manak,6,28663475,3.8%,https://www.youtube.com/watch?v=RKioDWlajvo
17,14,Callaíta,Bad Bunny,14,28401832,-6.4%,https://www.youtube.com/watch?v=acEOASYioGY
18,16,Si Se Da,Myke Towers & Farruko,25,24299663,-17.8%,https://www.youtube.com/watch?v=LXjRV-oSD1U
19,20,Kill This Love,BLACKPINK,23,23660102,-9.9%,https://www.youtube.com/watch?v=2S24-y0Ij3Y
20,21,Calma (Remix),"Pedro Capó, Alan Walker & Farruko",45,21834129,-12.4%,https://www.youtube.com/watch?v=YS2RmyES-GU
21,18,"Yo x Ti, Tu x Mi",Rosalía & Ozuna,3,21340497,-23.3%,https://www.youtube.com/watch?v=2j3x0VYnehg
22,23,SOLTERA (feat. Chris Jeday & Gaby Music),Lunay,20,20754359,-12.6%,https://www.youtube.com/watch?v=YZxmoOvqWek
23,,Deva Shree Ganesha,Ajay - Atul & Ajay Gogavale,3,18604733,,https://www.youtube.com/watch?v=KzDzZs4sWkc
24,76,Ocean,KAROL G,18,18365372,69.8%,https://www.youtube.com/watch?v=gyY5Z0TUWRY
25,,all the good girls go to hell,Billie Eilish,1,18129688,,https://www.youtube.com/watch?v=-PZsSWwc9xA
26,68,Beautiful People (feat. Khalid),Ed Sheeran,10,18121688,55.7%,https://www.youtube.com/watch?v=mj0XInqZMHY
27,44,Enni Soni,Guru Randhawa &  Tulsi Kumar,5,17917968,24.6%,https://www.youtube.com/watch?v=vpzitzyMRwc
28,,Circles,Post Malone,1,17902734,,https://www.youtube.com/watch?v=wXhTHyIgQ_U
29,33,Ransom,Lil Tecca,7,17859324,1.4%,https://www.youtube.com/watch?v=1XzY2ij_vL4
30,34,Without Me,Halsey,44,17778792,2.4%,https://www.youtube.com/watch?v=ZAfAud_M_mg
31,10,Lover,Taylor Swift,2,17257612,-49.8%,https://www.youtube.com/watch?v=-BjZmE2gtdo
32,32,Sunflower,Post Malone & Swae Lee,46,17041462,-4.4%,https://www.youtube.com/watch?v=ApXoWvfEYVU
33,35,SHALLOW,Dawid Kwiatkowski & Maryla Rodowicz,49,16982948,-1.9%,https://www.youtube.com/watch?v=aZsYZpVCNjg
34,28,11 PM,Maluma,16,16941682,-15.4%,https://www.youtube.com/watch?v=IBaSizQyC5g
35,,รักติดไซเรน (My Ambulance),ไอซ์ พาริส & Nichaphat Chatchaipholrat,1,16652021,,https://www.youtube.com/watch?v=ILU9NbWn4t0
36,24,Dheeme Dheeme (feat. Neha Sharma),Tony Kakkar,16,16437535,-29.5%,https://www.youtube.com/watch?v=9mWdw-09dso
37,27,Queen of Mean,Sarah Jeffery,5,16075018,-20.7%,https://www.youtube.com/watch?v=r9o1QS-itsU
38,30,7 rings,Ariana Grande,33,16054285,-13.7%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
39,40,No Guidance (feat. Drake),Chris Brown,13,15751723,-2.3%,https://www.youtube.com/watch?v=1yMmYTcMbjI
40,37,I Don't Care,Ed Sheeran & Justin Bieber,17,15476456,-8.2%,https://www.youtube.com/watch?v=y83x7MgzWOA
41,54,Night Falls,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",5,15186514,13%,https://www.youtube.com/watch?v=i8pK6qmtllU
42,26,CUIDAO POR AHÍ,J Balvin & Bad Bunny,2,15041707,-31%,https://www.youtube.com/watch?v=zvAUZQxb0ME
43,47,Lalala,Y2K & bbno$,2,15009401,4.9%,https://www.youtube.com/watch?v=N2Y2vQ-1m7M
44,69,Someone You Loved,Lewis Capaldi,15,14616463,27.3%,https://www.youtube.com/watch?v=zABLecsR5UE
45,,Taki Taki,DJ Snake,48,14597702,,https://www.youtube.com/watch?v=ixkoVwKQaJg
46,,Çok Sevdim Yalan Oldu,Fatih Bulut,1,14549224,,https://www.youtube.com/watch?v=UEbSQiYFRBM
47,41,Tera Ban Jaunga,Akhil Sachdeva &  Tulsi Kumar,12,14487329,-9.3%,https://www.youtube.com/watch?v=avVg3pLj_Po
48,48,Aankh Marey,"Neha Kakkar, Mika Singh & Kumar Sanu",39,14321461,0.3%,https://www.youtube.com/watch?v=_KhQT-LGb-4
49,51,ONA BY TAK CHCIAŁA,Ronnie Ferrari,3,13904431,-1.4%,https://www.youtube.com/watch?v=LCcIx6bCcr8
50,45,Zemër (feat. Soolking),Dhurata Dora,20,13870038,-3.3%,https://www.youtube.com/watch?v=GCpvmHi1gxU
51,,Ishq Tera,Guru Randhawa,1,13409751,,https://www.youtube.com/watch?v=3KXZduvOfDo
52,,Aleluya,Reik & Manuel Turizo,6,13151825,,https://www.youtube.com/watch?v=tE7tHx1lokY
53,,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,3,13135876,,https://www.youtube.com/watch?v=FbcLcSY2au4
54,56,Loco Contigo,"DJ Snake, J Balvin & Tyga",12,12839476,-1.6%,https://www.youtube.com/watch?v=zNl00mOSnJI
