Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Butter,BTS,3,107515258,-38.3%,https://www.youtube.com/watch?v=WMweEpGlu_U
2,2,Todo de Ti,Rauw Alejandro,3,74342403,-4.9%,https://www.youtube.com/watch?v=CFPLIaMpGrY
3,,Yonaguni,Bad Bunny,1,60365974,,https://www.youtube.com/watch?v=doLMt10ytHY
4,3,नदी बिचे नईया डोले,Shilpi Raj,5,57934134,3.8%,https://www.youtube.com/watch?v=BRQ-n5OYUuM
5,4,Ram Pam Pam,Natti Natasha & Becky G,7,49304280,-6.6%,https://www.youtube.com/watch?v=_wE3hDN06Qg
6,5,Lut Gaye (feat. Emraan Hashmi),Jubin Nautiyal,16,45076464,-13.2%,https://www.youtube.com/watch?v=sCbbMZ-q4-I
7,6,Save Your Tears,The Weeknd,23,40973497,-5.1%,https://www.youtube.com/watch?v=XXYlFuWEuKI
8,9,MONTERO (Call Me By Your Name),Lil Nas X,11,34805636,-5.4%,https://www.youtube.com/watch?v=6swmTBVI83k
9,7,Build a Bitch,Bella Poarch,4,33401866,-18%,https://www.youtube.com/watch?v=FLGCGc7sAUw
10,10,good 4 u,Olivia Rodrigo,4,33278366,-7.7%,https://www.youtube.com/watch?v=gNi_6U5Pm_o
11,17,Chatak Matak,Renuka Panwar,24,30261530,0.9%,https://www.youtube.com/watch?v=s9AICwTKgOg
12,14,Levitating (feat. DaBaby),Dua Lipa,26,29556121,-5%,https://www.youtube.com/watch?v=TUVcZfQe-Kw
13,19,Dynamite,BTS,42,29338607,0.4%,https://www.youtube.com/watch?v=gdZLi9oWNZg
14,12,Botella Tras Botella,Gera Mx & Christian Nodal,7,29261188,-9.1%,https://www.youtube.com/watch?v=XegHMc35Bo8
15,11,Pareja Del Año,Sebastián Yatra & Myke Towers,8,29253635,-15.4%,https://www.youtube.com/watch?v=SRm2Ch4oFWs
16,15,EL MAKINON,KAROL G & Mariah Angeliq ,11,28290198,-6.8%,https://www.youtube.com/watch?v=2jYEz66J_J4
17,29,Razzi Bolja,Harjeet Deewana,3,27968904,18.1%,https://www.youtube.com/watch?v=VT87DFblAxY
18,16,52 Gajh Ka Daman,Renuka Panwar,30,26940844,-11.1%,https://www.youtube.com/watch?v=CZt-rVn2BJs
19,23,Baarish Ki Jaaye (feat. Nawazuddin Siddiqui & Sunanda Sharma),B Praak,11,26880531,2.3%,https://www.youtube.com/watch?v=TYaNfLLOLNY
20,18,Bipolar,"MC Don Juan, Mc Davi & Mc Pedrinho",6,26501977,-9.7%,https://www.youtube.com/watch?v=12-3ZAsO_xA
21,20,"Volta Bebê, Volta Neném",Dj Guuga & DJ Ivis,9,25523600,-12.6%,https://www.youtube.com/watch?v=x0EPgyNd9o0
22,13,Leave The Door Open,"Silk Sonic, Bruno Mars & Anderson .Paak",14,25456417,-19.8%,https://www.youtube.com/watch?v=adLGHcj_fmA
