Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,3,Kill This Love,BLACKPINK,6,69106964,-6.8%,https://www.youtube.com/watch?v=2S24-y0Ij3Y
2,4,Old Town Road (feat. Billy Ray Cyrus),Lil Nas X,7,66344926,6.4%,https://www.youtube.com/watch?v=r7qovpFAGrQ
3,2,Con Calma (Remix) (feat. Snow),Daddy Yankee & Katy Perry,15,59387374,-20.7%,https://www.youtube.com/watch?v=lmCEZhb-z-Q
4,5,Calma (Remix),"Pedro Capó, Alan Walker & Farruko",28,55022547,-9.1%,https://www.youtube.com/watch?v=YS2RmyES-GU
5,,If I Can't Have You,Shawn Mendes,1,49554611,,https://www.youtube.com/watch?v=oTJ-oqwxdZY
6,7,Vaaste,Dhvani Bhanushali & Nikhil D'Souza,5,44816153,-2.8%,https://www.youtube.com/watch?v=BBAyRBTfsOU
7,9,bad guy,Billie Eilish,6,39100874,7.6%,https://www.youtube.com/watch?v=DyDfgMOUjCI
8,10,7 rings,Ariana Grande,16,36690174,17.1%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
9,6,Boy With Luv (feat. Halsey),BTS,4,35326047,-39.9%,https://www.youtube.com/watch?v=XsX3ATc3FbA
10,36,Otro Trago (feat. Darell),Sech,3,32745633,59.5%,https://www.youtube.com/watch?v=t_qn-f7XfJo
11,13,Con Altura (feat. El Guincho),Rosalía & J Balvin,6,31925587,10.3%,https://www.youtube.com/watch?v=p7bfOZek9t4
12,14,"Qué Más Pues (Remix) (feat. Maluma, Nicky Jam, Farruko, Justin Quiles, Dalex & Lenny Tavarez)",Sech,5,31863140,10.3%,https://www.youtube.com/watch?v=teT8-O9K2yM
13,1,ME! (feat. Brendon Urie),Taylor Swift,2,31211766,-75.9%,https://www.youtube.com/watch?v=FuXNumBwDOM
14,15,Lily (Rock Version),"Alan Walker, Emelie Hollow & K-391",9,29666123,3.1%,https://www.youtube.com/watch?v=kTJbE3sfvlI
15,8,Earth,Lil Dicky,3,28706921,-33.8%,https://www.youtube.com/watch?v=pvuN_WvF1to
16,12,Aankh Marey,"Neha Kakkar, Mika Singh & Kumar Sanu",22,27924518,-5.7%,https://www.youtube.com/watch?v=_KhQT-LGb-4
17,28,Contra La Pared,J Balvin & Sean Paul,3,27859402,14.2%,https://www.youtube.com/watch?v=-gCe4WrmOIk
18,18,Tal Vez,Paulo Londra,5,27789305,2.6%,https://www.youtube.com/watch?v=NPpELzyP4rw
19,22,Without Me,Halsey,28,26884417,3.2%,https://www.youtube.com/watch?v=ZAfAud_M_mg
20,16,Girls Like You (feat. Cardi B),Maroon 5,49,26299407,-6.3%,https://www.youtube.com/watch?v=aJOTlE1K90k
21,24,Shallow,Lady Gaga & Bradley Cooper,32,24908407,-2.7%,https://www.youtube.com/watch?v=bo_efYhYU2A
22,19,On My Way,"Alan Walker, Sabrina Carpenter & Farruko",7,24600721,-8.5%,https://www.youtube.com/watch?v=dhYOPzcsbGM
23,23,HP,Maluma,10,24598270,-5.2%,https://www.youtube.com/watch?v=iMEhjsiHbwM
24,,Ocean,KAROL G,1,24371915,,https://www.youtube.com/watch?v=gyY5Z0TUWRY
25,25,"Pa Mi (Remix) (feat. Sech, Rafa Pabön, Cazzu, Feid, Khea & Lenny Tavarez)",Dalex,11,24031600,-6.1%,https://www.youtube.com/watch?v=rm8krFiAJBw
26,29,Sunflower,Post Malone & Swae Lee,29,24031213,-1.3%,https://www.youtube.com/watch?v=ApXoWvfEYVU
27,27,Secreto,Anuel AA & Karol G,17,22980220,-7%,https://www.youtube.com/watch?v=gFZfwWZV074
28,32,Sweet but Psycho,Ava Max,23,21222725,-4%,https://www.youtube.com/watch?v=WXBHCQYxwr0
29,26,Taki Taki,DJ Snake,32,21063579,-16%,https://www.youtube.com/watch?v=ixkoVwKQaJg
30,,Hook Up Song,Neha Kakkar & Shekhar Ravjiani,1,20792273,,https://www.youtube.com/watch?v=zuaLWHiRXkg
31,,Nasılsın Aşkta,Aleyna Tilki,1,20188089,,https://www.youtube.com/watch?v=llnICQ-iOxs
32,34,Verte Ir,"DJ Luian, Mambo Kingz, Anuel AA, Darell, Nicky Jam & Brytiago",6,20017395,-6.5%,https://www.youtube.com/watch?v=gN9e40PE8VI
33,41,Summer Luv,Mickey Singh & Manpreet Toor,7,19631931,2.9%,https://www.youtube.com/watch?v=j6muwUGdvXw
34,33,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,41,19368612,-10.6%,https://www.youtube.com/watch?v=IHNzOHi8sJs
35,38,Happier (feat. Bastille),Marshmello,34,19334956,-0.3%,https://www.youtube.com/watch?v=m7Bc3pLyij0
36,37,ปี้(จน)ป่น (feat. Bua Kamonthip),Mahahing,6,18770529,-4.1%,https://www.youtube.com/watch?v=wdmqvdXuGEI
37,46,Rebota (Remix) (feat. Becky G & Sech),"Guaynaa, Nicky Jam & Farruko",8,18572264,3.5%,https://www.youtube.com/watch?v=slaS1z9eHT4
38,48,Aullando,Wisin & Yandel & Romeo Santos,11,18482352,4.4%,https://www.youtube.com/watch?v=-n9krkSb-ug
39,,Homicide (feat. Eminem),Logic,1,17452089,,https://www.youtube.com/watch?v=mfqsEpjEtrw
40,31,FANCY,TWICE,2,17392726,-24.1%,https://www.youtube.com/watch?v=kOHB85vDuow
41,45,Rowdy Baby,Dhanush & Dhee,16,17346684,-3.5%,https://www.youtube.com/watch?v=x6Q7c9RyMzk
42,43,Desconocidos,"Mau y Ricky, Manuel Turizo & Camilo",20,17302210,-7.8%,https://www.youtube.com/watch?v=8avC3hHNeSE
43,20,Zemër (feat. Soolking),Dhurata Dora,3,16830131,-36.3%,https://www.youtube.com/watch?v=GCpvmHi1gxU
44,,Dices Que Te Vas,Karol G & Anuel AA,1,16782419,,https://www.youtube.com/watch?v=L9C62sh07KY
45,63,Carry on,Kygo & Rita Ora,2,16473422,25.5%,https://www.youtube.com/watch?v=BxaR42Vy2LI
46,53,Ramayama,Don Omar & Farruko,3,16471476,0.8%,https://www.youtube.com/watch?v=nLFie51ZNgU
47,,Fakira,Neeti Mohan & Sanam Puri,1,16463612,,https://www.youtube.com/watch?v=QMj-yiMHAy0
48,,Started,Iggy Azalea,1,16293562,,https://www.youtube.com/watch?v=flPCk8Z5XS0
