Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Lovesick Girls,BLACKPINK,2,97107001,-35.5%,https://www.youtube.com/watch?v=dyRsYk0LyA8
2,2,Dynamite,BTS,8,60036544,-26.9%,https://www.youtube.com/watch?v=gdZLi9oWNZg
3,4,Hawái,Maluma,11,58374377,-7.3%,https://www.youtube.com/watch?v=pK060iUFWXg
4,3,Savage Love (Laxed – Siren Beat)),"BTS, Jason Derulo & Jawsh 685",18,49915066,-21.9%,https://www.youtube.com/watch?v=qvu4nPMyl3U
5,5,How You Like That,BLACKPINK,16,44670899,-15.7%,https://www.youtube.com/watch?v=ioNng23DkIM
6,7,Vida de Rico,Camilo,4,44622418,-1.3%,https://www.youtube.com/watch?v=qKp1f7Vn9dM
7,6,WAP (feat. Megan Thee Stallion),Cardi B,10,42432476,-7.9%,https://www.youtube.com/watch?v=hsm4poTWjMs
8,9,Relación (Remix),"Sech, Daddy Yankee, J Balvin, Rosalía & Farruko",22,40998115,-1.6%,https://www.youtube.com/watch?v=XseIJg8Vyj0
9,10,Caramelo (Remix),"KAROL G, Myke Towers & Ozuna",18,38098239,-6.4%,https://www.youtube.com/watch?v=KilybZma5vY
10,11,Pretty Savage,BLACKPINK,2,37170715,8.8%,https://www.youtube.com/watch?v=F8c8f2nK82w
11,8,Ice Cream,BLACKPINK & Selena Gomez,7,34484202,-22.7%,https://www.youtube.com/watch?v=vRXZj0DzXIA
12,12,Life Is Good (feat. Drake),FUTURE,39,30704064,-1.6%,https://www.youtube.com/watch?v=l0U7SxXHkPY
13,13,Feelings,Sumit Goswami,13,29129010,-5.9%,https://www.youtube.com/watch?v=AZmAgoir1Tc
14,19,Taaron Ke Shehar,Neha Kakkar & Jubin Nautiyal,4,26787938,21.1%,https://www.youtube.com/watch?v=VAZxSoKb65o
15,16,Mi Regalo Mas Bonito,La Ross Maria,3,23949881,-2.9%,https://www.youtube.com/watch?v=1xNstpObA7s
16,18,Despeinada,Ozuna & Camilo,5,23616238,5.4%,https://www.youtube.com/watch?v=mLugzKRTf-0
17,17,La Jeepeta (Remix),"Nio Garcia, Brray, Juanka, Anuel AA & Myke Towers",25,23558208,1.7%,https://www.youtube.com/watch?v=yErttA9tEro
18,15,"Ay, DiOs Mío!",KAROL G,14,23527461,-6.8%,https://www.youtube.com/watch?v=Ou2c2aj5Fcw
19,21,Jerusalema (feat. Nomcebo Zikode),Master KG,13,22687790,5.1%,https://www.youtube.com/watch?v=fCZVL_8D048
20,,Se Te Nota,Lele Pons & Guaynaa,3,22156122,,https://www.youtube.com/watch?v=BHkxKmr4Ffg
21,60,Teri Aankhon Mein,Darshan Raval & Neha Kakkar,2,21558736,88.9%,https://www.youtube.com/watch?v=mClF6mJV5xM
22,27,La Tóxica (Remix) (feat. Jay Wheeler & Tempo),"Farruko, Sech & Myke Towers",7,21153248,11%,https://www.youtube.com/watch?v=f3DSeEEz5ko
23,24,Agua,Tainy & J Balvin,14,20681960,-0.9%,https://www.youtube.com/watch?v=QLz9VaksClg
24,20,بالبنط العريض,Hussain Al Jassmi,8,20471845,-5.6%,https://www.youtube.com/watch?v=M3sxUE4eIac
25,22,La Curiosidad,"Jay Wheeler, DJ Nelson & Myke Towers",16,20278378,-5.6%,https://www.youtube.com/watch?v=Q_gIYp078so
26,26,Blinding Lights,The Weeknd,43,19646618,-0.8%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
27,25,Tattoo (Remix),Rauw Alejandro & Camilo,32,19556264,-2.9%,https://www.youtube.com/watch?v=wJT-YKmlWJc
28,,Make A Wish (Birthday Song),NCT U,1,19100734,,https://www.youtube.com/watch?v=tyrVtwE8Gv0
29,,Café e Amor (Ao Vivo),Gusttavo Lima,1,18703754,,https://www.youtube.com/watch?v=mFsHA1WDm0g
30,32,Khairiyat,Arijit Singh,18,18145901,8.2%,https://www.youtube.com/watch?v=hoNb6HuNmU0
31,14,Baby Girl,"Guru Randhawa, Vee & Dhvani Bhanushali",2,17985751,-35.3%,https://www.youtube.com/watch?v=pLhNdJNwGC8
32,36,Mood (Live),24kGoldn & Iann Dior,7,17035125,3.3%,https://www.youtube.com/watch?v=juE5VES9af0
33,33,Before You Go (Acoustic),Lewis Capaldi,26,17026063,1.6%,https://www.youtube.com/watch?v=Jtauh8GcxBY
34,31,Heather,Conan Gray,9,16425413,-2.6%,https://www.youtube.com/watch?v=24u3NoPvgMw
35,29,Mi Cuarto,Jerry Di,10,16136338,-5.9%,https://www.youtube.com/watch?v=KuDP3cEbcTo
36,51,Parce (feat. Lenny Tavárez & Justin Quiles),Maluma,8,15996817,27.8%,https://www.youtube.com/watch?v=k_WvAH3AE1w
37,39,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,11,15426089,-2%,https://www.youtube.com/watch?v=Q9pjm4cNsfc
38,41,Dil Tod Ke (feat. B Praak),Rochak Kohli,13,15289975,2.8%,https://www.youtube.com/watch?v=ZTBwxy4wsBQ
39,,"Baby, I'm Jealous (feat. Doja Cat)",Bebe Rexha,1,14418354,,https://www.youtube.com/watch?v=PznMpRASjAg
40,40,Bande Organisée,"SCH, Kofs, JUL, Naps, Soso Maness, Elams, Solda & Houari",8,14359596,-3.9%,https://www.youtube.com/watch?v=-CVn3-3g_BI
41,58,Nada,Cali y El Dandee & Danna Paola,3,14071083,21.6%,https://www.youtube.com/watch?v=GldH1rNEhok
42,42,ROCKSTAR (feat. Roddy Ricch),DaBaby,25,13717696,-4.7%,https://www.youtube.com/watch?v=mxFstYSbBmc
43,48,Só Gratidão,Mc Lipi ,3,13194021,3.7%,https://www.youtube.com/watch?v=pWmYwePXoUo
44,37,Oh Juliana,Niack,14,12995745,-19.3%,https://www.youtube.com/watch?v=Tun92VU2OkU
45,45,Mood Swings (feat. Lil Tjay),Pop Smoke,11,12803072,-4%,https://www.youtube.com/watch?v=mM8ostx0Ub8
46,69,Daisy,Ashnikko,3,12748814,18.1%,https://www.youtube.com/watch?v=6i01tOMgBDU
