Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,ON,BTS,1,125104097,,https://www.youtube.com/watch?v=mPVDGOVjRQ0
2,1,DANCE MONKEY,Tones and I,24,80758066,-19.2%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
3,2,Tusa,KAROL G & Nicki Minaj,16,57175069,-9.7%,https://www.youtube.com/watch?v=tbneQDc2H3I
4,5,Moto,Diler Kharkiya,6,41010752,10.7%,https://www.youtube.com/watch?v=tJGBVigwPlU
5,3,Yummy,Justin Bieber,8,39078053,-12.8%,https://www.youtube.com/watch?v=8EJ3zbKTWQ8
6,8,Life Is Good (feat. Drake),FUTURE,6,38396206,6.6%,https://www.youtube.com/watch?v=l0U7SxXHkPY
7,6,The Box,Roddy Ricch,9,34006823,-7.5%,https://www.youtube.com/watch?v=UNZqm3dxd2w
8,9,Sigues Con Él,Arcangel & Sech,11,33402369,-0.2%,https://www.youtube.com/watch?v=VRUjdlCynU0
9,7,Illegal Weapon 2.0,Jasmine Sandlas & Garry Sandhu,8,31905325,-11.6%,https://www.youtube.com/watch?v=GOkJguI8kYc
10,12,Shaitan Ka Saala (feat. Vishal Dadlani),Sohail Sen,21,27954854,-3.2%,https://www.youtube.com/watch?v=HDhDY-ympFk
11,10,Señorita,Shawn Mendes & Camila Cabello,36,27475276,-7.4%,https://www.youtube.com/watch?v=Pkh8UtuejGw
12,13,Falling,Trevor Daniel,14,24602942,-9.1%,https://www.youtube.com/watch?v=L7mfjvdnPno
13,18,Blinding Lights,The Weeknd,10,23619569,3.2%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
14,16,Old Town Road (feat. Billy Ray Cyrus),Lil Nas X,49,23353819,-5.6%,https://www.youtube.com/watch?v=r7qovpFAGrQ
15,14,Muqabla,Yash Narvekar & Sachet-Parampara,9,23349576,-8.2%,https://www.youtube.com/watch?v=l75z7FrYRXI
16,28,Don't Start Now,Dua Lipa,17,22869668,15.6%,https://www.youtube.com/watch?v=oygrmJFKYZY
17,25,Garmi (feat. Varun Dhawan),Neha Kakkar & Badshah,9,22375665,8.2%,https://www.youtube.com/watch?v=1XbO3zoHc04
18,34,Hola (Remix) (feat. Juhn & Dimelo Flow),"Dalex, Lenny Tavárez & Chencho Corleone",17,22220075,18.6%,https://www.youtube.com/watch?v=nlXqp3FVrq8
19,19,Memories,Maroon 5,21,21870178,-4.1%,https://www.youtube.com/watch?v=SlPhMPnQ58k
20,46,Diosa (Remix),"Myke Towers, Anuel AA & Natti Natasha",3,21559643,44%,https://www.youtube.com/watch?v=2_f5Os7mKqM
21,23,China,"Anuel AA, KAROL G, Daddy Yankee, J Balvin & Ozuna",32,20956150,-3.3%,https://www.youtube.com/watch?v=0VR3dfZf9Yg
22,26,Bellaquita (feat. Lenny Tavárez),Dalex,16,20155924,-1%,https://www.youtube.com/watch?v=ygKutNMguHI
23,20,Tum Hi Aana,Jubin Nautiyal,21,20063898,-9.9%,https://www.youtube.com/watch?v=VFTSW817JlI
24,22,Filhall (feat. Akshay Kumar & Nupur Sanon),B Praak,15,20012594,-8.1%,https://www.youtube.com/watch?v=hMy5za-m5Ew
25,32,RITMO (Bad Boys for Life),Black Eyed Peas & J Balvin,20,19810744,2.2%,https://www.youtube.com/watch?v=EzKkl64rRbM
26,29,ROXANNE,Arizona Zervas,14,19583563,-0.6%,https://www.youtube.com/watch?v=16YnOUnbE6s
27,24,Someone You Loved (Live),Lewis Capaldi,40,19513561,-6.2%,https://www.youtube.com/watch?v=zABLecsR5UE
28,21,Fir Se Machayenge,Emiway Bantai,2,18447820,-16.4%,https://www.youtube.com/watch?v=zaCbuB3w0kg
29,33,"Dus Bahane 2.0 (feat.  Tulsi Kumar, K.K. & Shaan)",Vishal - Shekhar,3,18406283,-3.8%,https://www.youtube.com/watch?v=vjOKuvBjkS8
30,27,bad guy,Billie Eilish,48,18187991,-10.4%,https://www.youtube.com/watch?v=DyDfgMOUjCI
31,30,Fantasías,Rauw Alejandro & Farruko,23,18130278,-7.6%,https://www.youtube.com/watch?v=8jwbnGrX7-c
32,,PuttaBombe,--,5,18059985,,https://www.youtube.com/watch?v=8LZ2loz71Sw
