Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,Permission to Dance,BTS,1,186701770,,https://www.youtube.com/watch?v=CuklIb9d3fI
2,2,Pudina Ae Haseena,Pawan Singh & Anupama Yadav,6,65736323,5.1%,https://www.youtube.com/watch?v=iY3vrGP6XIE
3,1,Butter,BTS,8,63777305,-29.4%,https://www.youtube.com/watch?v=WMweEpGlu_U
4,8,Filhaal2 Mohabbat,"B Praak, Akshay Kumar, Nupur Sanon & Ammy Virk",2,60799280,47.4%,https://www.youtube.com/watch?v=DUwlGduupRI
5,3,Paani Paani (feat. Jacqueline Fernandez),Badshah & Aastha Gill,5,51307957,-15.8%,https://www.youtube.com/watch?v=nFjVlf2r9_Q
6,5,Beggin',Måneskin,5,50620139,6.1%,https://www.youtube.com/watch?v=ZWKpPDI1M-o
7,4,Baarish Ban Jaana,Payal Dev & Stebin Ben,6,44490725,-8.2%,https://www.youtube.com/watch?v=KVh4KtUSW3A
8,6,Todo de Ti,Rauw Alejandro,8,42295438,-6.8%,https://www.youtube.com/watch?v=CFPLIaMpGrY
9,9,Yonaguni,Bad Bunny,6,32992858,-9.6%,https://www.youtube.com/watch?v=doLMt10ytHY
10,10,Ram Pam Pam,Natti Natasha & Becky G,12,32621873,-8.2%,https://www.youtube.com/watch?v=_wE3hDN06Qg
11,11,Qué Más Pues?,J Balvin & Maria Becerra,7,32244425,-3.5%,https://www.youtube.com/watch?v=zisuhZqTeH4
12,12,Poblado (Remix),"Crissin, -- & Natan & Shander",10,27953235,-5.5%,https://www.youtube.com/watch?v=s8hA0QRIwfo
13,7,नदी बिचे नईया डोले,Shilpi Raj,10,27816603,-33.3%,https://www.youtube.com/watch?v=BRQ-n5OYUuM
14,21,Dynamite,BTS,47,27352064,12.2%,https://www.youtube.com/watch?v=gdZLi9oWNZg
15,16,Save Your Tears,The Weeknd,28,26553210,-1.9%,https://www.youtube.com/watch?v=XXYlFuWEuKI
16,18,Bedardi Se Pyaar Ka,Jubin Nautiyal & Meet Bros,6,26219490,-1.2%,https://www.youtube.com/watch?v=y_RHQ4mBDKA
17,20,Chatak Matak,Renuka Panwar,29,25703302,4.2%,https://www.youtube.com/watch?v=s9AICwTKgOg
18,15,good 4 u,Olivia Rodrigo,9,25076829,-7.6%,https://www.youtube.com/watch?v=gNi_6U5Pm_o
19,22,52 Gajh Ka Daman,Renuka Panwar,35,24843335,3.2%,https://www.youtube.com/watch?v=CZt-rVn2BJs
20,19,Razzi Bolja,Harjeet Deewana,8,24119188,-8.3%,https://www.youtube.com/watch?v=VT87DFblAxY
21,14,MONTERO (Call Me By Your Name),Lil Nas X,16,24096266,-11.5%,https://www.youtube.com/watch?v=6swmTBVI83k
22,17,AM (Remix),"Nio Garcia, J Balvin & Bad Bunny",3,22462184,-15.7%,https://www.youtube.com/watch?v=RNzQdcPWWX4
23,25,Fiel,"Los Legendarios, Wisin & Jhay Cortez",17,22034374,-1.7%,https://www.youtube.com/watch?v=o1lKMrLat_I
24,23,Levitating (feat. DaBaby),Dua Lipa,31,21506122,-6.7%,https://www.youtube.com/watch?v=TUVcZfQe-Kw
25,38,Meu Pedaço de Pecado,João Gomes,5,21376798,27.1%,https://www.youtube.com/watch?v=H1DEczvTjgE
26,29,Lut Gaye (feat. Emraan Hashmi),Jubin Nautiyal,21,21345932,3.4%,https://www.youtube.com/watch?v=sCbbMZ-q4-I
27,24,EL MAKINON,KAROL G & Mariah Angeliq ,16,21087943,-7.6%,https://www.youtube.com/watch?v=2jYEz66J_J4
28,,STAY,The Kid Laroi & Justin Bieber,1,20613710,,https://www.youtube.com/watch?v=kTJczUoc26U
29,28,Kiss Me More (feat. SZA),Doja Cat,14,20213784,-3.4%,https://www.youtube.com/watch?v=0EVVKs6DQLo
30,,NDA,Billie Eilish,1,19532397,,https://www.youtube.com/watch?v=OORBa32WFcM
31,30,Botella Tras Botella,Gera Mx & Christian Nodal,12,19440750,-2.8%,https://www.youtube.com/watch?v=XegHMc35Bo8
32,27,Bad Habits,Ed Sheeran,3,18849332,-10.1%,https://www.youtube.com/watch?v=orJSJGHjBLI
33,46,I WANNA BE YOUR SLAVE,Måneskin,7,18009973,18.2%,https://www.youtube.com/watch?v=0T-BCIFeqq8
34,26,Leave The Door Open,"Silk Sonic, Bruno Mars & Anderson .Paak",19,17866081,-17.3%,https://www.youtube.com/watch?v=adLGHcj_fmA
35,32,Astronaut In The Ocean,Masked Wolf,24,17711867,-6.4%,https://www.youtube.com/watch?v=MEg-oqI9qmw
36,45,Miénteme,TINI & Maria Becerra,11,17656007,14.1%,https://www.youtube.com/watch?v=mmRBXjVENDQ
37,,Lovesick Girls,BLACKPINK,21,17643607,,https://www.youtube.com/watch?v=dyRsYk0LyA8
38,36,"Volta Bebê, Volta Neném",Dj Guuga & DJ Ivis,14,17451627,1.7%,https://www.youtube.com/watch?v=x0EPgyNd9o0
39,34,Sevmedim Deme,Kurtuluş Kuş & --,6,17302338,-4.4%,https://www.youtube.com/watch?v=rbjAilk31Sg
40,31,Alcohol-Free,TWICE,6,16845758,-12.2%,https://www.youtube.com/watch?v=XA2YEHn-A8Q
41,41,Next Level,aespa,9,16111912,-1.6%,https://www.youtube.com/watch?v=4TWR90KJl84
42,37,Wafa Na Raas Aayee,Jubin Nautiyal,12,16042051,-5.1%,https://www.youtube.com/watch?v=Z7XiKx_rj2I
43,33,Build a Bitch,Bella Poarch,9,15889692,-13.9%,https://www.youtube.com/watch?v=FLGCGc7sAUw
44,35,Pareja Del Año,Sebastián Yatra & Myke Towers,13,15812236,-9.4%,https://www.youtube.com/watch?v=SRm2Ch4oFWs
45,,Se For Amor (Ao Vivo),João Gomes & Vitor Fernandes,1,15661205,,https://www.youtube.com/watch?v=-6J3HfX4sbg
46,52,Is Qadar, Tulsi Kumar & Darshan Raval,13,15642052,17.1%,https://www.youtube.com/watch?v=TBlixHMv_GQ
47,,Volando (Remix),"Mora, Bad Bunny & Sech",1,15623909,,https://www.youtube.com/watch?v=P982oehprfY
48,13,"Nicky Jam: Bzrp Music Sessions, Vol. 41",Bizarrap & Nicky Jam,3,15380233,-44.9%,https://www.youtube.com/watch?v=BH6T3CTuncc
49,43,2/Catorce,Rauw Alejandro & Mr. NaisGai,10,15164386,-6%,https://www.youtube.com/watch?v=3mPXwuPc650
50,49,Baby Me Atende,Matheus Fernandes & Dilsinho,8,15133457,5.3%,https://www.youtube.com/watch?v=qMEsx__88Gk
51,40,Bipolar,"MC Don Juan, Mc Davi & Mc Pedrinho",11,14907277,-9.8%,https://www.youtube.com/watch?v=12-3ZAsO_xA
52,57,Fulanito,Becky G & El Alfa,3,14587938,14.8%,https://www.youtube.com/watch?v=P2LLC2GyOlo
53,,Motley Crew,Post Malone,1,14322747,,https://www.youtube.com/watch?v=lCiV4wACZ8w
54,54,Dinero,Trinidad Cardona,4,14069113,7.1%,https://www.youtube.com/watch?v=2f31hcGTb-0
55,42,Baarish Ki Jaaye (feat. Nawazuddin Siddiqui & Sunanda Sharma),B Praak,16,13999276,-13.9%,https://www.youtube.com/watch?v=TYaNfLLOLNY
56,48,Lavandiya London Se Layenge,Ritesh Pandey,16,13874687,-7.5%,https://www.youtube.com/watch?v=GiVxUKbIy0w
57,51,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,17,13599473,-2.8%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
58,39,Thoda Thoda Pyaar,Stebin Ben,15,13305655,-20.3%,https://www.youtube.com/watch?v=USccSZnS8MQ
59,,911,Sech,14,13074227,,https://www.youtube.com/watch?v=URdNstAiuaE
60,75,Volta Rapariga,Vitinho Imperador & Josué Bom de Faixa,2,12884018,32.1%,https://www.youtube.com/watch?v=WyHWmTAuEHg
61,53,NO ME CONOCEN (Remix),"Bandido, Duki, REI & Tiago PZK",4,12800687,-2.9%,https://www.youtube.com/watch?v=4T0C-UuwQaQ
62,83,नजरिया ना लागे,Pawan Singh,3,12290751,38%,https://www.youtube.com/watch?v=uEjs0fb5xrc
63,89,ना ए दादा ना हो,Ritesh Pandey & Shilpi Raj,2,12259053,41.6%,https://www.youtube.com/watch?v=krl91ek14l4
64,,Sobrio,Maluma,1,12208938,,https://www.youtube.com/watch?v=RljdPIfnp0U
65,55,ทน,Sprite & GUYGEEGEE,11,12154980,-7.2%,https://www.youtube.com/watch?v=wNO6kMJB63I
66,44,"Não, Não Vou",Mari Fernandez,4,12111050,-24.3%,https://www.youtube.com/watch?v=48Wc8Sn3kAo
67,,Entre Nosotros (Remix),"Tiago PZK, Lit Killah, Maria Becerra & Nicki Nicole",1,12105475,,https://www.youtube.com/watch?v=sidPTvbTv9o
68,78,Jalebi Baby,Tesher,8,11956690,26%,https://www.youtube.com/watch?v=IFtwhMK64H8
69,56,Nadiyon Paar (Let the Music Play Again),"Sachin–Jigar, Rashmeet Kaur, Shamur & IP Singh",20,11686033,-9.3%,https://www.youtube.com/watch?v=bi5PhlIQpwU
70,47,Pudina Ae Haseena,Pawan Singh & Anupama Yadav,3,11546708,-24.2%,https://www.youtube.com/watch?v=iY3vrGP6XIE
71,,Nain Bengali,Guru Randhawa,1,11529792,,https://www.youtube.com/watch?v=DTSW39pyMqA
72,59,happier,Olivia Rodrigo,6,11438817,-8.6%,https://www.youtube.com/watch?v=ZQFmRXgeR-s
73,62,deja vu,Olivia Rodrigo,15,11392054,-3.8%,https://www.youtube.com/watch?v=cii6ruuycQA
74,66,A Cara do Crime (Nós Incomoda),"Mc Poze do Rodo, Bielzin, Mainstreet, MC Cabelinho, PL Quest & Neo Beats",7,10995147,2.3%,https://www.youtube.com/watch?v=2PRAiVs3MVc
75,61,Una Vaina Loca,"Fuego, Manuel Turizo & Duki",3,10870324,-11.3%,https://www.youtube.com/watch?v=xo1_3ozxgjc
76,72,traitor,Olivia Rodrigo,8,10627185,6.9%,https://www.youtube.com/watch?v=CRrf3h9vhp8
77,60,Sal y Perrea,Sech,9,10511192,-14.3%,https://www.youtube.com/watch?v=24LLB5T7qqk
78,,Leyla Mecnun,"Burak Bulut, Mustafa Ceceli & Kurtuluş Kuş",1,10310801,,https://www.youtube.com/watch?v=nuGg9GIvldM
79,82,"Body (Remix) (feat. ArrDee, E1 (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo)",Tion Wayne & Russ Millions,12,10097576,12.6%,https://www.youtube.com/watch?v=BS3HgiHPYcs
80,,Tiroteo (Remix),"Marc Seguí, Rauw Alejandro & Pol Granch",1,10034642,,https://www.youtube.com/watch?v=VEfkNHTjgs8
81,,บังอร,Sprite,1,9994238,,https://www.youtube.com/watch?v=k2a27gnrgr4
82,69,De Museo,Bad Bunny,2,9913809,-3.5%,https://www.youtube.com/watch?v=ss0Un7fa-Mw
83,,MIC Drop (Steve Aoki Remix) (feat. Steve Aoki),BTS,22,9827226,,https://www.youtube.com/watch?v=kTlv5_Bs8aw
84,67,Majanuaa Pitata,Pawan Singh,5,9718096,-8.1%,https://www.youtube.com/watch?v=i7s1U_YSvM0
85,65,You're Welcome,Dwayne Johnson,4,9695786,-11.7%,https://www.youtube.com/watch?v=79DijItQXMM
86,91,MORENA,Luan Santana,2,9666685,13.5%,https://www.youtube.com/watch?v=ZIiQ1jMqhVM
87,64,2:50,MYA,3,9521901,-15.3%,https://www.youtube.com/watch?v=rOyzCLO8Ck8
88,84,Ficha Limpa,Gusttavo Lima,5,9382021,5.4%,https://www.youtube.com/watch?v=_7DKuv_xsuY
89,79,Gangsta's Paradise,Coolio & L.V.,13,9365760,-1.1%,https://www.youtube.com/watch?v=fPO76Jlnz6c
