Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,TROLLZ (feat. Nicki Minaj),6ix9ine,1,119633289,,https://www.youtube.com/watch?v=oNg3M9IJJlY
2,2,GOOBA,6ix9ine,6,45639146,16%,https://www.youtube.com/watch?v=pPw_izFr5PA
3,1,DANCE MONKEY,Tones and I,40,43250667,-7.2%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
4,,Flores,Vitão & Luísa Sonza,1,36838516,,https://www.youtube.com/watch?v=meL5o_pmU_w
5,,Bambiha Bole,Amrit Maan & Sidhu Moose Wala,1,35232529,,https://www.youtube.com/watch?v=hpVNMjpjiJc
6,4,Life Is Good (feat. Drake),FUTURE,22,31710258,10.8%,https://www.youtube.com/watch?v=l0U7SxXHkPY
7,8,ROCKSTAR (feat. Roddy Ricch),DaBaby,8,26280242,16.2%,https://www.youtube.com/watch?v=mxFstYSbBmc
8,19,Relación (Remix),"Sech, Daddy Yankee, J Balvin, Rosalía & Farruko",5,25952000,32.8%,https://www.youtube.com/watch?v=XseIJg8Vyj0
9,,Mougi Kele PUBG,Khesari Lal Yadav,1,25307016,,https://www.youtube.com/watch?v=D1Hkp_DbkVs
10,5,Blinding Lights,The Weeknd,26,24809305,-9.7%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
11,7,Yo Perreo Sola,Bad Bunny,16,22733011,-6.9%,https://www.youtube.com/watch?v=GtSRKwDCaZM
12,3,MORE & MORE,TWICE,3,22502436,-35.8%,https://www.youtube.com/watch?v=mH0_XpSHkZo
13,,Khairiyat,Arijit Singh,1,21576607,,https://www.youtube.com/watch?v=hoNb6HuNmU0
14,,Savage Love (Karaoke),"Jawsh 685, Jason Derulo & Sing King",1,21397896,,https://www.youtube.com/watch?v=gUci-tsiU4I
15,11,Shaitan Ka Saala (feat. Vishal Dadlani),Sohail Sen,37,20965431,-0.8%,https://www.youtube.com/watch?v=HDhDY-ympFk
16,9,9XM House Of Dance,--,12,20876451,-6%,https://www.youtube.com/watch?v=SD4Z8dlZPd8
17,,The Bigger Picture,Lil Baby,1,20688035,,https://www.youtube.com/watch?v=_VDGysJGNoI
18,15,Señorita,Shawn Mendes & Camila Cabello,52,20122572,0.2%,https://www.youtube.com/watch?v=Pkh8UtuejGw
19,12,death bed (coffee for your head) (feat. Beabadoobee),Powfu,15,19922904,-3.4%,https://www.youtube.com/watch?v=WB4Nmh76fAc
20,18,Savage,Megan Thee Stallion,12,19513920,-0.2%,https://www.youtube.com/watch?v=EOxj2ROIxok
21,13,Play Date,Melanie Martinez,8,18893689,-7.9%,https://www.youtube.com/watch?v=kknKs7cAcO8
22,17,Roses (Imanbek Remix),SAINt JHN,17,18324159,-6.6%,https://www.youtube.com/watch?v=2zToEPpFEN8
23,10,Sour Candy,Lady Gaga & BLACKPINK,3,18322788,-16.8%,https://www.youtube.com/watch?v=fnPn6At3v28
24,6,Meri Aashiqui (feat. Jubin Nautiyal),Rochak Kohli,3,18001443,-31.8%,https://www.youtube.com/watch?v=SVjkxdjivts
25,31,La Jeepeta (Remix),"Nio Garcia, Brray, Juanka, Anuel AA & Myke Towers",8,17868838,16.3%,https://www.youtube.com/watch?v=yErttA9tEro
26,53,Djadja (feat. Maluma),Aya Nakamura,8,17632417,53.2%,https://www.youtube.com/watch?v=_wRFdiBR8sg
27,16,Toosie Slide,Drake,11,17554464,-10.7%,https://www.youtube.com/watch?v=xWggTb45brM
28,20,Say So,Doja Cat,20,17063964,-10%,https://www.youtube.com/watch?v=pok8H_KF1FA
29,14,Rain On Me,Lady Gaga & Ariana Grande,4,16798715,-17%,https://www.youtube.com/watch?v=AoAm4om0wTs
30,25,Favorito,Camilo,12,16643083,-2.7%,https://www.youtube.com/watch?v=2mY7AFTtYwQ
31,26,Someone You Loved,Lewis Capaldi,15,16463073,-1.9%,https://www.youtube.com/watch?v=zABLecsR5UE
32,27,Tum Hi Aana,Jubin Nautiyal,36,16433590,-1.2%,https://www.youtube.com/watch?v=VFTSW817JlI
33,24,Na Raba Toma Tapão,Niack,5,16010935,-7.9%,https://www.youtube.com/watch?v=UR7O8IekguY
34,23,The Box,Roddy Ricch,25,15885167,-10.3%,https://www.youtube.com/watch?v=UNZqm3dxd2w
35,69,Azul (Live),J Balvin,5,15547702,57%,https://www.youtube.com/watch?v=bcaLBKH-Yfc
36,32,Party Girl,StaySolidRocky,7,15528069,2.4%,https://www.youtube.com/watch?v=1KlNDZpCkHc
37,22,Sigues Con Él,Arcangel & Sech,27,15502798,-12.6%,https://www.youtube.com/watch?v=VRUjdlCynU0
38,28,Tusa,KAROL G & Nicki Minaj,32,15348183,-6.6%,https://www.youtube.com/watch?v=tbneQDc2H3I
39,,We are Bulletproof: the Eternal,BTS,1,14724173,,https://www.youtube.com/watch?v=7UWBYJjuIL0
40,34,El Efecto,Rauw Alejandro & Chencho Corleone,12,14489235,-2.2%,https://www.youtube.com/watch?v=vpD_EvXiGQ4
41,,Kaun Tujhe,Palak Muchhal,2,14236373,,https://www.youtube.com/watch?v=JHUrRSBtUNE
