Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Old Town Road (feat. Billy Ray Cyrus),Lil Nas X,9,132698770,80.3%,https://www.youtube.com/watch?v=r7qovpFAGrQ
2,3,I Don't Care,Ed Sheeran & Justin Bieber,2,79280659,23.1%,https://www.youtube.com/watch?v=y83x7MgzWOA
3,2,Kill This Love,BLACKPINK,8,64944243,-7.7%,https://www.youtube.com/watch?v=2S24-y0Ij3Y
4,4,Con Calma (Remix) (feat. Snow),Daddy Yankee & Katy Perry,17,54981653,-5.8%,https://www.youtube.com/watch?v=lmCEZhb-z-Q
5,6,Otro Trago (feat. Darell),Sech,5,54311811,15.7%,https://www.youtube.com/watch?v=t_qn-f7XfJo
6,7,SOLTERA (feat. Chris Jeday & Gaby Music),Lunay,5,49457358,11.6%,https://www.youtube.com/watch?v=YZxmoOvqWek
7,9,bad guy,Billie Eilish,8,46161694,17.8%,https://www.youtube.com/watch?v=DyDfgMOUjCI
8,8,Vaaste,Dhvani Bhanushali & Nikhil D'Souza,7,39889112,-6.3%,https://www.youtube.com/watch?v=BBAyRBTfsOU
9,19,Te Robaré,Nicky Jam & Ozuna,7,39276792,32.8%,https://www.youtube.com/watch?v=aA_kuFTV-P8
10,5,Calma (Remix),"Pedro Capó, Alan Walker & Farruko",30,38931351,-24.8%,https://www.youtube.com/watch?v=YS2RmyES-GU
11,11,Con Altura (feat. El Guincho),Rosalía & J Balvin,8,38094857,7.9%,https://www.youtube.com/watch?v=p7bfOZek9t4
12,15,HP,Maluma,12,35382365,11.7%,https://www.youtube.com/watch?v=iMEhjsiHbwM
13,14,Tal Vez,Paulo Londra,7,33559698,2.8%,https://www.youtube.com/watch?v=NPpELzyP4rw
14,10,"Pa Mi (Remix) (feat. Sech, Rafa Pabön, Cazzu, Feid, Khea & Lenny Tavarez)",Dalex,13,29572091,-18.3%,https://www.youtube.com/watch?v=rm8krFiAJBw
15,22,SHALLOW,Dawid Kwiatkowski & Maryla Rodowicz,34,29391978,16.9%,https://www.youtube.com/watch?v=aZsYZpVCNjg
16,12,Aankh Marey,"Neha Kakkar, Mika Singh & Kumar Sanu",24,28846321,-14.1%,https://www.youtube.com/watch?v=_KhQT-LGb-4
17,16,7 rings,Ariana Grande,18,28664772,-5.9%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
18,20,Lily (Rock Version),"Alan Walker, Emelie Hollow & K-391",11,28053902,-1%,https://www.youtube.com/watch?v=kTJbE3sfvlI
19,18,On My Way,"Alan Walker, Sabrina Carpenter & Farruko",9,26335450,-12.4%,https://www.youtube.com/watch?v=dhYOPzcsbGM
20,27,Dancing With A Stranger,Sam Smith & Normani,18,26200234,20.4%,https://www.youtube.com/watch?v=av5JD1dfj_c
21,13,Boy With Luv (feat. Halsey),BTS,6,25747221,-21.4%,https://www.youtube.com/watch?v=XsX3ATc3FbA
22,21,Without Me,Halsey,30,24275498,-5.1%,https://www.youtube.com/watch?v=ZAfAud_M_mg
23,23,Girls Like You (feat. Cardi B),Maroon 5,51,24184693,3.6%,https://www.youtube.com/watch?v=aJOTlE1K90k
24,,Ven Y Hazlo Tú,"Nicky Jam, J Balvin, Anuel AA & Arcangel",1,23200294,,https://www.youtube.com/watch?v=DArWpUOD7uY
25,29,Summer Luv,Mickey Singh & Manpreet Toor,9,22736481,10.7%,https://www.youtube.com/watch?v=j6muwUGdvXw
26,,ECLIPSE,GOT7,1,22406716,,https://www.youtube.com/watch?v=6tl-MG38-0E
27,79,No Lo Trates,"Pitbull, Daddy Yankee & Natti Natasha",2,22347835,106.7%,https://www.youtube.com/watch?v=maShEST7IkI
28,,Nightmare,Halsey,1,22178882,,https://www.youtube.com/watch?v=Q_dqfcvTZik
29,25,Sunflower,Post Malone & Swae Lee,31,21586503,-3.4%,https://www.youtube.com/watch?v=ApXoWvfEYVU
30,35,FANCY,TWICE,4,21336154,14.5%,https://www.youtube.com/watch?v=kOHB85vDuow
31,31,Taki Taki,DJ Snake,34,20749978,4.9%,https://www.youtube.com/watch?v=ixkoVwKQaJg
32,,TODO MUNDO VAI SOFRER,Marília Mendonça,1,20451394,,https://www.youtube.com/watch?v=ILADw1aretk
33,17,A Whole New World (End Title) (feat. Chandru),ZAYN & Zhavia,2,20309848,-32.6%,https://www.youtube.com/watch?v=rg_zwK_sSEY
34,89,"Cuaderno (feat. Nicky Jam, Sech, Justin Quiles, Feid, Lenny Tavarez & Rafa Pabön)",Dalex,2,20204280,112.9%,https://www.youtube.com/watch?v=_WmvVJ43RoM
35,,11 PM,Maluma,1,19593453,,https://www.youtube.com/watch?v=IBaSizQyC5g
36,57,Solo Pienso en Ti (feat. De La Ghetto & Justin Quiles),Paulo Londra,2,19283306,42.1%,https://www.youtube.com/watch?v=1GS7wxWPaxc
37,24,Earth,Lil Dicky,5,19279547,-15.3%,https://www.youtube.com/watch?v=pvuN_WvF1to
38,32,Secreto,Anuel AA & Karol G,19,18978626,-3.5%,https://www.youtube.com/watch?v=gFZfwWZV074
39,37,Ocean,KAROL G,3,18587777,0.4%,https://www.youtube.com/watch?v=gyY5Z0TUWRY
40,33,Aullando,Wisin & Yandel & Romeo Santos,13,17950586,-5.3%,https://www.youtube.com/watch?v=-n9krkSb-ug
41,36,Happier (feat. Bastille),Marshmello,36,17763753,-4.2%,https://www.youtube.com/watch?v=m7Bc3pLyij0
42,34,Sweet but Psycho,Ava Max,25,17470866,-6.7%,https://www.youtube.com/watch?v=WXBHCQYxwr0
43,42,Hook Up Song,Neha Kakkar & Shekhar Ravjiani,3,16354467,-5.2%,https://www.youtube.com/watch?v=zuaLWHiRXkg
44,46,Rowdy Baby,Dhanush & Dhee,18,16309820,-0.6%,https://www.youtube.com/watch?v=x6Q7c9RyMzk
45,39,Verte Ir,"DJ Luian, Mambo Kingz, Anuel AA, Darell, Nicky Jam & Brytiago",8,16134037,-9.9%,https://www.youtube.com/watch?v=gN9e40PE8VI
