Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,DANCE MONKEY,Tones and I,33,58552920,-7.9%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
2,,THE SCOTTS,"THE SCOTTS, Travis Scott & Kid Cudi",1,41001319,,https://www.youtube.com/watch?v=8oaW16lGNxE
3,2,Yo Perreo Sola,Bad Bunny,9,35377979,-7.9%,https://www.youtube.com/watch?v=GtSRKwDCaZM
4,4,Favorito,Camilo,5,31920985,-9.9%,https://www.youtube.com/watch?v=2mY7AFTtYwQ
5,79,SICKO MODE (feat. Drake),Travis Scott,28,31403733,265.4%,https://www.youtube.com/watch?v=6ONRf7h3Mdk
6,3,9XM House Of Dance,--,5,30256134,-14.8%,https://www.youtube.com/watch?v=SD4Z8dlZPd8
7,6,Life Is Good (feat. Drake),FUTURE,15,29664063,-1.8%,https://www.youtube.com/watch?v=l0U7SxXHkPY
8,7,Blinding Lights,The Weeknd,19,28956327,-3.8%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
9,8,Don't Start Now,Dua Lipa,26,27614236,-6.1%,https://www.youtube.com/watch?v=oygrmJFKYZY
10,5,The Box,Roddy Ricch,18,26638533,-13.6%,https://www.youtube.com/watch?v=UNZqm3dxd2w
11,18,Savage,Megan Thee Stallion,5,25768052,24.6%,https://www.youtube.com/watch?v=EOxj2ROIxok
12,21,Sigues Con Él,Arcangel & Sech,20,24830062,26.8%,https://www.youtube.com/watch?v=VRUjdlCynU0
13,12,Roses (Imanbek Remix),SAINt JHN,10,24828353,0%,https://www.youtube.com/watch?v=2zToEPpFEN8
14,10,Tusa,KAROL G & Nicki Minaj,25,24707359,-8.3%,https://www.youtube.com/watch?v=tbneQDc2H3I
15,9,Shaitan Ka Saala (feat. Vishal Dadlani),Sohail Sen,30,24142505,-12.5%,https://www.youtube.com/watch?v=HDhDY-ympFk
16,14,Say So,Doja Cat,13,23469771,1.9%,https://www.youtube.com/watch?v=pok8H_KF1FA
17,13,death bed (coffee for your head) (feat. Beabadoobee),Powfu,8,22856651,-5.9%,https://www.youtube.com/watch?v=WB4Nmh76fAc
18,11,Toosie Slide,Drake,4,22242533,-14%,https://www.youtube.com/watch?v=xWggTb45brM
19,,goosebumps (feat. Kendrick Lamar),Travis Scott,1,21333347,,https://www.youtube.com/watch?v=Dst9gZkq1a8
20,16,Señorita,Shawn Mendes & Camila Cabello,45,20301742,-8.5%,https://www.youtube.com/watch?v=Pkh8UtuejGw
21,15,Safaera,Bad Bunny,9,18519312,-17.9%,https://www.youtube.com/watch?v=jCQ_6XbATPc
22,68,HIGHEST IN THE ROOM,Travis Scott,19,18214706,93.1%,https://www.youtube.com/watch?v=tfSS1e3kYeo
23,19,Moto,Diler Kharkiya,15,17864858,-10.3%,https://www.youtube.com/watch?v=tJGBVigwPlU
24,,Righteous,Juice WRLD,1,17524939,,https://www.youtube.com/watch?v=ZengOKCUBHo
25,23,Boss B*tch,Doja Cat,8,17325503,-6.5%,https://www.youtube.com/watch?v=RsW66teC0BQ
