Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Despacito,Luis Fonsi & Daddy Yankee,31,199892645,-8.2%,https://www.youtube.com/watch?v=kJQP7kiw5Fk
2,2,Shape of You,Ed Sheeran,32,105183451,1.4%,https://www.youtube.com/watch?v=JGwWNGJdvx8
3,3,Mi Gente (J Balvin & Willy William),J Balvin & Willy William,7,84108144,14%,https://www.youtube.com/watch?v=wnJ6LuUFpMo
4,20,Felices los 4,Maluma,17,49914189,68.9%,https://www.youtube.com/watch?v=t_jHrUE5IOk
5,4,Sua Cara (feat. Anitta & Pabllo Vittar),Major Lazer,3,42129584,-20.8%,https://www.youtube.com/watch?v=omzk3klIy0E
6,6,GANGNAM STYLE (강남스타일),PSY,78,41677980,-6.2%,https://www.youtube.com/watch?v=9bZkp7q19f0
7,8,"Ahora Dice (feat. J Balvin, Ozuna & Arcángel)",Chris Jeday,21,40335098,0.9%,https://www.youtube.com/watch?v=c73Cu3TQnlg
8,10,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,40,40101283,4.6%,https://www.youtube.com/watch?v=papuvlVeZg8
9,7,Chantaje (feat. Maluma),Shakira,42,39652119,-1%,https://www.youtube.com/watch?v=6Mgqbai3fKo
10,9,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,22,39511873,-0.8%,https://www.youtube.com/watch?v=NGLxoKOvzu4
11,12,Me Rehúso,Danny Ocean,9,37552704,5.6%,https://www.youtube.com/watch?v=aDCcLQto5BM
12,11,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,9,36635517,0.1%,https://www.youtube.com/watch?v=fyaI4-5849w
13,28,Krippy Kush,"Farruko, Bad Bunny & Rvssian",2,36071486,39.7%,https://www.youtube.com/watch?v=j1_JW7An2l0
14,,Mere Rashke Qamar,Junaid Asghar,1,35690004,,https://www.youtube.com/watch?v=Km_Hx7u1Kk4
15,5,Escápate Conmigo (feat. Ozuna),Wisin,20,35193544,-22%,https://www.youtube.com/watch?v=3X9wEwulYhk
16,18,Tú Foto,Ozuna,16,34896052,14.4%,https://www.youtube.com/watch?v=afUx6AIG3Tg
17,15,Una Lady Como Tu,Manuel Turizo,5,31871327,0.3%,https://www.youtube.com/watch?v=VYtJAuoZxcc
18,14,"I'm The One (feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne)",DJ Khaled,16,31265004,-3.1%,https://www.youtube.com/watch?v=weeI1G46q0o
19,22,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,56,29845027,4.1%,https://www.youtube.com/watch?v=3AtDnEC4zak
20,16,That's What I Like,Bruno Mars,23,29617925,-4%,https://www.youtube.com/watch?v=PMivT7MJ41M
21,17,Súbeme La Radio (feat. Zion Y Lenox & Descemer Bueno),Enrique Iglesias,25,29442227,-3.7%,https://www.youtube.com/watch?v=9sg-A-eS6Ig
22,13,See You Again (feat. Charlie Puth),Wiz Khalifa,78,29294255,-11.6%,https://www.youtube.com/watch?v=RgKAFK5djSk
23,,Se Preparó,Ozuna,1,28533033,,https://www.youtube.com/watch?v=KWGrPNqz4uc
24,21,Attention,Charlie Puth,17,28453537,-2.5%,https://www.youtube.com/watch?v=nfs8NYg7yQM
25,32,Ahora Me Llama (Karol G & Bad Bunny),Bad Bunny & Karol G,9,27922555,16.1%,https://www.youtube.com/watch?v=4NNRy_Wz16k
26,29,Closer (feat. Halsey),The Chainsmokers,55,27866894,8%,https://www.youtube.com/watch?v=0zGcUoRlhmw
27,24,Cheez Badi (Udit Narayan & Neha Kakkar),Udit Narayan & Neha Kakkar,4,27756860,0.9%,https://www.youtube.com/watch?v=
28,27,La Rompe Corazones (feat. Ozuna),Daddy Yankee,5,27709205,7.2%,https://www.youtube.com/watch?v=ks1CBTwtaU8
29,19,Sen Olsan Bari,Aleyna Tilki,3,26689057,-11.5%,https://www.youtube.com/watch?v=yJpJCZYTL74
30,26,Si Tu Novio Te Deja Sola (feat. Bad Bunny),J Balvin,24,25951721,-1.6%,https://www.youtube.com/watch?v=Km4BayZykwE
31,25,Unforgettable (feat. Swae Lee),French Montana,17,25489313,-4.2%,https://www.youtube.com/watch?v=CTFtOOh47oo
32,35,New Rules,Dua Lipa,5,24517666,5.2%,https://www.youtube.com/watch?v=k2qgadSvNyU
33,30,Me Enamoré,Shakira,14,24502442,-4.2%,https://www.youtube.com/watch?v=sPTn0QEhxds
34,36,Mayores (feat. Bad Bunny),Becky G,5,24045391,20.7%,https://www.youtube.com/watch?v=GMFewiplIbw
35,23,As If It's Your Last,BLACKPINK,8,22968721,-17.9%,https://www.youtube.com/watch?v=Amq-qlqbjYA
36,59,El Farsante (Remix),Ozuna,5,22697344,34.3%,https://www.youtube.com/watch?v=wfWkmURBNv8
37,31,Reggaetón Lento (Bailemos),CNCO,39,22576838,-9.7%,https://www.youtube.com/watch?v=7jpqqBX-Myw
