Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Despacito,Luis Fonsi & Daddy Yankee,41,92165270,-6.6%,https://www.youtube.com/watch?v=kJQP7kiw5Fk
2,2,Shape of You,Ed Sheeran,42,77282916,-1.8%,https://www.youtube.com/watch?v=JGwWNGJdvx8
3,3,Mi Gente (J Balvin & Willy William) (feat. Beyoncé),J Balvin & Willy William,17,68394338,-13.1%,https://www.youtube.com/watch?v=APHgDFRpCi0
4,4,Criminal,Natti Natasha & Ozuna,10,64547709,-0.1%,https://www.youtube.com/watch?v=VqEbCxg2bNI
5,5,Mayores (feat. Bad Bunny),Becky G,15,63950739,-0.5%,https://www.youtube.com/watch?v=GMFewiplIbw
6,6,New Rules,Dua Lipa,15,62985543,13.1%,https://www.youtube.com/watch?v=k2qgadSvNyU
7,39,Havana (feat. Young Thug),Camila Cabello,4,49002754,136.8%,https://www.youtube.com/watch?v=BQ0mxQXmLsk
8,8,Perfect,Ed Sheeran,8,44772548,18.8%,https://www.youtube.com/watch?v=2Vv-BfVoq4g
9,7,Look What You Made Me Do,Taylor Swift,9,39809246,-13%,https://www.youtube.com/watch?v=3tmd-ClpJxA
10,10,Dusk Till Dawn (feat. Sia),ZAYN,7,38516348,6.1%,https://www.youtube.com/watch?v=tt2k8PGm-TI
11,14,Vuelve,Daddy Yankee & Bad Bunny,3,36900637,2.2%,https://www.youtube.com/watch?v=YxZXLWIx6ik
12,76,Egoísta (feat. Zion & Lennox),Ozuna,2,36171690,187.3%,https://www.youtube.com/watch?v=Ne-9-7hpbRw
13,9,Báilame,Nacho,17,35412412,-3%,https://www.youtube.com/watch?v=a1J44C-PZ3E
14,,How Long,Charlie Puth,1,34634290,,https://www.youtube.com/watch?v=CwfoyVa980U
15,20,Se Preparó,Ozuna,10,34378170,16.3%,https://www.youtube.com/watch?v=KWGrPNqz4uc
16,11,Too Good At Goodbyes,Sam Smith,7,32314935,-9.2%,https://www.youtube.com/watch?v=J_ub7Etch2U
